x_val,y_added,y_removed,y_combined
 rc==SQLITE_OK ,54,27,81
 cursorHoldsMutex(pCur) ,50,25,75
 sqlite3_mutex_held(pBt->mutex) ,44,22,66
pPager,44,22,66
 sqlite3_mutex_held(db->mutex) ,44,22,66
" sqlite3SchemaMutexHeld(db, iDb, 0) ",42,21,63
 assert_pager_state(pPager) ,42,21,63
 pFile ,42,21,63
 pOp->p1>=0 && pOp->p1<p->nCursor ,40,20,60
 sqlite3_mutex_held(pPage->pBt->mutex) ,34,17,51
 sqlite3_mutex_held(pCtx->s.db->mutex) ,34,17,51
 p!=0 ,28,14,42
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,28,14,42
 v!=0 ,24,12,36
 sqlite3_mutex_held(p->db->mutex) ,22,11,33
 0 ,22,11,33
" !ExprHasProperty(pExpr, EP_IntValue) ",22,11,33
 argc==1 ,20,10,30
 (pMem->flags & MEM_RowSet)==0 ,20,10,30
 pCur->eState==CURSOR_VALID ,20,10,30
 sqlite3_mutex_held(mem3.mutex) ,20,10,30
 !pagerUseWal(pPager) ,20,10,30
 sqlite3PagerIswriteable(pPage->pDbPage) ,20,10,30
 !db->mallocFailed ,18,9,27
 !MEMDB ,18,9,27
p,18,9,27
 p->magic==VDBE_MAGIC_INIT ,18,9,27
 iDb>=0 && iDb<db->nDb ,16,8,24
 sqlite3BtreeHoldsMutex(p) ,16,8,24
 db!=0 ,16,8,24
 p->pSegments==0 ,14,7,21
 pWal->writeLock ,14,7,21
 pOp->p1>=0 && pOp->p1<db->nDb ,14,7,21
 pEList!=0 ,14,7,21
 EIGHT_BYTE_ALIGNMENT(pMem) ,14,7,21
 v ,14,7,21
 sqlite3BtreeHoldsAllMutexes(db) ,14,7,21
 rc!=SQLITE_DONE ,12,6,18
 db->mallocFailed ,12,6,18
 pPager->errCode==SQLITE_OK ,12,6,18
 sqlite3_mutex_held(pCur->pBtree->db->mutex) ,12,6,18
 pOp->p3>0 && pOp->p3<=p->nMem ,12,6,18
 isOpen(pPager->jfd) ,12,6,18
 pPager->eState!=PAGER_ERROR ,12,6,18
" !ExprHasProperty(pExpr, EP_xIsSelect) ",12,6,18
 eFileLock<=SHARED_LOCK ,10,5,15
 id!=0 ,10,5,15
 pPage->isInit ,10,5,15
 pTab!=0 ,10,5,15
 p->nRef>0 ,10,5,15
 pOp->p4type==P4_INT32 ,10,5,15
 iDb>=0 ,10,5,15
 (p->btreeMask & (((yDbMask)1)<<pOp->p1))!=0 ,10,5,15
 iIndex>=0 && iIndex<p->nIndex ,10,5,15
 p->pEList ,10,5,15
 pPager->eState==PAGER_OPEN ,10,5,15
 pH!=0 ,10,5,15
 nColumn==1 ,8,4,12
 sqlite3BtreeHoldsAllMutexes(pParse->db) ,8,4,12
 pOp->p3<=p->nMem ,8,4,12
 nByte>0 ,8,4,12
 ((Fts3Table *)pCsr->base.pVtab)->pSegments==0 ,8,4,12
 unixMutexHeld() ,8,4,12
 pOp->p3>0 ,8,4,12
 pParse!=0 ,8,4,12
 hHeap!=INVALID_HANDLE_VALUE ,8,4,12
 pList!=0 ,8,4,12
 p->nPendingData==0 ,8,4,12
 amt>0 ,8,4,12
 sqlite3PagerIswriteable(pParent->pDbPage) ,8,4,12
 p->nOp>0 ,8,4,12
 p->inTrans==TRANS_WRITE ,8,4,12
 pIn1->flags&MEM_Int ,8,4,12
 pParse->nErr==0 ,8,4,12
 IsVirtual(pTab) ,8,4,12
 pBt->inTransaction==TRANS_WRITE ,8,4,12
 rc==SQLITE_OK || ppStmt==0 || *ppStmt==0 ,8,4,12
 hHeap!=0 ,8,4,12
 iDb<db->nDb ,8,4,12
 pOp->p2>0 ,8,4,12
 pTabList->nSrc==1 ,8,4,12
 argc==1 || argc==2 ,6,3,9
 pBt!=0 ,6,3,9
 pH->htsize>0 ,6,3,9
 nBytes>=0 ,6,3,9
 p->id==SQLITE_MUTEX_FAST || p->id==SQLITE_MUTEX_RECURSIVE ,6,3,9
 pCur->aiIdx[pCur->iPage]<pCur->apPage[pCur->iPage]->nCell ,6,3,9
 pList->nExpr>0 ,6,3,9
 iLangid>=0 ,6,3,9
 pIdx->pSchema==pTab->pSchema ,6,3,9
 pOp->p2<=p->nMem ,6,3,9
 pHdr->iForeGuard==FOREGUARD ,6,3,9
 n>0 && n<=4 ,6,3,9
 pPage->nOverflow==0 ,6,3,9
 (pBt->btsFlags & BTS_READ_ONLY)==0 ,6,3,9
" sqlite3MemdebugHasType(p, MEMTYPE_DB) ",6,3,9
 i>=0 && i<mem5.nBlock ,6,3,9
 op>=0 && op<ArraySize(wsdStat.nowValue) ,6,3,9
 enc==SQLITE_UTF8 || enc==SQLITE_UTF16LE || enc==SQLITE_UTF16BE ,6,3,9
 pShmNode->pInode==pDbFd->pInode ,6,3,9
 pKeyInfo->aSortOrder!=0 ,6,3,9
 pPager->journalHdr<=pPager->journalOff ,6,3,9
 argc==3 ,6,3,9
(size_t) index < sizeof(attribs) / sizeof(attribs[0]),6,3,9
 pOp->p1>=0 ,6,3,9
 pPg->flags&PGHDR_DIRTY ,6,3,9
 pName->nSrc==1 ,6,3,9
" !ExprHasAnyProperty(pExpr, EP_TokenOnly|EP_Reduced) ",6,3,9
rc==SQLITE_OK || rc==SQLITE_NOMEM,6,3,9
 isOpen(pPager->fd) || pPager->tempFile ,6,3,9
" sqlite3MemdebugHasType(p, MEMTYPE_LOOKASIDE|MEMTYPE_HEAP) ",6,3,9
 p->id==SQLITE_MUTEX_RECURSIVE || debugMutexNotheld(pX) ,6,3,9
 pList ,6,3,9
 p->db!=0 ,6,3,9
 omitTable==0 ,6,3,9
 db==0 || sqlite3_mutex_held(db->mutex) ,6,3,9
 isOpen(pPager->fd) ,6,3,9
 i>=1 ,6,3,9
 pOp[-1].opcode==OP_CollSeq ,6,3,9
 nKey>=0 ,6,3,9
 pNew!=0 ,6,3,9
 iLevel<FTS3_SEGDIR_MAXLEVEL ,6,3,9
 pPager->eState==PAGER_WRITER_CACHEMOD || pPager->eState==PAGER_WRITER_DBMOD ,6,3,9
 (z-zBuf)==n ,6,3,9
 nCell<nMaxCells ,6,3,9
 iLogsize>=0 && iLogsize<=LOGMAX ,6,3,9
 id ,6,3,9
 pCur->pgnoRoot==0 || pCur->apPage[pCur->iPage]->nCell==0 ,6,3,9
 p->nRef==0 ,6,3,9
 i>0 ,6,3,9
 p->eLock!=UNKNOWN_LOCK ,6,3,9
 pPrior!=0 ,6,3,9
 z!=0 ,6,3,9
" sqlite3SchemaMutexHeld(db, j, 0) ",6,3,9
 pTab->pSelect==0 ,6,3,9
 isOpen(p->jfd) || p->journalMode==PAGER_JOURNALMODE_OFF || p->journalMode==PAGER_JOURNALMODE_WAL ,6,3,9
 pWal->nWiData>0 && pWal->apWiData[0] ,6,3,9
 pPager->eState>=PAGER_WRITER_LOCKED ,6,3,9
 sqlite3_mutex_held(pCache->pGroup->mutex) ,6,3,9
 pBt->autoVacuum ,6,3,9
 (pH->htsize & (pH->htsize-1))==0 ,6,3,9
 pOrTerm->eOperator & WO_EQ ,6,3,9
 pPager->eLock==EXCLUSIVE_LOCK ,6,3,9
