x_val,y_added,y_removed,y_combined
1,10,5,15
5,4,5,9
9,4,6,7
3,4,3,5
8,3,5,4
21,3,2,6
4,3,2,4
7,2,2,5
18,3,2,4
10,3,1,4
15,3,1,3
16,2,2,3
6,2,2,2
13,1,2,3
14,2,2,2
23,1,2,3
2,1,2,2
17,1,2,2
22,2,1,2
12,3,0,1
26,1,0,3
32,1,1,2
38,0,3,1
54,1,1,2
19,0,1,2
34,2,0,1
44,1,1,1
61,2,0,1
11,1,0,1
36,1,1,0
37,1,0,1
39,2,0,0
41,1,1,0
65,1,0,1
77,0,1,1
78,1,0,1
93,1,0,1
225,0,1,1
116,0,2,0
20,1,0,0
279,1,0,0
25,1,0,0
27,1,0,0
30,0,1,0
31,0,1,0
40,0,1,0
42,0,1,0
136,0,1,0
46,0,0,1
55,0,1,0
62,0,1,0
63,0,0,1
66,0,1,0
72,0,1,0
75,0,1,0
82,0,0,1
84,1,0,0
86,1,0,0
94,1,0,0
109,1,0,0
