x_val,y_added,y_removed,y_combined
0,11,13,22
1,9,7,12
6,8,3,11
3,7,3,8
5,5,5,4
4,3,4,5
2,1,5,4
7,3,2,5
13,4,0,3
30,3,1,2
9,1,2,2
12,3,0,2
14,3,0,2
18,1,2,2
8,1,1,2
25,1,1,2
57,1,1,2
11,1,1,1
22,1,1,1
28,1,1,1
29,1,1,1
49,1,1,1
67,1,1,1
83,1,1,1
-1,1,0,2
10,0,1,1
16,0,1,1
17,0,1,1
19,0,2,0
20,1,1,0
33,1,0,1
41,1,0,1
42,1,0,1
43,1,0,1
54,0,1,1
60,0,2,0
23,0,0,1
24,0,1,0
44,1,0,0
45,0,1,0
46,0,0,1
47,0,1,0
48,0,1,0
59,1,0,0
71,1,0,0
72,0,1,0
76,0,1,0
79,1,0,0
