x_val,y_added,y_removed,y_combined
false,32,0,32
sizeof(typename InputByteStream::Ch) == 1,12,0,12
sizeof(typename OutputByteStream::Ch) == 1,12,0,12
0,10,0,10
IsArray(),10,0,10
"!""How did we get here?""",6,3,9
!AtEnd(),9,0,9
 ret == DISPMANX_SUCCESS ,9,0,9
item != NULL,8,1,9
SDL_hapticlist == item,5,2,7
IsObject(),7,0,7
isCompatible(other),7,0,7
surface->format->format == SDL_PIXELFORMAT_ARGB8888,6,0,6
 index < length() ,4,2,6
s_XInputDLLRefCount == 0,4,2,6
s_XInputDLLRefCount > 0,4,2,6
surface->pitch == surface->w * 4,5,0,5
mSize,5,0,5
width == 0,5,0,5
"size < 16384, ""size too big: """,4,0,4
"(size == 1) || (size == 2) || (size == 4) || (size == 8) || ((size % 16) == 0), ""size not a multiple of 16byte: """,4,0,4
"ea != 0, ""Nullpointer EA: """,4,0,4
"ls != 0, ""Nullpointer LS: """,4,0,4
" (((uintsize)ls % 16) == 0) || (size < 16), ""LS Address not aligned: """,4,0,4
 update ,4,0,4
a == 0,4,0,4
" ((((uintsize)ls % size) == 0) && (((uintsize)ea % size) == 0)) || (size > 16), ""Not naturally aligned: """,4,0,4
" (((uintsize)ea % 16) == 0) || (size < 16), ""XDR Address not aligned: """,4,0,4
index < _count,4,0,4
dstfmt->BytesPerPixel == 4,4,0,4
" ((uintsize)ea%16)==((uintsize)ls%16), ""wrong Quadword alignment of LS and EA: """,4,0,4
codepoint <= 0x10FFFF,3,0,3
"ok_address(m, p)",3,0,3
s_bXInputEnabled,2,1,3
data->type == SDL_HAPTIC_LEFTRIGHT,2,1,3
fp_ != 0,3,0,3
pathset,3,0,3
 *length >= 0 && *length < 5 ,2,1,3
0 || 1,3,0,3
SDL_joylist == item,3,0,3
SDL_JoystickFromInstanceID(SDL_JoystickInstanceID(joystick)) == joystick,3,0,3
effect->effect.type == SDL_HAPTIC_LEFTRIGHT,2,1,3
base->type == SDL_HAPTIC_LEFTRIGHT,2,1,3
pivot != 0,3,0,3
 index >= 0 ,2,1,3
sizeof(Ch) >= 4,3,0,3
sizeof(Ch) >= 2,3,0,3
s != NULL,3,0,3
1,3,0,3
v==CountTo,3,0,3
XINPUTGETCAPABILITIES,2,1,3
 p ,2,1,3
(is_aligned(chunk2mem(p))) || (p->head == FENCEPOST_HEAD),3,0,3
"!""Support hat as axis""",2,1,3
mFreeList == mSize,2,0,2
mStride == 0 || sizeof(T) <= mStride,2,0,2
v==44,2,0,2
 strlen(typebuf) > 0 ,1,1,2
userId >= 0,1,1,2
_this->first == item,2,0,2
sizeof(typename OutputStream::Ch) >= 2,2,0,2
!is_mmapped(p),2,0,2
!_this->grabbed_window || ((_this->grabbed_window->flags & SDL_WINDOW_INPUT_GRABBED) != 0),2,0,2
"0 && ""write me!""",1,1,2
sizeof(typename InputStream::Ch) >= 2,2,0,2
!next_pinuse(p),2,0,2
SDL_GameControllerFromInstanceID(SDL_JoystickInstanceID(SDL_GameControllerGetJoystick(gamecontroller))) == gamecontroller,2,0,2
SDL_AtomicGet(&queue->watcher) == 0,2,0,2
chunksize(p) == small_index2size(i),2,0,2
is_aligned(chunk2mem(p)),2,0,2
pinuse(p),2,0,2
SDL_FALSE,2,0,2
fmt1 != NULL,2,0,2
chunksize(P) == small_index2size(I),2,0,2
v==35,2,0,2
(device->buffer_queue_head != NULL) == (device->queued_bytes != 0),2,0,2
srcfmt->BytesPerPixel == 4,2,0,2
data != NULL,2,0,2
v==55,2,0,2
P != B,2,0,2
i>=0 && i<mCurNbEntries,2,0,2
i<mSize,2,0,2
srcfmt->BytesPerPixel == 2,2,0,2
chunksize(p) == small_index2size(idx),2,0,2
(sz & CHUNK_ALIGN_MASK) == 0,2,0,2
capabilities.SubType == XINPUT_DEVSUBTYPE_GAMEPAD,1,1,2
P != F,2,0,2
len < SDL_arraysize(path),1,1,2
"(SDLTest_AssertCheck(assertCondition, logMessage))",1,1,2
empty,2,0,2
