x_val,y_added,y_removed,y_combined
false,131,99,230
0,69,69,138
field < file.fieldCount,70,60,130
ptr != NULL,75,54,129
run->magic == ARENA_RUN_MAGIC,62,62,124
"index < m_valuesCount || PrintIndexError(index, false)",43,43,86
ckh->magic = CKH_MAGIG,30,30,60
binind < nbins,27,27,54
block->status & (BLOCK_READ | BLOCK_IN_USE),26,26,52
small_size2bin[i] == binind,25,25,50
config_prof,48,2,50
size != 0,31,18,49
mask.mCount <= mCount,24,24,48
CHUNK_ADDR2BASE(ptr) != ptr,26,21,47
ret != NULL,25,21,46
src == dst && srclen == dstlen,22,22,44
ckh != NULL,24,18,42
chunk->arena->magic == ARENA_MAGIC,19,19,38
block->hash_link,18,18,36
((uintptr_t)ptr & PAGE_MASK) == 0,19,17,36
tnode != &rbtree->rbt_nil,20,16,36
stringOffset < file.stringSize,17,15,32
_p != 0,16,16,32
block->prev_changed && *block->prev_changed == block,16,16,32
((uintptr_t)ptr - ((uintptr_t)run + (uintptr_t)run->bin->reg0_offset)) % run->bin->reg_size == 0,16,16,32
(mapbits & CHUNK_MAP_ALLOCATED) != 0,16,15,31
(size & PAGE_MASK) == 0,18,11,29
block->hash_link->file == file,14,14,28
node != NULL,16,12,28
!block->prev_used,14,14,28
arena->magic == ARENA_MAGIC,13,13,26
lg_range > 0,14,12,26
it,12,13,25
minbits <= 32 || (SIZEOF_PTR == 8 && minbits <= 64),12,12,24
x < N,12,12,24
!block->next_used,12,12,24
bit < (map)->n_bits,12,12,24
malloc_initialized || malloc_initializer == pthread_self(),12,12,24
bin->runcur->magic == ARENA_RUN_MAGIC,12,12,24
hash1 != NULL,12,12,24
hash2 != NULL,12,12,24
tbin->ncached < tbin->ncached_max,12,12,24
y < N,12,12,24
block->status & BLOCK_IN_USE,12,12,24
map->bitmap,11,11,22
offset < 4,10,10,20
block->hash_link && block->hash_link->block == block,10,10,20
initialized,10,10,20
item,10,9,19
size <= arena_maxclass,11,7,18
(uintptr_t)pathp > (uintptr_t)path,10,8,18
map->bitmap && bitmap_bit < map->n_bits,9,9,18
swap_enabled,9,9,18
ret != 0,9,8,17
effIndex < MAX_SPELL_EFFECTS,8,8,16
pageind + npages <= chunk_npages,9,7,16
!block->requests,8,8,16
stmt != 0,8,8,16
map->bitmap && map2->bitmap && map->n_bits==map2->n_bits,8,8,16
keycache->can_be_used,8,8,16
binind < nhbins,9,7,16
block->hash_link->diskpos == filepos,8,8,16
trailsize < alloc_size,8,8,16
max <= (1U << opt_lg_prof_bt_max),8,8,16
pos,8,8,16
block->hash_link->block == block,8,8,16
offset < alloc_size,8,8,16
node->size > size,8,8,16
(size & chunksize_mask) == 0,9,6,15
effect < MAX_SPELL_EFFECTS,8,7,15
rem <= tbin->ncached,8,6,14
sizeof(typename OutputByteStream::Ch) == 1,14,0,14
bin->runcur->nfree > 0,8,6,14
!m_aura && aura,7,7,14
oldsize > newsize,8,6,14
sizeof(typename InputByteStream::Ch) == 1,14,0,14
nope,7,7,14
lg_range <= 64,7,6,13
lg_range <= 32,7,6,13
malloc_initialized || IS_INITIALIZER,10,3,13
m_Map,7,6,13
mod->charges == 0,7,6,13
min_run_size <= arena_maxclass,7,6,13
good_hdr_size <= good_reg0_offset,6,6,12
 (intId < 8) ,6,6,12
"index + 1 < m_valuesCount || PrintIndexError(index, false)",6,6,12
m_procDeep,6,6,12
y < MAX_NUMBER_OF_GRIDS,6,6,12
ckh->magic == CKH_MAGIC,6,6,12
sizeof(dec1) == 4,6,6,12
ofs < file.recordSize,6,6,12
ops,6,6,12
(slen % 4) == 0,6,6,12
fd >= MY_FILE_MIN && fd < (int)my_file_limit,6,6,12
min_run_size >= PAGE_SIZE,6,6,12
x < MAX_NUMBER_OF_GRIDS,6,6,12
"my_memmem(haystack, 10, needle, 3) != NULL",6,6,12
arena_salloc(ret) == tcache->arena->bins[binind].reg_size,6,6,12
!(block->status & BLOCK_CHANGED),6,6,12
read_length > 0,6,6,12
(page_st == PAGE_TO_BE_READ) || (block->status & BLOCK_READ),6,6,12
to <= end,6,6,12
