x_val,y_added,y_removed,y_combined
1,11,9,17
2,11,4,11
3,7,5,10
4,5,4,5
8,4,3,6
5,4,2,6
20,2,4,4
86,4,1,5
17,3,2,4
6,4,0,4
10,2,2,3
9,2,2,3
13,3,1,3
19,2,1,4
33,3,0,4
66,2,2,3
114,4,0,3
14,2,1,3
23,2,1,3
29,1,2,3
95,3,1,2
12,3,0,2
21,1,1,3
39,1,2,2
44,2,1,2
54,2,0,3
60,0,2,3
74,1,2,2
76,1,2,2
91,1,2,2
129,3,1,1
169,2,1,2
301,1,2,2
7,2,0,2
16,1,2,1
18,1,1,2
26,2,1,1
40,1,2,1
46,0,2,2
49,1,1,2
56,2,0,2
79,2,0,2
99,1,2,1
105,1,2,1
124,2,1,1
128,1,1,2
172,1,1,2
210,1,1,2
22,1,1,1
24,1,0,2
25,1,0,2
27,1,0,2
30,1,1,1
31,1,1,1
43,0,1,2
45,2,0,1
52,1,1,1
566,1,1,1
57,1,1,1
59,2,0,1
68,1,0,2
71,0,1,2
72,1,1,1
600,1,1,1
92,1,1,1
94,2,0,1
100,1,1,1
136,0,2,1
154,1,1,1
214,1,1,1
234,2,0,1
336,1,1,1
1411,1,1,1
398,1,1,1
400,1,1,1
409,1,1,1
521,1,0,1
15,1,0,1
28,1,0,1
538,1,0,1
34,1,0,1
556,0,1,1
50,1,0,1
48,0,1,1
53,1,0,1
55,1,0,1
61,1,0,1
62,1,0,1
64,0,1,1
65,1,0,1
592,1,0,1
89,1,0,1
96,1,0,1
610,0,1,1
118,1,0,1
119,1,0,1
120,1,0,1
122,0,2,0
125,0,2,0
141,0,1,1
145,1,0,1
146,0,1,1
151,1,0,1
159,1,0,1
167,0,1,1
682,0,1,1
171,1,0,1
173,0,1,1
176,1,0,1
177,1,0,1
708,0,1,1
196,0,2,0
199,1,0,1
200,0,1,1
218,1,0,1
230,1,0,1
237,0,1,1
249,0,1,1
259,0,1,1
261,0,1,1
779,1,0,1
268,1,0,1
273,1,0,1
283,0,1,1
297,0,1,1
306,0,1,1
308,0,1,1
321,1,0,1
839,1,0,1
329,1,0,1
330,0,1,1
354,0,1,1
376,0,1,1
379,1,0,1
476,0,1,1
480,0,1,1
36,0,1,0
38,1,0,0
554,0,1,0
47,1,0,0
567,1,0,0
58,0,0,1
73,0,1,0
75,0,1,0
77,0,0,1
78,0,1,0
593,0,1,0
81,0,1,0
83,0,0,1
93,1,0,0
606,0,1,0
103,0,1,0
116,1,0,0
628,1,0,0
1142,0,1,0
126,0,1,0
127,0,1,0
131,1,0,0
132,0,1,0
135,0,0,1
139,0,1,0
652,0,1,0
143,0,0,1
152,0,1,0
164,0,1,0
166,1,0,0
180,0,1,0
185,1,0,0
187,0,1,0
193,0,0,1
720,1,0,0
517,0,1,0
42,0,0,1
216,1,0,0
744,0,0,1
747,0,1,0
236,0,1,0
239,0,1,0
245,0,0,1
260,1,0,0
269,0,1,0
782,1,0,0
271,1,0,0
1028,0,1,0
275,1,0,0
279,0,1,0
11,0,0,1
298,1,0,0
302,0,1,0
322,1,0,0
324,0,1,0
327,1,0,0
853,1,0,0
880,1,0,0
373,1,0,0
380,1,0,0
898,1,0,0
387,1,0,0
392,0,1,0
425,0,1,0
955,1,0,0
457,0,1,0
488,0,1,0
495,0,1,0
