x_val,y_added,y_removed,y_combined
0,47,33,63
2,10,7,20
1,9,5,13
3,9,5,11
5,9,7,9
4,8,3,10
7,7,4,10
10,6,5,6
9,5,3,8
6,6,3,6
13,5,4,5
8,5,4,4
11,3,5,5
14,4,4,5
16,3,4,5
12,3,4,4
17,3,2,3
22,2,3,3
20,3,0,3
28,1,2,3
45,2,2,2
-1,2,2,2
15,2,1,2
19,2,2,1
29,1,2,2
34,2,1,2
46,1,2,2
52,2,1,2
18,1,1,2
27,0,3,1
38,1,2,1
42,1,1,2
-13,1,1,2
21,1,1,1
23,1,1,1
30,1,1,1
31,0,2,1
32,2,1,0
36,1,1,1
37,2,0,1
40,1,1,1
41,0,1,2
43,0,2,1
48,1,1,1
51,0,2,1
71,2,0,1
92,1,1,1
99,1,1,1
155,1,1,1
190,1,1,1
-41,1,1,1
24,0,1,1
25,1,0,1
33,0,1,1
55,0,1,1
67,0,1,1
74,1,0,1
82,0,1,1
86,1,0,1
103,0,1,1
169,1,0,1
174,1,0,1
-156,1,0,1
-46,1,0,1
-37,0,1,1
-16,1,0,1
-14,1,0,1
-6,1,0,1
-4,1,0,1
26,1,0,0
-470,0,0,1
47,0,1,0
49,0,1,0
56,0,1,0
57,1,0,0
-448,1,0,0
70,1,0,0
75,0,1,0
83,1,0,0
85,1,0,0
95,1,0,0
96,1,0,0
98,1,0,0
113,0,1,0
-378,0,1,0
321,0,1,0
-70,0,0,1
-65,0,1,0
-51,1,0,0
-36,0,1,0
-12,0,1,0
-7,1,0,0
