x_val,y_added,y_removed,y_combined
"r, ""insert should succeed""",29,22,51
"j3a->heap_index == 0, ""should match""",9,6,15
"j3->heap_index == 1, ""should match""",9,6,15
"j2->heap_index == 0, ""should match""",9,6,15
"get_all_jobs_used() == 1, ""should match""",9,6,15
"job_pri_cmp(a, b) < 0, ""should be a < b""",6,6,12
"j, ""allocation""",6,4,10
"j1, ""allocate job""",6,4,10
"r, ""heapinsert""",6,4,10
"j3b->heap_index == 1, ""should match""",6,4,10
"get_all_jobs_used() == 0, ""should match""",6,4,10
"job_pri_less(a, b), ""should be less""",6,3,9
"j->pri >= last_pri, ""should come out in order""",4,4,8
"j == j2, ""j2 should come out second.""",4,3,7
"j == j3c, ""j3c should come out third.""",4,3,7
"j == j1, ""j1 should come back out""",4,3,7
"j == j3a, ""j3a should come out first.""",4,3,7
"j == j3b, ""j3b should come out second.""",4,3,7
"j == j1, ""j1 should come out first.""",4,3,7
"strcmp(srv.user, ""kr"") == 0",4,2,6
"*all_jobs_used_ptr == 1, ""should match""",3,3,6
verbose == 2,4,2,6
srv.wal.nocomp == 0,4,2,6
srv.wal.wantsync == 0,4,2,6
srv.wal.nocomp == 1,4,2,6
"j->r.pri >= last_pri, ""should come out in order""",4,2,6
"j, ""allocate job""",4,2,6
"strcmp(srv.addr, ""localhost"") == 0",4,2,6
"j3b, ""allocate job""",3,2,5
"j3c->heap_index == 1, ""should match""",3,2,5
"j2->heap_index == 2, ""should match""",3,2,5
"!job_find(jid), ""job should be missing""",3,2,5
"a->ht_next == b, ""b should be chained to a""",3,2,5
"j2, ""allocate job""",3,2,5
"h.data[2] == j3c, ""j3c should be in pos 2""",3,2,5
"j == j3, ""j3 should come out third.""",3,2,5
"j->heap_index == 0, ""should match""",3,2,5
"h.data[1] == j3b, ""j3b should be in pos 1""",3,2,5
"j3a, ""allocate job""",3,2,5
"h.len == 0, ""h should be empty.""",3,2,5
"j->heap_index == -1, ""j's heap index should be invalid""",3,2,5
"j3b->heap_index == 0, ""should match""",3,2,5
"j3c, ""allocate job""",3,2,5
"a->ht_next == NULL, ""job should be missing""",3,2,5
"get_all_jobs_used() == 100000, ""should match""",3,2,5
"j3c->heap_index == 0, ""should match""",3,2,5
"j3c->heap_index == 2, ""should match""",3,2,5
"h.len == 1, ""h should contain one item.""",3,2,5
"j1->heap_index == 0, ""should match""",3,2,5
"h.data[0] == j3a, ""j3a should be in pos 0""",3,2,5
"j3->heap_index == 0, ""should match""",3,2,5
"j3, ""allocate job""",3,2,5
"job_pri_cmp(a, b) > 0, ""should be a > b""",2,2,4
s.wal.nocomp == 0,2,2,4
"WIFSIGNALED(srvst) && WTERMSIG(srvst) == 9, ""srv status""",2,2,4
"j->pri == 1, ""priority should match""",2,2,4
"strcmp(s.addr, ""localhost"") == 0",2,2,4
