x_val,y_added,y_removed,y_combined
1,7,2,9
2,4,1,5
20,2,1,4
17,2,1,3
28,3,0,3
60,1,2,3
4,0,2,3
32,2,1,2
35,2,0,3
144,1,2,2
257,2,1,2
42,2,0,2
47,2,0,2
56,0,2,2
192,1,2,1
11,1,1,1
21,0,1,2
23,1,1,1
40,1,1,1
43,0,2,1
59,1,1,1
79,0,1,2
607,1,1,1
105,1,1,1
136,1,1,1
6,1,0,1
7,1,0,1
8,1,0,1
9,1,0,1
519,1,0,1
19,1,0,1
22,1,0,1
24,1,0,1
29,0,1,1
30,1,0,1
44,1,0,1
66,1,0,1
85,0,1,1
87,0,1,1
90,0,1,1
106,1,0,1
115,0,1,1
125,1,0,1
155,1,0,1
168,1,0,1
178,0,1,1
193,1,0,1
205,1,0,1
717,1,0,1
215,0,1,1
242,1,0,1
263,1,0,1
267,1,0,1
268,0,1,1
309,1,0,1
426,1,0,1
443,0,1,1
491,0,1,1
10,0,0,1
18,1,0,0
2073,0,1,0
543,1,0,0
34,0,0,1
45,1,0,0
68,0,1,0
89,0,1,0
120,1,0,0
127,0,1,0
132,0,1,0
145,1,0,0
1187,1,0,0
684,1,0,0
183,0,0,1
200,1,0,0
203,0,1,0
213,1,0,0
224,1,0,0
229,0,0,1
232,0,0,1
244,1,0,0
284,0,1,0
285,1,0,0
288,0,1,0
303,0,1,0
320,0,1,0
348,0,1,0
864,1,0,0
376,0,1,0
401,0,0,1
955,0,0,1
451,0,1,0
998,0,1,0
