x_val,y_added,y_removed,y_combined
0,6,2,8
2,3,2,4
32,2,2,4
-6,2,2,2
4,0,2,3
5,2,1,2
13,2,1,2
22,1,2,2
30,1,2,2
46,2,1,2
48,1,1,3
104,3,0,2
26,2,0,2
42,2,0,2
80,2,0,2
84,2,0,2
99,2,0,2
6,1,1,1
11,1,0,2
-116,1,1,1
12,1,1,1
18,1,1,1
19,0,1,2
28,1,1,1
37,1,1,1
166,1,1,1
44,1,1,1
45,1,1,1
49,2,0,1
53,1,1,1
55,1,0,2
62,2,0,1
91,1,0,2
-22,1,1,1
-1,0,2,1
1,1,0,1
3,1,0,1
8,0,1,1
9,0,1,1
14,0,1,1
146,1,0,1
23,0,1,1
24,1,0,1
25,1,0,1
27,0,1,1
-99,1,0,1
38,0,1,1
39,0,1,1
52,1,0,1
-332,1,0,1
-71,1,0,1
195,1,0,1
-59,1,0,1
-36,1,0,1
-162,1,0,1
-26,1,0,1
102,0,1,1
109,1,1,0
-16,0,1,1
120,0,2,0
-2,1,0,1
10,0,0,1
16,0,0,1
17,0,1,0
151,0,0,1
168,1,0,0
41,1,0,0
-88,0,1,0
50,0,1,0
185,0,1,0
342,0,1,0
93,0,1,0
-37,0,0,1
-35,0,0,1
94,0,0,1
100,0,1,0
228,0,1,0
105,1,0,0
112,1,0,0
122,1,0,0
