x_val,y_added,y_removed,y_combined
"kind<RootType>() == Kind::STRUCT, ""Root type must be a Cap'n Proto struct type.""",8,8,16
"index < elementCount, ""List index out of range.""",5,5,10
"true, """"",4,4,8
"sizeof(byte) == 1, ""uint8_t is not one byte?""",4,3,7
"sizeof(word) == 8, ""uint64_t is not 8 bytes?""",4,3,7
"sizeof(Slot) == sizeof(T), ""union is bigger than content?""",3,3,6
"pos == size() && i == end, ""copyFrom() argument had different size.""",3,3,6
"other.size() == size(), ""copyFrom() argument had different size.""",3,3,6
"isIntegral<OtherNumber>(), ""Multiplied Quantity by non-integer.""",3,2,5
"isIntegral<OtherNumber>(), ""Divided Quantity by non-integer.""",3,2,5
"isIntegral<Number>(), ""Underlying type for Quantity must be integer.""",3,2,5
"isIntegral<Number>(), ""Underlying type for UnitRatio must be integer.""",3,2,5
"text[size()] == '\0', ""Text must be NUL-terminated.""",2,2,4
"debug::refFieldIsList(descriptor, refIndex), ""StructBuilder::initListField() type mismatch.""",2,2,4
"start <= end && end <= size_, ""Out-of-bounds slice.""",2,2,4
"!IsLvalueReference<T>::value, ""Attempting to forward rvalue as lvalue reference.""",2,2,4
!atEnd(),2,2,4
"internal::debug::refFieldIsList(descriptor, refIndex), ""StructPtr::initListField() type mismatch.""",2,2,4
"sizeof(T) < 0, ""You can't take the address of a list member because they are not stored in memory "" ""in a directly-usable format.""",2,2,4
"debug::refFieldIsList(descriptor, refIndex), ""StructPtr::initListField() type mismatch.""",2,2,4
"expected.size(), reader.size()",3,1,4
"kind<T>() == Kind::STRUCT, ""DynamicStruct::Reader::as<T>() can only convert to struct types.""",2,1,3
"kind<T>() == Kind::STRUCT, ""DynamicStruct::Builder::as<T>() can only convert to struct types.""",2,1,3
"sizeof(result) == sizeof(value), ""double is not 64 bits?""",2,1,3
"sizeof(T) == 2, ""Don't know how to mask this type.""",2,1,3
"kind<T>() == Kind::LIST, ""DynamicStruct::Reader::as<T>() can only convert to list types.""",2,1,3
"sizeof(i) == sizeof(value), ""float is not 32 bits?""",2,1,3
"sizeof(result) == sizeof(value), ""float is not 32 bits?""",2,1,3
"kind<T>() == Kind::LIST, ""ListSchema::requireUsableAs<T>() requires T is a list type.""",2,1,3
"sizeof(i) == sizeof(value), ""double is not 64 bits?""",2,1,3
"kind<T>() == Kind::LIST, ""DynamicStruct::Builder::as<T>() can only convert to list types.""",2,1,3
"index < sizeof...(T), ""Tuple element index out-of-bounds.""",3,0,3
"data()[size()] == '\0', ""Text must be NUL-terminated.""",1,1,2
"internal::debug::elementsAreStructs(descriptor, elementWordSize), ""ListPtr::getStructElement() type mismatch.""",1,1,2
" internal::debug::fieldIsData(descriptor, fieldNumber, offset, sizeof(T) * 8), ""StructReadPtr::getDataField() type mismatch.""",1,1,2
"debug::elementsAreStructs(descriptor, elementWordSize), ""ListBuilder::getStructElement() type mismatch.""",1,1,2
"sizeof(T) < 0, ""Continuation passed to thenInAnyThread() cannot return a promise.""",1,1,2
"__builtin_offsetof(StructDescriptor, base) == 0, ""'base' must be the first member of StructDescriptor to allow reinterpret_cast from "" ""Descriptor to StructDescriptor.""",1,1,2
"debug::fieldIsData(descriptor, fieldNumber, offset, sizeof(T) * 8), ""StructReadPtr::getDataField() type mismatch.""",1,1,2
" internal::debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListReadPtr::getDataElement() type mismatch.""",1,1,2
"debug::bitFieldInRange(descriptor, offset * BITS), ""StructBuilder::getDataField<bool>() type mismatch.""",1,1,2
"debug::refFieldIsStruct(descriptor, refIndex), ""StructBuilder::getStructField() type mismatch.""",1,1,2
"debug::fieldIsData(descriptor, fieldNumber, offset, 1), ""StructReader::getDataField<bool>() type mismatch.""",1,1,2
"debug::bitFieldInRange(descriptor, offset), ""StructPtr::getDataField<bool>() type mismatch.""",1,1,2
"debug::elementsAreLists(descriptor), ""ListPtr::initListElement() type mismatch.""",1,1,2
"scratchCounter < 6, ""Too many scratch spaces needed at once.""",1,1,2
"debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListPtr::setDataElement() type mismatch.""",1,1,2
"debug::bitFieldInRange(descriptor, offset), ""StructPtr::setDataField<bool>() type mismatch.""",1,1,2
"debug::elementsAreData(descriptor, 1 * BITS), ""ListBuilder::getDataElement<bool>() type mismatch.""",1,1,2
"debug::elementsAreData(descriptor, 1), ""ListPtr::getDataElement<bool>() type mismatch.""",1,1,2
"kind<T>() == Kind::STRUCT, ""Root type must be a Cap'n Proto struct type.""",1,1,2
"debug::elementsAreData(descriptor, 1 * BITS), ""ListReader::getDataElement<bool>() type mismatch.""",1,1,2
"internal::debug::elementsAreLists(descriptor), ""ListPtr::initListElement() type mismatch.""",1,1,2
"debug::bitFieldInRange(descriptor, offset * BITS), ""StructBuilder::setDataField<bool>() type mismatch.""",1,1,2
"debug::elementsAreData(descriptor, 1), ""ListReadPtr::getDataElement<bool>() type mismatch.""",1,1,2
"debug::dataFieldInRange(descriptor, offset, sizeof(T)), ""StructBuilder::getDataField() type mismatch.""",1,1,2
"debug::dataFieldInRange(descriptor, offset, sizeof(T) * BYTES), ""StructBuilder::getDataField() type mismatch.""",1,1,2
" internal::debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListPtr::setDataElement() type mismatch.""",1,1,2
"debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListPtr::getDataElement() type mismatch.""",1,1,2
"debug::elementsAreStructs(descriptor, elementWordSize), ""ListPtr::getStructElement() type mismatch.""",1,1,2
"debug::elementsAreLists(descriptor), ""ListPtr::getListElement() type mismatch.""",1,1,2
"debug::dataFieldInRange(descriptor, offset, sizeof(T)), ""StructPtr::getDataField() type mismatch.""",1,1,2
"debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListBuilder::setDataElement() type mismatch.""",1,1,2
"pos == endPtr, ""ArrayBuilder::finish() called prematurely.""",1,1,2
"debug::elementsAreStructs(descriptor, elementSize), ""ListBuilder::getStructElement() type mismatch.""",1,1,2
"CAPNPROTO_OFFSETOF(StructDescriptor, base) == 0, ""'base' must be the first member of StructDescriptor to allow reinterpret_cast from "" ""Descriptor to StructDescriptor.""",1,1,2
"debug::dataFieldInRange(descriptor, offset, sizeof(T)), ""StructPtr::setDataField() type mismatch.""",1,1,2
"debug::fieldIsData(descriptor, fieldNumber, offset, 1 * BITS), ""StructReader::getDataField<bool>() type mismatch.""",1,1,2
"debug::fieldIsStruct(descriptor, fieldNumber, refIndex), ""StructReader::getStructField() type mismatch.""",1,1,2
"debug::elementsAreLists(descriptor), ""ListReadPtr::getListElement() type mismatch.""",1,1,2
"kind<T>() == Kind::INTERFACE, ""DynamicCapability::Client::as<T>() can only convert to interface types.""",2,0,2
"debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListBuilder::getDataElement() type mismatch.""",1,1,2
"debug::elementsAreStructs(descriptor), ""ListReader::getStructElement() type mismatch.""",1,1,2
"debug::elementsAreStructs(descriptor), ""ListReadPtr::getStructElement() type mismatch.""",1,1,2
"size() == other.size(), ""Sizes must match to copy.""",1,1,2
"debug::elementsAreLists(descriptor), ""ListBuilder::getListElement() type mismatch.""",1,1,2
" internal::debug::dataFieldInRange(descriptor, offset, sizeof(T)), ""StructPtr::getDataField() type mismatch.""",1,1,2
"internal::debug::elementsAreLists(descriptor), ""ListPtr::getListElement() type mismatch.""",1,1,2
"debug::dataFieldInRange(descriptor, offset, sizeof(T)), ""StructBuilder::setDataField() type mismatch.""",1,1,2
"debug::elementsAreData(descriptor, 1), ""ListBuilder::getDataElement<bool>() type mismatch.""",1,1,2
" internal::debug::fieldIsData(descriptor, fieldNumber, offset, 1), ""StructReadPtr::getDataField<bool>() type mismatch.""",1,1,2
"CAPNPROTO_OFFSETOF(ListDescriptor, base) == 0, ""'base' must be the first member of ListDescriptor to allow reinterpret_cast from "" ""Descriptor to ListDescriptor.""",1,1,2
"internal::debug::refFieldIsStruct(descriptor, refIndex), ""StructPtr::getStructField() type mismatch.""",1,1,2
"index < size_, ""Out-of-bounds Array access.""",1,1,2
" internal::debug::elementsAreData(descriptor, 1), ""ListReadPtr::getDataElement<bool>() type mismatch.""",1,1,2
" internal::debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListPtr::getDataElement() type mismatch.""",1,1,2
"internal::debug::elementsAreLists(descriptor), ""ListReadPtr::getListElement() type mismatch.""",1,1,2
"scratchCounter < 4, ""Too many scratch spaces needed at once.""",1,1,2
"debug::bitFieldInRange(descriptor, offset), ""StructBuilder::getDataField<bool>() type mismatch.""",1,1,2
"debug::fieldIsList(descriptor, fieldNumber, refIndex), ""StructReadPtr::getListField() type mismatch.""",1,1,2
"debug::elementsAreData(descriptor, 1), ""ListReader::getDataElement<bool>() type mismatch.""",1,1,2
_::Mutex::SHARED,2,0,2
"debug::elementsAreData(descriptor, 1 * BITS), ""ListBuilder::setDataElement<bool>() type mismatch.""",1,1,2
"kind<RootType>() == Kind::STRUCT, ""Parameter must be a Reader for a Cap'n Proto struct type.""",1,1,2
isCanonical(),1,1,2
"!isLvalueReference<T>(), ""Attempting to forward rvalue as lvalue reference.""",1,1,2
"debug::elementsAreData(descriptor, sizeof(T) * 8), ""ListReader::getDataElement() type mismatch.""",1,1,2
"start <= end && end <= size_, ""Out-of-bounds ArrayPtr::slice().""",1,1,2
