x_val,y_added,y_removed,y_combined
 rc==SQLITE_OK ,27,0,27
 cursorHoldsMutex(pCur) ,25,0,25
 sqlite3_mutex_held(db->mutex) ,22,0,22
 sqlite3_mutex_held(pBt->mutex) ,22,0,22
pPager,22,0,22
" sqlite3SchemaMutexHeld(db, iDb, 0) ",21,0,21
 pFile ,21,0,21
 assert_pager_state(pPager) ,21,0,21
 pOp->p1>=0 && pOp->p1<p->nCursor ,20,0,20
image != 0,12,5,17
 sqlite3_mutex_held(pCtx->s.db->mutex) ,17,0,17
 sqlite3_mutex_held(pPage->pBt->mutex) ,17,0,17
argc >= 3,10,5,15
CCV_GET_DATA_TYPE(a->type) == CCV_32F,12,3,15
0,13,1,14
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,14,0,14
 p!=0 ,13,0,13
a->type & CCV_C1,7,6,13
"k >= 0 && k < ccv_max(db->rows, db->cols)",8,4,12
 v!=0 ,12,0,12
 sqlite3_mutex_held(p->db->mutex) ,11,0,11
 db!=0 ,11,0,11
 argc==1 ,11,0,11
!isnan(score),10,1,11
" !ExprHasProperty(pExpr, EP_IntValue) ",11,0,11
 pCur->eState==CURSOR_VALID ,10,0,10
 sqlite3PagerIswriteable(pPage->pDbPage) ,10,0,10
 !pagerUseWal(pPager) ,10,0,10
 sqlite3_mutex_held(mem3.mutex) ,10,0,10
x == 0 || y == 0,6,4,10
 v ,10,0,10
box->neighbors >= 0 && box->neighbors < best_box.neighbors,6,4,10
CURRENT == NULL,10,0,10
 (pMem->flags & MEM_RowSet)==0 ,10,0,10
 p->readOnly==0 ,10,0,10
CCV_GET_CHANNEL(a->type) == CCV_C1,7,3,10
 !db->mallocFailed ,9,0,9
p,9,0,9
((uint64_t)set & 0x3) == 0,6,3,9
 p->magic==VDBE_MAGIC_INIT ,9,0,9
 !MEMDB ,9,0,9
"param_parser_map_alphabet(param_map, sizeof(param_map) / sizeof(param_dispatch_t)) == 0",8,0,8
a->rows == state->size.height + 2 && a->cols == state->size.width + 2,4,4,8
 iDb>=0 && iDb<db->nDb ,8,0,8
a->rows == state->size.height && a->cols == state->size.width,4,4,8
"k >= 0 && k < ccv_max(db->rows, db->cols) + 1",4,4,8
 pEList!=0 ,8,0,8
 p->bIsReader ,8,0,8
 sqlite3BtreeHoldsMutex(p) ,8,0,8
working_dir != 0,6,2,8
scale_size.width > 0 && scale_size.height > 0,4,3,7
rgb_padding >= 0,7,0,7
positive_list != 0,6,1,7
 p->nRef>0 ,7,0,7
 pWal->writeLock ,7,0,7
 pOp->p1>=0 && pOp->p1<db->nDb ,7,0,7
linear != 0,4,3,7
 EIGHT_BYTE_ALIGNMENT(pMem) ,7,0,7
 p->pSegments==0 ,7,0,7
"r0 && ""positive-list doesn't exists""",6,1,7
 sqlite3BtreeHoldsAllMutexes(db) ,7,0,7
argc == 3,6,1,7
argc == 2,5,2,7
rate > 0.5,4,3,7
 rc!=SQLITE_DONE ,6,0,6
y >= 0 && y + rows <= da->rows && x >= 0 && x + cols <= da->cols,3,3,6
"r1 && ""background-list doesn't exists""",5,1,6
i == dmt->data.i[0],3,3,6
