x_val,y_added,y_removed,y_combined
0,57,22,75
1,37,11,36
3,17,12,17
2,18,6,19
4,14,5,14
6,11,4,11
5,7,2,6
7,5,3,5
8,2,4,3
12,3,3,3
11,2,4,2
14,3,1,3
9,3,0,3
10,2,1,2
13,1,3,1
15,1,2,2
18,2,1,2
29,2,1,2
16,2,0,2
25,1,2,1
17,0,3,0
21,1,1,1
28,1,1,1
33,1,1,1
46,1,1,1
57,1,1,1
19,0,2,0
27,1,0,1
32,1,0,1
42,1,0,1
45,1,0,1
48,1,0,1
51,1,0,1
67,1,0,1
80,1,0,1
208,0,1,1
106,1,0,1
115,1,0,1
138,0,1,0
149,0,1,0
24,0,1,0
157,0,1,0
35,0,1,0
52,0,1,0
53,0,1,0
223,1,0,0
95,0,1,0
97,0,1,0
