x_val,y_added,y_removed,y_combined
r == 0,622,8,630
r != -1,78,75,153
status == 0,101,0,101
r == -1,33,32,65
0,51,10,61
r >= 0,54,2,56
close_cb_called == 1,42,2,44
outMessage != NULL,20,20,40
"0 == uv_ip4_addr(""127.0.0.1"", TEST_PORT, &addr)",35,0,35
handle != NULL,35,0,35
req.result != -1,17,17,34
outMessage->replyTo != NULL,16,16,32
req != NULL,26,0,26
status == -1,13,13,26
req->result != -1,12,12,24
"0 == uv_run(loop, UV_RUN_DEFAULT)",24,0,24
open_req1.result != -1,12,12,24
exit_cb_called == 1,21,2,23
req->result == 0,23,0,23
close_req.result != -1,11,11,22
uv_last_error(uv_default_loop()).code == UV_EINVAL,11,11,22
close_cb_called == 2,20,1,21
ArchInfo_Endian_BIG,10,10,20
!r,18,0,18
"0 == memcmp(parserInput->tid_return, ""aa"", 1), ""transactionId is not 'aa'\n""",9,9,18
"(parserInput->nodes6_len == 0), ""nodes6 length was not 0\n""",9,9,18
"(parserInput->want_return == -1), ""want was not -1\n""",9,9,18
"(parserInput->tid_len == 2), ""transactionId is wrong length\n""",9,9,18
"(parserInput->values6_len == 0), ""values6 length was not 0\n""",9,9,18
req.result >= 0,17,0,17
req.result == 0,17,0,17
"(parserInput->values_len == 0), ""values length was not 0\n""",8,8,16
"0 == uv_run(uv_default_loop(), UV_RUN_DEFAULT)",16,0,16
close_cb_called == 0,16,0,16
UV_OK == err.code,8,8,16
"(parserInput->port_return == 0), ""port was not set to 0\n""",8,8,16
connect_cb_called == 1,16,0,16
r == UV_EINVAL,15,0,15
close_req.result == 0,13,1,14
nread == UV_EOF,13,0,13
0 == uv_thread_join(&thread),12,0,12
req.result == -1,6,6,12
!(handle->flags & UV_HANDLE_CLOSED),12,0,12
"(parserInput->token_len == 0), ""token length was not 0\n""",6,6,12
token != NULL,6,6,12
uv__stream_fd(stream) >= 0,9,3,12
open_req1.result >= 0,12,0,12
"(parserInput->nodes_len == 0), ""nodes length was not 0\n""",6,6,12
"0 == memcmp(parserInput->id_return, ""abcdefghij0123456789"", 20), ""peer's id is incorrect\n""",6,6,12
err == 0,11,0,11
tn->nodeB,6,5,11
tn->nodeA,6,5,11
buf.len > 0,5,5,10
ArchInfo_Bits_64,5,5,10
suggested_size <= sizeof slab,5,5,10
"0 == uv_thread_create(&thread, worker, &wc)",10,0,10
uv_last_error(uv_default_loop()).code == UV_EOF,5,5,10
ArchInfo_Bits_32,5,5,10
write_req.result != -1,5,5,10
ArchInfo_Arch_32,5,5,10
err.code == UV_OK,5,5,10
"0 == uv_ip4_addr(""0.0.0.0"", TEST_PORT, &addr)",10,0,10
false,5,5,10
args != NULL,5,5,10
req->result == -1,5,5,10
shutdown_cb_called == 1,10,0,10
r == 1,6,4,10
buff = evbuffer_new(),5,5,10
"!isZero(header->handshake.encryptedTempKey, 32)",5,5,10
"!memcmp(map->canary, ""\0\0\0"", 3)",3,6,9
req == &connect_req,9,0,9
newMembersList[memberCount] == NULL,4,4,8
tokenPtr != NULL,4,4,8
"strcmp(buf, test_buf) == 0",8,0,8
MallocAllocator_bytesAllocated(alloc) == bytesUsed,4,4,8
!uv_is_closing((uv_handle_t*) &timer),4,4,8
ArchInfo_Endian_LITTLE,4,4,8
"node, store",4,4,8
uv_last_error(loop).code == UV_ENOENT,4,4,8
"!Bits_isZero(header->handshake.encryptedTempKey, 32)",4,4,8
write_req.result >= 0,7,1,8
ngx_queue_empty(&loop->watcher_queue),4,4,8
read_req.result != -1,4,4,8
message->length + message->padding == 400,4,4,8
tn->nodeC,4,4,8
r == 2,5,2,7
0 == status,7,0,7
close_cb_called == 3,7,0,7
0 == uv_mutex_init(&wc.mutex),7,0,7
loop != NULL,7,0,7
handle->type == UV_NAMED_PIPE,7,0,7
result.code == UV_OK,3,3,6
!uv_is_active((uv_handle_t*) &timer),3,3,6
uv_last_error(uv_default_loop()).code == UV_EADDRINUSE,3,3,6
loop->watchers != NULL,6,0,6
!uv_is_active((uv_handle_t*)handle),3,3,6
sizeof(struct UDPHeader) == 8,3,3,6
uv_last_error(uv_default_loop()).code == UV_EADDRNOTAVAIL,3,3,6
uv_is_active((uv_handle_t*)handle),3,3,6
timer_cb_called == 1,5,1,6
uv_last_error(loop).code == UV_EOF,3,3,6
buf.base != NULL,6,0,6
argc > 0,3,3,6
"parserInput->parser_return == REPLY, ""query type not reply for find_node""",3,3,6
(buf = gcry_malloc_secure(len)),3,3,6
module != NULL,3,3,6
rc <= MAX_MESSAGE_SIZE,3,3,6
req->fs_type == UV_FS_OPEN,6,0,6
ArchInfo_Arch_64,3,3,6
"memcmp(hello, finalOut->bytes, 13) == 0",3,3,6
"child, store",3,3,6
"(parserInput->token_len == 8), ""token length was not 8\n""",3,3,6
addrLength <= sizeof(struct sockaddr_storage),3,3,6
term_signal == 0,4,1,5
handle->flags & UV_HANDLE_READING,5,0,5
nread == 4,5,0,5
req->path,5,0,5
r > 0,5,0,5
incoming->wrstate == c_stop,5,0,5
suggested_size <= sizeof(slab),5,0,5
outgoing->wrstate == c_stop,5,0,5
write_cb_called == 1,5,0,5
outgoing->rdstate == c_stop,5,0,5
"0 == uv_ip4_addr(""127.0.0.1"", TEST_PORT, &server_addr)",5,0,5
open_cb_count == 1,5,0,5
1 == timer_cb_called,5,0,5
incoming->rdstate == c_stop,5,0,5
!(handle->flags & UV_HANDLE_READ_PENDING),5,0,5
handle->type == UV_TCP,5,0,5
req,5,0,5
!(handle->flags & (UV_CLOSING | UV_CLOSED)),5,0,5
req == &shutdown_req,5,0,5
0 == uv_cond_init(&wc.cond),5,0,5
"!context->contentSmInside->sendMessage(message, context->contentSmInside)",2,2,4
timer_cb_called == 0,4,0,4
"memcmp(""PING"", buf.base, nread) == 0",2,2,4
"grandChild, store",2,2,4
uv_is_writable((uv_stream_t*)&channel),2,2,4
message,2,2,4
create_cb_count == 1,4,0,4
finalOut,2,2,4
sock >= 0,4,0,4
finalOut->length == 13,2,2,4
req.result == UV_ENOENT,4,0,4
options.file != NULL,2,2,4
"0 == memcmp(parserInput->info_hash_return, ""mnopqrstuvwxyz123456"", 20), ""infoHash was set for a find_node!\n""",2,2,4
"memcmp(""hello\n"", buf.base, nread) == 0",2,2,4
toShift->length < 60000,2,2,4
"!context->contentSmInside->sendMessage(&message, context->contentSmInside)",2,2,4
"0 == uv_tcp_connect(&connect_req, &tcp_handle, addr, connect_cb)",2,2,4
message->length == 51+120+40,2,2,4
1 == check_cb_called,4,0,4
err.code == 0,2,2,4
"memcmp(outMessage->bytes, expectedResponse, strlen(expectedResponse)) == 0",2,2,4
send_cb_called == 1,4,0,4
stream->write_queue_size == 0,2,2,4
read_req.result >= 0,4,0,4
uv_last_error(uv_default_loop()).code == UV_ECONNREFUSED,2,2,4
sizeof(union Headers_CryptoAuth) == Headers_CryptoAuth_SIZE,2,2,4
"link->child, store",2,2,4
uv_last_error(uv_default_loop()).code == UV_ENOTSUP,2,2,4
buf.base,2,2,4
"message->padding >= sizeof(union Headers_CryptoAuth) || !""not enough padding""",2,2,4
finalOut->length == 12,2,2,4
addr != NULL,4,0,4
!(options.flags & ~(UV_PROCESS_DETACHED | UV_PROCESS_SETGID | UV_PROCESS_SETUID | UV_PROCESS_WINDOWS_HIDE | UV_PROCESS_WINDOWS_VERBATIM_ARGUMENTS)),2,2,4
"memcmp(hello, finalOut->bytes, 12) == 0",2,2,4
"memcmp(bytes, bytes2, 32) == 0",2,2,4
0 == uv_is_closing((uv_handle_t*) &timer),4,0,4
uv_last_error(loop).code == UV_EINVAL,2,2,4
"(parserInput->nodes_len == 9), ""nodes length was not correct.\n""",2,2,4
"0 && ""unexpected error""",4,0,4
fs_event_cb_called == 1,3,1,4
req.errorno == UV_ENOENT,2,2,4
timeout != -1,4,0,4
buf.base[i] == PING[pinger->state],2,2,4
message.replyTo != NULL,2,2,4
uv_is_readable((uv_stream_t*)&channel),2,2,4
status == UV_ECANCELED,4,0,4
flags == 0,4,0,4
