x_val,y_added,y_removed,y_combined
1,24,13,37
2,18,7,20
3,7,6,13
4,9,4,12
6,7,5,9
7,2,6,4
5,3,4,4
9,2,2,4
11,4,2,2
8,3,2,2
14,3,1,3
13,2,1,2
32,2,1,2
15,2,0,2
16,1,1,2
19,2,1,1
20,0,3,1
24,1,1,2
66,1,2,1
27,2,0,1
38,1,1,1
113,1,1,1
123,1,1,1
12,1,1,0
18,1,1,0
21,0,1,1
23,0,1,1
28,1,0,1
30,1,1,0
134,0,1,1
36,0,2,0
39,1,0,1
41,0,1,1
45,1,0,1
185,1,0,1
60,1,0,1
61,1,0,1
100,1,0,1
102,1,0,1
368,1,0,1
125,0,1,1
1032,1,0,0
17,0,1,0
147,0,1,0
154,1,0,0
158,0,0,1
164,0,1,0
44,1,0,0
51,0,1,0
10,0,0,1
181,1,0,0
1028,0,0,1
58,0,1,0
67,0,1,0
468,0,1,0
1273,0,1,0
