x_val,y_added,y_removed,y_combined
1,13,7,30
2,10,8,15
5,4,5,8
4,6,3,7
3,4,3,6
6,4,1,5
9,4,3,3
42,4,3,3
31,3,2,4
12,4,2,2
7,2,2,3
14,1,1,5
11,0,4,3
29,3,2,2
17,3,1,2
18,1,2,2
59,2,1,2
10,1,1,2
13,2,1,1
15,2,1,1
23,1,2,1
25,2,0,2
26,0,2,2
27,2,0,2
38,0,3,1
40,1,1,2
41,2,1,1
65,1,1,2
214,0,2,2
223,1,1,2
44,1,1,1
55,2,0,1
60,2,1,0
66,1,1,1
71,1,0,2
72,1,2,0
75,1,0,2
120,1,1,1
127,1,1,1
178,1,1,1
179,2,0,1
181,1,1,1
189,1,1,1
193,0,3,0
711,1,1,1
225,1,1,1
257,1,1,1
262,1,1,1
326,1,1,1
449,1,1,1
8,1,0,1
520,1,0,1
1041,1,0,1
20,1,0,1
541,1,0,1
34,1,0,1
35,1,0,1
1578,1,0,1
45,1,0,1
53,1,0,1
67,0,0,2
70,1,0,1
73,0,1,1
74,1,0,1
76,1,0,1
77,1,1,0
591,1,0,1
80,1,0,1
86,0,1,1
91,1,0,1
93,1,0,1
95,1,0,1
104,1,0,1
113,1,0,1
116,1,0,1
123,1,0,1
132,0,1,1
646,1,0,1
137,1,0,1
650,0,1,1
143,1,0,1
146,1,0,1
1170,0,1,1
153,1,0,1
159,1,0,1
161,1,0,1
162,1,0,1
165,1,0,1
167,1,0,1
168,0,1,1
173,1,0,1
185,1,0,1
188,0,1,1
221,0,1,1
222,1,0,1
238,1,0,1
247,0,1,1
253,1,0,1
266,1,0,1
267,1,0,1
786,0,1,1
284,1,0,1
297,1,0,1
345,1,0,1
352,1,0,1
359,1,0,1
374,0,1,1
393,1,0,1
400,0,1,1
403,1,0,1
466,1,0,1
486,1,0,1
491,1,0,1
16,0,1,0
21,0,1,0
530,0,1,0
1558,0,1,0
30,1,0,0
28,0,0,1
33,0,0,1
36,0,0,1
3622,1,0,0
1579,0,1,0
518,0,1,0
560,0,0,1
561,0,1,0
52,0,0,1
58,0,0,1
574,1,0,0
63,0,0,1
2129,0,1,0
525,0,0,1
19,0,0,1
97,0,0,1
98,1,0,0
107,0,1,0
22,0,0,1
119,0,0,1
125,0,1,0
140,0,1,0
142,0,0,1
662,0,1,0
151,0,0,1
156,0,0,1
1184,0,0,1
163,0,1,0
1192,0,0,1
170,0,1,0
685,0,1,0
174,0,0,1
37,0,0,1
190,1,0,0
200,1,0,0
199,0,1,0
714,0,1,0
205,0,1,0
212,0,1,0
239,0,1,0
242,1,0,0
5875,0,1,0
755,0,1,0
245,0,1,0
248,1,0,0
1273,0,0,1
1277,1,0,0
1285,1,0,0
278,0,1,0
279,1,0,0
791,1,0,0
287,1,0,0
298,0,1,0
303,0,1,0
305,0,1,0
2354,1,0,0
320,0,1,0
3397,0,0,1
329,0,0,1
334,0,0,1
343,0,1,0
2408,1,0,0
368,1,0,0
373,0,1,0
1417,0,1,0
1420,0,1,0
401,0,1,0
409,0,1,0
411,1,0,0
1483,0,0,1
461,1,0,0
979,1,0,0
1007,0,1,0
498,0,1,0
506,1,0,0
