x_val,y_added,y_removed,y_combined
0,43,40,62
1,14,7,18
2,10,5,13
4,8,2,9
6,4,6,9
7,6,5,6
3,4,5,6
-1,2,1,12
8,4,2,7
5,5,2,5
13,3,4,5
14,5,1,5
11,2,2,4
18,1,5,2
21,3,2,3
26,3,2,3
17,1,2,4
20,3,1,3
28,3,1,3
9,4,0,2
12,2,3,1
15,2,3,1
36,3,1,2
41,2,2,2
-12,3,0,3
19,2,1,2
22,2,1,2
32,1,3,1
10,1,1,2
34,1,1,2
57,1,1,2
37,2,0,1
39,2,0,1
42,1,1,1
-75,1,1,1
-18,1,1,1
-15,1,0,2
-6,1,1,1
-4,1,1,1
-2,2,0,1
-248,1,0,1
16,1,1,0
27,1,0,1
29,0,1,1
30,0,1,1
35,0,2,0
38,0,0,2
51,1,0,1
182,0,1,1
64,0,1,1
69,0,1,1
-3,1,0,1
147,1,0,0
280,0,1,0
277,0,0,1
31,0,0,1
40,0,1,0
44,0,1,0
48,0,1,0
52,0,1,0
56,0,0,1
59,1,0,0
60,0,1,0
65,1,0,0
68,1,0,0
77,0,1,0
86,0,1,0
88,0,1,0
217,0,0,1
90,1,0,0
-35,0,0,1
95,1,0,0
228,1,0,0
356,1,0,0
-26,0,0,1
-14,1,0,0
-13,1,0,0
-8,0,0,1
