x_val,y_added,y_removed,y_combined
1,16,13,24
2,13,11,19
5,13,7,12
3,11,7,13
4,9,7,15
7,12,6,12
8,8,7,11
11,8,1,8
6,4,5,6
10,6,2,7
14,5,1,5
23,4,2,5
34,3,3,5
16,4,2,4
17,3,3,4
27,3,3,4
13,3,2,4
15,3,3,3
9,3,2,3
18,3,2,3
22,3,1,3
26,2,2,3
37,3,2,2
19,2,1,3
20,3,1,2
46,1,3,2
71,1,3,2
12,2,1,2
69,2,1,2
52,2,1,1
62,2,0,2
68,1,1,2
94,1,2,1
302,2,1,1
24,2,0,1
36,1,0,2
39,1,1,1
41,1,1,1
42,2,0,1
43,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
55,1,0,2
60,1,1,1
67,1,1,1
73,1,1,1
21,2,0,0
25,0,2,0
28,1,0,1
30,0,1,1
31,1,0,1
50,1,0,1
53,1,0,1
54,0,2,0
97,1,0,1
98,0,1,1
107,1,0,1
123,0,1,1
145,0,2,0
198,1,0,1
262,1,0,1
44,0,0,1
51,1,0,0
571,0,1,0
61,0,1,0
64,0,1,0
75,1,0,0
85,1,0,0
90,0,1,0
102,0,0,1
106,1,0,0
111,0,1,0
116,0,1,0
124,1,0,0
132,1,0,0
167,0,1,0
199,0,1,0
753,0,0,1
755,1,0,0
256,0,0,1
807,0,1,0
333,0,0,1
337,1,0,0
338,0,1,0
342,0,0,1
355,0,1,0
397,0,1,0
410,1,0,0
