x_val,y_added,y_removed,y_combined
0,70,42,85
1,24,11,28
2,19,14,21
-1,10,7,13
3,8,7,10
6,7,4,6
4,5,5,6
5,5,4,6
11,4,5,5
7,5,2,5
8,3,2,2
14,2,2,3
9,2,1,2
10,1,3,1
15,1,2,2
34,1,3,1
27,2,1,1
132,1,0,2
129,1,1,1
-234,1,1,1
23,1,1,1
24,1,1,1
30,1,1,1
-88,1,1,1
44,1,1,1
-592,1,1,1
50,1,1,1
56,1,1,1
-7,1,1,1
-2,0,1,2
20,1,0,1
19,2,0,0
21,1,0,1
28,1,0,1
22,0,1,1
32,1,0,1
33,1,0,1
39,0,2,0
171,1,0,1
311,0,1,1
96,1,0,1
-9,1,0,1
-6,0,1,1
-4,1,0,1
17,0,0,1
146,0,1,0
147,1,0,0
149,1,0,0
156,0,1,0
29,0,1,0
31,0,1,0
41,0,0,1
45,1,0,0
174,0,1,0
194,0,1,0
97,0,1,0
148,0,0,1
