x_val,y_added,y_removed,y_combined
0,120,12,132
error == OMX_ErrorNone,72,4,76
EGL_FALSE != result,30,4,34
 ret == 0 ,28,0,28
rc == 0,22,6,28
s == 0,20,4,24
vgGetError()==0,18,0,18
eglGetError() == EGL_SUCCESS,16,0,16
__VA_ARGS__,10,4,14
bytes_read == image_sz,9,3,12
egl_result,12,0,12
state->surface != EGL_NO_SURFACE,9,1,10
state->context!=EGL_NO_CONTEXT,9,1,10
 success >= 0 ,9,1,10
ok,6,4,10
state->display!=EGL_NO_DISPLAY,9,1,10
status == VCOS_SUCCESS,8,0,8
c==2,6,0,6
result,6,0,6
ps,4,0,4
 vars->update ,4,0,4
res->magic == RES_MAGIC,4,0,4
rc != -1,4,0,4
x,3,1,4
"VCHIQ_MSG_TYPE(VCHIQ_MAKE_MSG(0,VCHIQ_PORT_MAX,0)) == 0",2,2,4
(sizeof(BITSET_T) * 8) == 32,2,2,4
elements > 0,4,0,4
vgGetError() == VG_NO_ERROR,4,0,4
glyphs_count <= GLYPHS_COUNT_MAX,2,2,4
IS_POW2(VCHIQ_MAX_SLOTS),2,2,4
(unsigned int)VCHIQ_PORT_MAX < (unsigned int)VCHIQ_PORT_FREE,2,2,4
IS_POW2(VCHIQ_SLOT_SIZE),2,2,4
tlsdata,4,0,4
c==1,4,0,4
IS_POW2(VCHIQ_MAX_SLOTS_PER_SIDE),2,2,4
"VCHIQ_MSG_SRCPORT(VCHIQ_MAKE_MSG(0,0,VCHIQ_PORT_MAX)) == 0",2,2,4
c==3,4,0,4
glGetError() == 0,2,0,2
sizeof(mmal_worker_consume_mem) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
sizeof(mmal_worker_host_log) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
st->client->event_list,2,0,2
sizeof(mmal_worker_port_info) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
i == VCOS_SUCCESS,2,0,2
s == imageSize,2,0,2
numconfigs == 1,2,0,2
numverts <= MAX_VERTICES,2,0,2
sizeof(mmal_worker_port_info_set) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
!(sizeof(MMAL_CLOCK_EVENT_T) & 0x7),2,0,2
width && height,2,0,2
*vbo,2,0,2
nActiveHandles >= 0,2,0,2
sourceImage != NULL,2,0,2
tag & 0x1,2,0,2
vars->image,2,0,2
coords_count <= COORDS_COUNT_MAX,2,0,2
sizeof(mmal_worker_stats) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
state->api,2,0,2
offset == numverts,2,0,2
"strncmp(s, ""s "", sizeof ""s ""-1)==0",2,0,2
(last_tag & 0x1) || (last_tag & 0x2),2,0,2
res == NULL || (res->magic == RES_MAGIC),2,0,2
sizeof(mmal_worker_port_param_get) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
c==0,2,0,2
"strncmp(s, ""mtllib"", sizeof ""mtllib""-1)==0",2,0,2
*height > 64,2,0,2
sizeof(mmal_worker_port_param_get_reply) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
 vars->resource ,2,0,2
segments_count <= SEGMENTS_COUNT_MAX,2,0,2
resource_handle,2,0,2
sizeof(mmal_worker_buffer_from_host) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
screen_number == res->screen_id,2,0,2
st->audio_render != NULL,2,0,2
rc == BPS_SUCCESS,1,1,2
inited,2,0,2
sizeof(mmal_worker_compact) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
sizeof(mmal_worker_component_create_reply) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
res == NULL || !res->context_bound,2,0,2
sizeof(mmal_worker_port_param_set) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
sizeof(mmal_worker_drm_get_time_reply) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
st->client != NULL,2,0,2
!(last_tag & 0x2),2,0,2
sizeof(mmal_worker_port_info_get) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
last_contour == points_count,2,0,2
sizeof(mmal_worker_port_action) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
 s >= 0 ,2,0,2
"strncmp(s, ""g "", sizeof ""g ""-1)==0",2,0,2
sizeof(mmal_worker_event_to_host) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
sizeof(mmal_worker_service_closed) <= MMAL_WORKER_MSG_LEN,2,0,2
sizeof(mmal_worker_drm_get_lhs32_reply) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
!(sizeof(mmal_worker_msg_header) & 0x7),2,0,2
sizeof(mmal_worker_lmk) <= MMAL_WORKER_MAX_MSG_LEN,2,0,2
comp,2,0,2
vg_path != VG_INVALID_HANDLE,2,0,2
dest == 0 || dest == 1,2,0,2
