x_val,y_added,y_removed,y_combined
src2 == TMP_REG2,68,34,102
src1 == TMP_REG1 && !(flags & SRC2_IMM),44,22,66
arg & SLJIT_MEM,34,17,51
src1 == TMP_REG1,28,14,42
!(flags & SET_FLAGS) && arg1 == TMP_REG1,24,12,36
jump->flags & JUMP_LABEL,18,9,27
out_buffer.get() != NULL,13,13,26
inp_flags & LOAD_DATA,16,8,24
!const_,16,8,24
!label,16,8,24
!jump,16,8,24
!(flags & INV_IMM),16,8,24
cc != NULL,14,7,21
!(inst & (INT_ALIGNED | UPDATE_REQ)),12,6,18
!label || label->size >= word_count,12,6,18
!jump || jump->addr >= word_count,12,6,18
!const_ || const_->addr >= word_count,12,6,18
"(SLJIT_UDIVMOD & 0x2) == 0 && SLJIT_UDIVI - 0x2 == SLJIT_UDIVMOD, bad_div_opcode_assignments",10,5,15
arg1 == TMP_REG1,10,5,15
code_ptr - code <= (sljit_sw)compiler->size,10,5,15
dst == src2,10,5,15
(arg & SLJIT_MEM) && (next_arg & SLJIT_MEM),8,4,12
has_alternatives,8,4,12
common->first_line_end != 0,6,6,12
common->control_head_ptr != 0,8,4,12
dst & SLJIT_MEM,6,3,9
src2_r == TMP_REG2,6,3,9
src1 == TMP_REG1 && !(flags & ARGS_SWAPPED),6,3,9
private_data_ptr != 0,6,3,9
common->mark_ptr != 0,6,3,9
*cc == XCL_PROP || *cc == XCL_NOTPROP,6,3,9
val >> 16 == 0,4,3,7
PRIVATE_DATA(cc + 1) != 0,4,2,6
!(flags & LOAD_DATA) && DR(TMP_REG1) != reg_ar,4,2,6
srcw[0] != 0,4,2,6
(arg & REG_MASK) || !(inst & UPDATE_REQ),4,2,6
size <= 256,4,2,6
x,4,2,6
(flags & (EX86_PREF_F2 | EX86_PREF_F3)) != (EX86_PREF_F2 | EX86_PREF_F3) && (flags & (EX86_PREF_F2 | EX86_PREF_66)) != (EX86_PREF_F2 | EX86_PREF_66) && (flags & (EX86_PREF_F3 | EX86_PREF_66)) != (EX86_PREF_F3 | EX86_PREF_66),4,2,6
!(flags & ARGS_SWAPPED),4,2,6
!(a & SLJIT_IMM) || !(flags & EX86_SSE2),4,2,6
compiler->local_size > 0,4,2,6
local_size > 0,4,2,6
!(src2 & SRC2_IMM),4,2,6
