x_val,y_added,y_removed,y_combined
2,2,0,3
163,1,1,2
49,2,0,2
3,0,1,2
18,1,0,2
53,1,1,1
192,1,1,1
257,1,0,1
6,1,0,1
5,0,1,1
7,0,1,1
1,0,0,2
15,1,0,1
17,1,0,1
21,1,0,1
22,0,1,1
30,0,1,1
36,1,0,1
38,1,0,1
303,0,1,1
435,1,0,1
52,1,0,1
181,1,0,1
59,0,1,1
61,1,0,1
76,0,1,1
596,1,0,1
92,1,0,1
95,1,0,1
504,1,0,1
386,0,1,0
388,1,0,0
10,1,0,0
398,1,0,0
147,0,0,1
1048,0,1,0
25,0,0,1
155,0,1,0
162,0,1,0
424,0,1,0
170,1,0,0
685,0,1,0
306,0,0,1
191,0,1,0
324,1,0,0
335,0,0,1
340,1,0,0
85,0,0,1
727,0,0,1
729,1,0,0
93,1,0,0
736,0,1,0
101,1,0,0
235,0,0,1
367,0,1,0
