x_val,y_added,y_removed,y_combined
1,3,0,4
0,1,2,3
3,1,1,3
4,2,0,2
9,1,0,2
11,1,0,2
15,1,1,1
159,1,2,0
297,1,1,1
57,1,1,1
7,1,0,1
8,1,0,1
10,1,0,1
14,0,1,1
21,1,1,0
22,0,1,1
28,1,0,1
34,1,0,1
35,1,0,1
46,1,0,1
50,1,0,1
1590,0,1,1
83,0,1,1
215,1,0,1
96,1,0,1
103,0,1,1
246,1,0,1
124,1,0,1
2,0,0,1
5,0,0,1
134,1,0,0
265,0,1,0
142,0,0,1
145,1,0,0
149,0,0,1
32,0,0,1
547,0,1,0
172,0,0,1
47,0,1,0
176,1,0,0
186,0,1,0
58,0,1,0
204,1,0,0
1623,1,0,0
95,1,0,0
98,0,0,1
105,0,1,0
111,0,0,1
