x_val,y_added,y_removed,y_combined
!empty(),31,10,41
calledBack_,8,8,16
 (state_ == State::UNLOCKED && readers_ == 0) || (state_ == State::READ_LOCKED && readers_ > 0),9,6,15
read_waiters_.empty(),10,5,15
ready(),7,7,14
dd_->guardCount_ > 0,8,6,14
" std::is_same<LeftValue, RightValue>::value, ""Generators may ony be combined if Values are the exact same type.""",8,4,12
detached_ == 1 || detached_ == 2,6,6,12
"std::is_same<T, void>::value, ""Use setValue(value) instead""",6,5,11
s_.isSane(),6,4,10
"!std::is_same<T, void>::value, ""Use setValue() instead""",6,4,10
detached_ == 2,4,4,8
c == isMedium || c == isLarge,4,4,8
i < n,4,4,8
n > 0,6,2,8
"sum < OOR && ""Assumption: string only has digits""",4,4,8
empty(),4,3,7
"!std::is_reference<T>::value, ""Try may not be used with reference types""",4,3,7
eventBaseAttached_,4,2,6
result.size() == 1,4,2,6
" std::is_copy_constructible<T>::value, ""T must be copyable for Try<T> to be copyable""",4,2,6
b_ < e_,6,0,6
capacity() >= minCapacity,5,1,6
"std::is_integral<Value>::value && std::is_unsigned<Value>::value, ""Value should be unsigned integral""",4,2,6
"std::distance(first, last) >= 0",4,2,6
writer.lock_ != nullptr,4,2,6
"std::is_same<Expected, Value>::value, ""assert_type() check failed""",4,2,6
(state & ~(kWaitingAny | kPrevDefer)) == kHasE,4,2,6
n < size(),4,2,6
state_ == State::READ_LOCKED,4,2,6
d >= 1,3,3,6
state_ == INVALID,4,2,6
d <= 2,3,3,6
slot < kMaxDeferredReaders,4,2,6
"n <= static_cast<size_t>(std::distance(first, last))",4,2,6
sizeof(*this) == sizeof(int),3,3,6
"!Source::infinite, ""Cannot foldl infinite source""",3,2,5
" !Traits::IsConst::value || OtherFunction::Traits::IsConst::value, ""Function: cannot move Function<R(Args...)> into "" ""Function<R(Args...) const>; "" ""use folly::constCastFunction!""",2,3,5
" std::is_convertible< Result, typename std::remove_reference< typename FirstArgOf<G>::type>::type::element_type>::value, ""finally(Try<T>&&): T must be convertible from func()'s return type""",3,2,5
ctx->v.size() < n,3,2,5
!delayed,3,2,5
this != &other,5,0,5
"!Source::infinite, ""Cannot sum infinite source""",3,2,5
"!std::is_reference<Value>::value && !std::is_const<Value>::value, ""Value mustn't be const or ref.""",3,2,5
"!Source::infinite, ""Calling contains on an infinite source might cause "" ""an infinite loop.""",3,2,5
"!std::is_reference<Container>::value, ""Can't copy into a reference""",3,2,5
" std::is_same<typename detail::Extract<F>::Return, Future<T>>::value, ""Return type of onError callback must be T or Future<T>""",4,1,5
"!Source::infinite, ""Cannot count infinite source""",3,2,5
" state_ == State::WRITE_LOCKED && readers_ == 0 && ""read waiters can only accumulate while write locked""",3,2,5
*dataType_ == typeid(T),3,2,5
 Baton(THREAD_WAITING).futex_.futex == static_cast<uint32_t>(THREAD_WAITING),3,2,5
 fiber->state_ == Fiber::NOT_STARTED || fiber->state_ == Fiber::READY_TO_RUN,3,2,5
"!std::is_reference<StorageType>::value, ""StorageType must be decayed""",3,2,5
" IsRvalueRefTry<typename FirstArgOf<G>::type>::value, ""finally(arg): arg must be Try<T>&&""",3,2,5
first <= last,3,2,5
 (state_ == State::READ_LOCKED && readers_ > 0) || (state_ == State::WRITE_LOCKED && readers_ == 0),3,2,5
next(t) == nullptr,3,2,5
category() == isMedium || category() == isLarge,2,2,4
crtCapacity < n,2,2,4
head_ == nullptr,2,2,4
(state & (kWaitingNotS | kHasSolo)) == 0,3,1,4
" !forever, ""Cycle limit consturctor should not be used when forever == true.""",2,2,4
count <= sizeof(T) * 8,2,2,4
bv == b_,2,2,4
b_ <= e_,2,2,4
IsRelocatable<T>::value,2,2,4
idx >= 0 && idx < length(),3,1,4
count <= sizeof(UnderlyingType) * 8,2,2,4
" sizeof(T) <= kStorageSize, ""Requested access to object not fitting into ExecutorStore "" ""(this is a bug in the Function implementation)""",2,2,4
"nallocx(goodSize, 0) == goodSize",2,2,4
b_ == p,2,2,4
(state & (kWaitingNotS | kHasSolo)) == 0 && (state & kHasS) != 0,2,2,4
" std::is_same< typename Traits::NonConstFunctionType, typename OtherFunction::Traits::NonConstFunctionType>::value, ""Function: cannot move into a Function with different "" ""parameter signature""",2,2,4
"alignof(detail::Unaligned<T>) == 1, ""Invalid alignment""",2,2,4
