x_val,y_added,y_removed,y_combined
0,26,14,35
1,16,12,22
3,12,6,18
2,12,4,14
4,9,6,11
5,8,9,8
6,9,3,9
7,7,4,10
8,8,2,8
13,5,2,6
10,4,3,4
11,1,8,2
22,4,2,4
23,3,2,4
12,2,1,5
9,3,1,3
18,2,3,2
32,3,0,4
-2,3,0,4
14,3,2,1
20,2,2,2
-6,2,2,2
-4,2,1,3
-1,3,1,2
17,3,0,2
15,2,1,2
-10,2,1,2
-3,1,0,4
21,2,1,1
27,0,2,2
29,2,1,1
16,1,1,1
26,1,1,1
25,0,2,1
30,1,1,1
33,1,1,1
37,1,1,1
48,0,2,1
143,1,0,1
19,2,0,0
-123,1,0,1
24,0,2,0
31,1,0,1
38,0,2,0
40,1,1,0
45,1,0,1
46,1,0,1
-81,1,0,1
-33,1,0,1
-31,1,0,1
-21,1,0,1
-19,1,0,1
110,1,0,1
-12,1,0,1
35,0,1,0
39,1,0,0
43,0,1,0
49,1,0,0
47,0,0,1
56,0,1,0
64,1,0,0
92,0,1,0
98,0,1,0
-13,0,0,1
-9,0,0,1
