x_val,y_added,y_removed,y_combined
GFC_DESCRIPTOR_SIZE (mask) == 8,152,152,304
0,189,94,283
i == 0,126,110,236
gr != NULL,112,86,198
ok,123,41,164
"""system=unix""",94,67,161
rank == GFC_DESCRIPTOR_RANK (retarray),80,80,160
!new_bb,73,53,126
!ffecom_transform_only_dummies_,53,53,106
FALSE,49,49,98
env != NULL,48,48,96
(*env) != NULL,47,47,94
name != NULL,49,43,92
"""bad type"" == NULL",42,42,84
done,48,36,84
!*slot,48,33,81
"""bad integer kind type"" == NULL",38,38,76
__m != memory_order_acq_rel,36,36,72
t,48,24,72
_M_losers[0]._M_source != -1,42,28,70
rank > 0,34,32,66
false,34,31,65
retarray->dim[0].ubound + 1 - retarray->dim[0].lbound == rank,32,32,64
GFC_DESCRIPTOR_RANK (retarray) == 1,32,32,64
opts == &global_options,33,30,63
c_dialect_objc (),42,21,63
self != NULL,32,30,62
count == b->dim[0].ubound + 1 - b->dim[0].lbound,31,31,62
t != NULL,31,30,61
ncopies >= 1,37,23,60
pfont != NULL,35,25,60
__m2 <= __m1,30,30,60
opts_set == &global_options_set,31,28,59
__m2 != memory_order_release,28,28,56
__m2 != memory_order_acq_rel,28,28,56
i < gs->gimple_omp_for.collapse,27,27,54
"""system=posix""",31,21,52
"""bad real kind type"" == NULL",26,26,52
temp,29,20,49
GET_CODE (x) == SYMBOL_REF,30,17,47
pfile,24,23,47
e,32,14,46
can_create_pseudo_p (),41,5,46
REG_P (reg),33,12,45
"""bad context"" == NULL",22,22,44
MEM_P (x),30,13,43
"""system=rtems""",30,13,43
_M_ptr != 0,24,18,42
!no_new_pseudos,21,21,42
vtab,27,14,41
__m != memory_order_acquire,20,20,40
ffestd_block_level_ == 0,20,20,40
__m != memory_order_consume,20,20,40
mode != VOIDmode,29,8,37
"""bad complex kind type"" == NULL",18,18,36
!dst->popcount,18,18,36
"""bad character kind type"" == NULL",18,18,36
ffeexpr_stack_->exprstack == NULL,18,18,36
innerc,34,2,36
x,22,13,35
!empty(),23,12,35
decl,21,14,35
!node->global.inlined_to,20,15,35
expr != NULL,18,17,35
x == 0,17,17,34
found,18,15,33
flags & FLAG_FP_ARGUMENTS,21,12,33
DECL_P (var),20,13,33
MEM_P (mem),27,5,32
!(sa & ~(FFESYMBOL_attrsDUMMY | FFESYMBOL_attrsEXTERNAL | FFESYMBOL_attrsTYPE)),16,16,32
TREE_CODE (name) == IDENTIFIER_NODE,17,15,32
ss != gfc_ss_terminator,19,13,32
gsi_stmt (*gsi) == stmt,17,15,32
!(sa & FFESYMBOL_attrsEXTERNAL),16,16,32
__m != memory_order_release,16,16,32
TREE_CODE (decl) == FUNCTION_DECL,21,11,32
GFC_DESCRIPTOR_RANK (mask) == rank,16,16,32
GFC_DESCRIPTOR_TYPE_P (type),21,10,31
!(sa & ~(FFESYMBOL_attrsACTUALARG | FFESYMBOL_attrsDUMMY | FFESYMBOL_attrsEXTERNAL | FFESYMBOL_attrsTYPE)),15,15,30
!(sa & ~(FFESYMBOL_attrsACTUALARG | FFESYMBOL_attrsADJUSTABLE | FFESYMBOL_attrsANYLEN | FFESYMBOL_attrsARRAY | FFESYMBOL_attrsDUMMY | FFESYMBOL_attrsEXTERNAL | FFESYMBOL_attrsSFARG | FFESYMBOL_attrsTYPE)),15,15,30
!(sa & (FFESYMBOL_attrsARRAY | FFESYMBOL_attrsDUMMY | FFESYMBOL_attrsEXTERNAL | FFESYMBOL_attrsSFARG)),15,15,30
tl != NULL,15,15,30
precision,15,15,30
!(sa & ~(FFESYMBOL_attrsARRAY | FFESYMBOL_attrsADJUSTABLE | FFESYMBOL_attrsTYPE)),15,15,30
type,24,6,30
!(sa & ~(FFESYMBOL_attrsTYPE | FFESYMBOL_attrsADJUSTABLE | FFESYMBOL_attrsANYLEN | FFESYMBOL_attrsARRAY | FFESYMBOL_attrsDUMMY | FFESYMBOL_attrsEXTERNAL | FFESYMBOL_attrsSFARG)),15,15,30
!(sa & ~(FFESYMBOL_attrsSFARG | FFESYMBOL_attrsTYPE)),15,15,30
losers[0].source != -1,15,15,30
stmt_info,17,13,30
gref,15,14,29
TREE_CODE (decl) == VAR_DECL,20,9,29
current_function_decl == NULL_TREE,16,13,29
_M_ibegin() <= __i1 && __i1 <= __i2 && __i2 <= _M_iend(),22,7,29
!(bb->flags & BB_RTL),15,14,29
res == hres,20,8,28
"""bad logical kind type"" == NULL",14,14,28
g != NULL,15,13,28
__losers[0]._M_source != -1,14,14,28
"""system=linux""",17,11,28
dom_computed[dir_index],18,10,28
GFC_DESCRIPTOR_RANK (a) == 1 && GFC_DESCRIPTOR_RANK (b) == 1,14,14,28
node,20,7,27
tl->pango_layout != NULL,13,13,26
s != NULL,14,12,26
"""system=svr4""",14,12,26
"std::is_floating_point<_RealType>::value, ""template argument not a floating point type""",13,13,26
size >=0,18,7,25
size,19,6,25
field != 0,19,5,24
(ffesymbol_state (s) == FFESYMBOL_stateNONE) || (ffesymbol_state (s) == FFESYMBOL_stateUNCERTAIN),12,12,24
hard_regno >= 0,19,5,24
"""bad basictype"" == NULL",12,12,24
var->n_var_parts == 1,20,4,24
ffesymbol_state (s) == FFESYMBOL_stateNONE,12,12,24
mutexObj,12,12,24
ffestd_block_level_ > 0,12,12,24
ffecom_transform_only_dummies_,12,12,24
__m == memory_order_acq_rel,12,12,24
GET_CODE (ops[0]) == REG,12,12,24
p != NULL,14,10,24
vec != NULL,12,11,23
!slp_node,13,10,23
REG_P (x),15,8,23
set,16,7,23
GET_CODE (x) == MEM,12,11,23
"!std::is_pointer<deleter_type>::value, ""constructed with null function pointer deleter""",12,11,23
dom_computed[dir],11,11,22
*slot == NULL,15,7,22
pb->num_eqs <= OMEGA_MAX_EQS,11,11,22
TREE_CODE (t) == GIMPLE_MODIFY_STMT,11,11,22
DECL_P (t),15,7,22
i >= 0,13,9,22
offset >= 0,13,9,22
ptr != NULL,15,7,22
ret == Z_OK,22,0,22
TREE_CODE (var) == SSA_NAME,12,9,21
I_HOLD_LOCK(),12,9,21
vector_type,11,10,21
index >= 0,15,6,21
gimple_debug_bind_p (dbg),14,7,21
GET_CODE (rtlname) == SYMBOL_REF,11,9,20
gsi_stmt (gsi) == stmt,10,10,20
res,13,7,20
insn != NULL_RTX,15,5,20
TARGET_M6812,10,10,20
"""bad context?!?!"" == NULL",10,10,20
GET_CODE (x) == CONST_INT,17,3,20
"""machine=powerpc""",15,5,20
sched_guess_p,10,10,20
spec->value_present,10,10,20
widget != NULL,14,6,20
TREE_CODE (stmt) == GIMPLE_MODIFY_STMT,10,10,20
TREE_CODE (name) == SSA_NAME,14,6,20
1 == __result->_M_ref_count,10,10,20
ffebld_op (dim) == FFEBLD_opBOUNDS,10,10,20
stack_elt,15,5,20
" l == NULL or base_type::_M_impl._M_key_compare( base_type::_S_key(base_type::_S_maximum(l)),key)",10,10,20
imp < FFEINTRIN_imp,10,10,20
