x_val,y_added,y_removed,y_combined
1,615,301,845
2,454,237,637
3,395,197,517
4,360,174,466
5,301,163,405
6,302,142,377
7,271,123,345
8,219,124,297
10,205,138,267
9,191,135,258
11,174,117,209
13,173,101,214
12,168,104,210
14,168,98,176
15,146,89,162
17,133,95,145
16,125,71,155
18,115,70,117
19,91,73,114
20,97,66,112
23,95,62,87
21,73,62,83
26,68,62,81
22,79,45,82
24,66,63,74
25,71,52,73
27,59,50,59
28,53,50,65
30,55,50,56
31,50,40,57
32,56,37,48
29,53,39,48
33,39,43,38
34,39,41,36
35,32,31,37
41,31,31,33
38,29,30,30
39,25,31,30
37,32,23,29
36,25,31,27
44,25,30,28
40,27,23,24
47,27,18,23
45,29,17,21
50,24,22,19
42,20,24,16
43,21,18,21
48,16,25,17
46,18,21,18
51,20,18,19
58,14,23,15
49,14,24,12
53,17,14,18
56,14,18,16
52,14,19,9
55,14,16,11
62,6,20,13
64,14,12,13
57,12,13,13
54,15,9,13
66,12,13,11
59,9,15,10
65,12,9,12
69,3,21,5
60,5,16,7
61,6,14,8
70,9,9,9
73,11,6,10
83,6,15,6
72,8,9,9
74,5,11,10
63,11,7,5
67,9,10,4
79,9,7,7
81,6,11,5
76,4,11,6
68,5,11,4
88,5,10,5
100,5,8,6
102,6,9,4
78,4,7,7
94,6,6,6
93,3,9,5
75,7,4,4
101,6,4,5
80,5,5,4
85,3,6,5
71,6,3,4
82,6,3,4
89,5,4,3
119,5,4,3
160,4,4,4
77,6,2,3
96,2,5,4
98,2,3,6
124,2,4,5
130,4,4,3
87,2,6,2
90,3,5,2
92,2,5,3
105,3,4,3
135,3,4,3
137,3,5,2
144,3,3,4
155,3,3,4
84,3,3,2
106,4,1,3
110,2,4,2
112,2,2,4
132,3,3,2
140,1,4,3
86,3,1,3
95,1,4,2
97,2,4,1
123,3,2,2
126,2,2,3
143,2,2,3
147,3,0,4
152,3,2,2
167,4,1,2
172,2,3,2
188,2,3,2
246,2,2,3
99,1,3,2
104,2,1,3
107,1,4,1
115,2,3,1
116,2,2,2
122,2,3,1
127,2,4,0
128,3,1,2
151,3,1,2
159,0,4,2
182,2,2,2
203,2,2,2
213,2,1,3
91,2,3,0
113,2,2,1
117,1,2,2
120,2,1,2
121,2,2,1
145,2,1,2
174,2,1,2
176,3,1,1
206,2,1,2
208,1,1,3
228,2,2,1
240,2,2,1
109,1,2,1
111,2,1,1
129,1,2,1
142,1,2,1
148,1,2,1
149,1,3,0
154,1,2,1
156,2,1,1
162,1,1,2
168,1,1,2
173,1,2,1
175,1,2,1
181,3,0,1
183,1,1,2
187,2,1,1
198,1,2,1
205,2,1,1
216,1,2,1
220,1,2,1
320,2,0,2
519,1,1,1
103,2,0,1
118,1,1,1
131,1,1,1
125,0,3,0
134,1,0,2
139,0,2,1
150,0,2,1
157,2,0,1
164,0,2,1
165,1,1,1
166,2,0,1
169,2,0,1
171,1,1,1
179,1,1,1
180,1,1,1
186,2,0,1
200,0,2,1
212,0,2,1
214,2,0,1
257,1,1,1
255,2,0,1
268,1,1,1
282,1,1,1
283,1,1,1
295,1,1,1
333,1,1,1
351,0,2,1
375,1,1,1
387,1,1,1
498,1,1,1
108,1,1,0
146,0,1,1
153,1,0,1
170,0,1,1
189,1,0,1
193,1,0,1
194,1,1,0
209,1,0,1
215,0,1,1
218,0,1,1
236,1,0,1
241,2,0,0
242,1,1,0
243,0,1,1
247,1,0,1
252,0,1,1
1278,0,1,1
260,1,0,1
261,1,1,0
263,1,0,1
1288,1,0,1
280,1,0,1
294,1,0,1
304,0,1,1
307,1,0,1
309,0,2,0
312,0,1,1
316,1,0,1
317,1,0,1
328,2,0,0
577,1,0,1
352,1,1,0
366,0,2,0
380,0,1,1
415,0,2,0
592,0,1,1
426,1,0,1
464,1,0,1
476,1,0,1
637,1,0,0
133,0,1,0
136,0,1,0
138,0,1,0
158,0,1,0
161,0,1,0
163,0,0,1
542,1,0,0
177,0,1,0
178,0,1,0
696,0,1,0
184,0,1,0
185,0,0,1
196,1,0,0
199,1,0,0
201,0,0,1
202,1,0,0
204,1,0,0
652,0,1,0
217,0,1,0
219,1,0,0
222,0,0,1
223,0,1,0
736,0,1,0
225,0,1,0
232,1,0,0
234,0,1,0
235,1,0,0
237,0,1,0
238,0,1,0
244,0,1,0
248,0,1,0
253,0,1,0
1279,1,0,0
256,1,0,0
259,0,1,0
262,0,1,0
776,0,1,0
273,0,1,0
288,0,1,0
289,0,1,0
290,0,0,1
292,0,1,0
293,0,1,0
296,0,1,0
297,1,0,0
301,0,1,0
308,1,0,0
310,1,0,0
570,0,1,0
319,0,1,0
327,0,1,0
644,0,1,0
335,0,1,0
337,1,0,0
338,0,1,0
341,0,1,0
343,0,1,0
344,0,1,0
350,1,0,0
353,1,0,0
356,0,1,0
359,0,1,0
523,0,1,0
362,1,0,0
364,0,1,0
371,0,1,0
373,1,0,0
378,0,1,0
584,0,1,0
382,0,0,1
385,1,0,0
386,0,1,0
391,0,1,0
397,1,0,0
408,0,1,0
409,0,1,0
591,0,1,0
418,0,0,1
421,1,0,0
424,1,0,0
425,0,1,0
593,0,1,0
428,0,1,0
1456,0,1,0
433,1,0,0
437,1,0,0
451,1,0,0
599,0,1,0
461,1,0,0
488,1,0,0
511,0,1,0
