x_val,y_added,y_removed,y_combined
0,4697,2679,5962
1,907,731,975
2,355,378,352
3,195,212,195
4,89,95,74
5,52,64,56
6,40,48,46
7,25,37,29
8,18,26,15
9,15,17,18
10,15,9,15
11,14,10,12
12,11,14,9
13,11,14,8
15,10,12,7
14,8,6,8
16,5,10,6
17,8,4,8
19,5,5,4
27,4,5,4
18,2,6,4
20,3,5,4
21,2,5,4
28,3,4,3
-1,3,4,2
23,4,2,1
25,2,1,4
-5,2,2,2
-2,2,1,3
24,0,3,2
22,1,2,1
26,1,2,1
31,1,3,0
32,3,0,1
40,1,1,2
53,2,0,2
34,2,1,0
36,1,1,1
164,1,1,1
46,1,1,1
48,1,1,1
55,1,1,1
62,1,1,1
64,1,1,1
97,1,1,1
110,1,1,1
-14,1,1,1
136,1,0,1
29,1,1,0
30,1,0,1
35,1,1,0
41,1,0,1
38,0,2,0
47,1,1,0
101,0,1,1
-13,0,1,1
-12,1,0,1
-10,1,1,0
-7,1,0,1
143,0,1,0
154,0,1,0
39,1,0,0
43,1,0,0
49,0,1,0
72,0,1,0
77,1,0,0
-24,0,0,1
-23,0,1,0
-22,1,0,0
115,0,1,0
120,1,0,0
