x_val,y_added,y_removed,y_combined
err,21,10,31
initialized,5,5,10
t->initialized,8,1,9
ret == 1,4,4,8
ret == 2,4,4,8
0,6,2,8
entry->flag & REF_DIR,4,3,7
chunk->off1 >= 0,3,3,6
len < sb->alloc,3,3,6
len <= size,3,3,6
chunk->off2 >= 0,3,3,6
h != NULL,3,2,5
len >= 0,5,0,5
branch,2,2,4
p <= pend,2,2,4
!FAIL_STACK_EMPTY (),2,2,4
bufp->regs_allocated == REGS_FIXED,2,2,4
p - 1 > pattern,2,2,4
p + *p < pend,2,2,4
line >= 0 && line < info->num_lines,2,2,4
GET_PTR_TYPE(entry) == 0,3,1,4
reg_no > 0 && reg_no <= MAX_REGNUM,2,2,4
!p,2,2,4
!sl->threadid,4,0,4
mcnt >= 0,2,2,4
p1[1] == **p,2,2,4
p < pend,2,2,4
compile_stack.avail != 0,2,2,4
fixed_preimage.nr == preimage->nr,2,2,4
opts,4,0,4
fail_stack.avail >= NUM_NONREG_ITEMS,2,2,4
*p == ' ',2,2,4
beg_interval,2,2,4
"!strncmp(buf, ""@@ -"", 4)",2,2,4
"!strcmp(type, ""blob"")",2,2,4
fastmap != NULL && p != NULL,2,2,4
"ok_address(m, p)",3,0,3
path,2,1,3
start <= b->bytes,2,1,3
rs->nr == 0 || rs->ranges[rs->nr-1].end <= a,2,1,3
i == n && parent_stack[i] == tree,2,1,3
!state->msg,3,0,3
b->offset + 1 < b->bytes,2,1,3
dir1->sorted == dir1->nr,2,1,3
"sha1, OBJ_COMMIT",2,1,3
!mi->filter_stage,2,1,3
patch->is_new <= 0,2,1,3
tree && parent,2,1,3
pos >= 0,2,1,3
(is_aligned(chunk2mem(p))) || (p->head == FENCEPOST_HEAD),3,0,3
opt,3,0,3
!(opts->signoff || opts->no_commit || opts->record_origin || opts->edit),2,1,3
dir2->sorted == dir2->nr,2,1,3
dir->sorted == dir->nr,2,1,3
!state->author_email,3,0,3
"!check_overflow(view->off, view->buf.len)",1,2,3
!state->author_name,3,0,3
commit,2,1,3
opts->revs,2,1,3
!state->author_date,3,0,3
name[len - 1] == '/',2,1,3
orig_path_len != 0,2,1,3
CLR_PTR_TYPE(parent->a[index]) == tree,2,1,3
parents,2,0,2
i2 == chunk->off2,1,1,2
GET_PTR_TYPE(entry) == PTR_TYPE_NULL,1,1,2
par_column,2,0,2
util->pathname,1,1,2
"!check_offset_overflow(view->off, view->buf.len)",2,0,2
GET_PTR_TYPE(p) == PTR_TYPE_NOTE || GET_PTR_TYPE(p) == PTR_TYPE_SUBTREE,1,1,2
rlw_get_run_bit(self->rlw) == v,2,0,2
d,1,1,2
!is_null_sha1(p->remote),2,0,2
type == 'D',1,1,2
!is_mmapped(p),2,0,2
state->rebasing,2,0,2
state->msg,2,0,2
!IS_EPSILON_NODE (type),2,0,2
"!verbose && ""--column and --verbose are incompatible""",1,1,2
*pp == NULL,1,1,2
strlen(buf) == rv,1,1,2
*comp_start == '/',1,1,2
"!strncmp(line, ""@@ -"", 4)",1,1,2
buf,1,1,2
"0 && ""This case must be handled by git-read-tree""",1,1,2
chunksize(p) == small_index2size(i),2,0,2
rlw_get_literal_words(self->rlw) == 0,2,0,2
!is_null_sha1(new_sha1),1,1,2
!is_null_sha1(p->local),2,0,2
array->sorted == array->nr,1,1,2
table->size == 0 && table->nr == 0 && table->array == NULL,1,1,2
pinuse(p),2,0,2
t1 || t2,1,1,2
!tc->freeInCache,2,0,2
!batch,1,1,2
(flags & EXC_FLAG_NEGATIVE) && !(flags & EXC_FLAG_NODIR),1,1,2
idx<=THREADCACHEMAXBINS,2,0,2
r,2,0,2
"!hashcmp(mp->obj, obj)",2,0,2
"cache_name_pos(src, strlen(src)) >= 0",1,1,2
sargv - argv0_path - 1 >= 0,1,1,2
err == REG_ESPACE,2,0,2
msg,1,1,2
MB_LEN_MAX >= pstr->mb_cur_max,2,0,2
(!o_sha && a_sha && !b_sha) || (!o_sha && !a_sha && b_sha),1,1,2
rg->spec->path,1,1,2
P != B,2,0,2
!batch_check,1,1,2
data[sz] == '\0',2,0,2
delta && preimage && postimage,1,1,2
chunksize(p) == small_index2size(idx),2,0,2
chunksize(P) == small_index2size(I),2,0,2
(sz & CHUNK_ALIGN_MASK) == 0,2,0,2
bitmap_git.result,2,0,2
P != F,2,0,2
"!strcmp(type, blob_type)",1,1,2
child->real_type == OBJ_REF_DELTA,1,1,2
