x_val,y_added,y_removed,y_combined
1,21,2,25
2,13,0,13
3,5,1,5
7,5,0,6
4,4,1,4
6,3,0,4
11,3,0,3
9,2,1,2
28,2,1,2
30,2,0,3
14,2,0,2
15,2,0,2
21,2,0,2
38,2,0,2
51,2,0,2
125,2,0,2
153,2,0,2
179,2,0,2
5,1,0,2
107,1,0,2
122,1,1,1
140,1,1,1
149,1,1,1
703,1,1,1
223,1,1,1
307,1,1,1
877,2,0,1
392,1,1,1
495,1,1,1
8,1,0,1
12,1,0,1
19,1,0,1
22,1,0,1
27,1,0,1
31,1,0,1
32,1,0,1
41,1,0,1
46,1,0,1
48,1,0,1
563,0,2,0
62,1,0,1
63,1,0,1
66,1,0,1
579,1,0,1
68,1,0,1
79,1,0,1
83,1,0,1
597,1,0,1
598,1,0,1
86,1,0,1
88,1,0,1
89,0,1,1
602,1,0,1
96,1,0,1
97,1,0,1
98,1,0,1
100,1,0,1
101,1,0,1
104,1,0,1
113,1,0,1
117,1,0,1
119,1,0,1
123,1,0,1
127,0,0,2
130,1,0,1
137,1,0,1
660,0,1,1
154,1,0,1
672,1,0,1
674,1,0,1
163,1,0,1
164,1,0,1
181,1,0,1
196,1,0,1
204,1,0,1
206,1,0,1
214,1,0,1
217,0,1,1
222,0,1,1
230,0,1,1
232,1,0,1
235,1,0,1
237,0,1,1
751,1,0,1
243,0,0,2
246,1,0,1
254,1,0,1
1280,1,0,1
263,1,0,1
776,1,0,1
270,1,0,1
1815,1,0,1
280,1,0,1
289,1,0,1
310,1,0,1
834,1,0,1
330,1,0,1
335,1,0,1
348,1,0,1
355,0,1,1
868,1,0,1
1382,1,0,1
387,1,0,1
388,1,0,1
403,1,0,1
414,0,1,1
416,1,0,1
434,1,0,1
500,1,0,1
506,1,0,1
10,0,1,0
13,1,0,0
524,0,1,0
1549,0,1,0
18,0,0,1
532,0,1,0
23,0,0,1
537,0,1,0
541,0,0,1
542,0,0,1
36,0,1,0
551,0,0,1
40,0,0,1
53,0,0,1
57,0,0,1
58,0,0,1
59,1,0,0
1595,0,1,0
591,1,0,0
80,0,1,0
82,0,0,1
595,1,0,0
91,0,0,1
95,0,0,1
99,0,1,0
102,0,1,0
112,0,0,1
628,0,1,0
118,0,1,0
632,1,0,0
142,1,0,0
144,0,0,1
145,1,0,0
150,1,0,0
1697,0,0,1
177,0,0,1
188,0,0,1
190,0,1,0
192,0,1,0
2242,0,1,0
194,0,0,1
4297,0,0,1
241,0,0,1
251,1,0,0
5384,1,0,0
777,0,1,0
1302,0,1,0
1307,0,1,0
288,0,1,0
1324,0,1,0
2863,0,1,0
318,0,1,0
1860,0,1,0
837,0,1,0
849,0,1,0
850,0,0,1
339,1,0,0
1885,1,0,0
353,0,1,0
375,0,0,1
906,0,1,0
1941,1,0,0
405,0,1,0
923,0,1,0
421,1,0,0
952,0,1,0
4542,0,1,0
452,1,0,0
457,1,0,0
977,0,1,0
467,1,0,0
475,1,0,0
2547,0,1,0
1526,0,1,0
1527,0,0,1
1529,0,1,0
