x_val,y_added,y_removed,y_combined
0,41,2,45
7,5,1,5
2,4,0,5
14,3,2,4
1,3,2,3
-3,4,0,4
3,3,1,3
6,3,1,3
9,3,0,4
23,4,0,3
4,3,0,3
8,3,0,3
20,2,1,3
27,3,0,3
43,3,0,3
-1,2,1,3
25,1,3,1
29,1,1,3
33,2,1,2
-10,2,0,3
-9,2,1,2
11,2,0,2
13,2,0,2
17,2,0,2
21,1,1,2
34,1,1,2
40,2,0,2
50,2,1,1
53,1,1,2
69,2,0,2
103,2,1,1
-11,2,0,2
-6,1,0,3
12,0,1,2
22,1,1,1
24,1,0,2
30,1,1,1
37,1,0,2
54,1,0,2
57,2,0,1
59,0,2,1
84,2,0,1
154,1,1,1
-33,1,0,2
-18,2,0,1
-7,1,0,2
5,1,0,1
18,1,0,1
26,1,0,1
28,1,0,1
32,0,1,1
41,1,0,1
42,1,0,1
45,1,0,1
49,1,0,1
76,1,0,1
81,1,0,1
95,1,0,1
108,1,0,1
113,1,0,1
-398,1,0,1
117,0,1,1
126,1,0,1
127,1,0,1
130,1,0,1
132,1,0,1
136,0,2,0
150,1,0,1
162,1,0,1
182,1,0,1
226,1,0,1
251,1,0,1
292,1,0,1
-168,1,0,1
-112,1,0,1
-89,1,0,1
-74,1,0,1
-52,1,0,1
-45,1,0,1
-41,1,0,1
-37,1,0,1
-14,1,0,1
-8,1,0,1
-5,1,0,1
15,0,1,0
16,0,1,0
48,1,0,0
51,1,0,0
52,0,1,0
55,0,0,1
56,0,1,0
58,0,1,0
60,0,1,0
62,0,1,0
65,1,0,0
67,0,1,0
71,0,0,1
72,0,1,0
73,0,1,0
74,1,0,0
80,0,0,1
97,0,1,0
101,0,1,0
102,0,0,1
123,0,0,1
134,0,1,0
137,0,0,1
146,0,1,0
152,0,1,0
155,1,0,0
166,1,0,0
179,0,1,0
184,0,1,0
190,0,1,0
195,0,1,0
216,0,1,0
-277,0,0,1
240,0,1,0
269,0,0,1
-240,0,1,0
280,0,1,0
-209,0,0,1
-188,1,0,0
341,0,0,1
382,0,1,0
-104,0,0,1
427,1,0,0
-85,0,1,0
-63,0,1,0
-56,1,0,0
-55,0,0,1
-24,1,0,0
-21,0,0,1
-12,0,1,0
-4,0,0,1
