x_val,y_added,y_removed,y_combined
false,443,415,858
allow_macro_instructions_,311,207,518
!rd.IsZero(),169,112,281
IsValidKey(k),130,115,245
!rn.IsZero(),144,97,241
!empty(),109,92,201
 cursorHoldsMutex(pCur) ,100,100,200
 rc==SQLITE_OK ,91,91,182
 sqlite3_mutex_held(pBt->mutex) ,87,87,174
 sqlite3_mutex_held(db->mutex) ,86,86,172
 pOp->p1>=0 && pOp->p1<p->nCursor ,80,80,160
 pFile ,72,72,144
pPager,72,72,144
 sqlite3_mutex_held(pCtx->s.db->mutex) ,68,68,136
 sqlite3_mutex_held(pPage->pBt->mutex) ,68,68,136
 assert_pager_state(pPager) ,64,64,128
" sqlite3SchemaMutexHeld(db, iDb, 0) ",60,60,120
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,55,55,110
p,54,54,108
IsValid(),64,44,108
 p!=0 ,53,53,106
!rm.IsZero(),61,40,101
key->m_type != KindOfRef,54,44,98
" !ExprHasProperty(pExpr, EP_IntValue) ",48,48,96
s,51,44,95
 v!=0 ,47,47,94
0,50,44,94
m_top != m_base,57,34,91
valid(),48,38,86
 pCur->eState==CURSOR_VALID ,40,40,80
 sqlite3PagerIswriteable(pPage->pDbPage) ,40,40,80
 sqlite3_mutex_held(p->db->mutex) ,40,40,80
 (pMem->flags & MEM_RowSet)==0 ,40,40,80
 sqlite3_mutex_held(mem3.mutex) ,39,39,78
val->m_type != KindOfRef,41,36,77
is(KindOfArray),38,38,76
is(KindOfString) || is(KindOfStaticString),38,38,76
 argc==1 ,38,38,76
 !db->mallocFailed ,36,36,72
opc == DefConst || opc == LdConst,36,36,72
m_top != m_elms,43,29,72
is_refcount_realistic(_count),36,36,72
 p->magic==VDBE_MAGIC_INIT ,35,35,70
id != 0,34,33,67
is_refcount_realistic(m_count),33,33,66
 iDb>=0 && iDb<db->nDb ,32,32,64
ret,32,30,62
 db!=0 ,31,31,62
 !MEMDB ,31,31,62
 sqlite3BtreeHoldsMutex(p) ,31,31,62
 !pagerUseWal(pPager) ,30,30,60
ret >= 0,30,30,60
s1 && s2,32,27,59
!m_isSpilled,29,29,58
 EIGHT_BYTE_ALIGNMENT(pMem) ,28,28,56
 v ,28,28,56
 pEList!=0 ,28,28,56
 pOp->p1>=0 && pOp->p1<db->nDb ,27,27,54
 sqlite3BtreeHoldsAllMutexes(db) ,26,26,52
kindIsValid(),37,11,48
" !ExprHasProperty(pExpr, EP_xIsSelect) ",24,24,48
 isOpen(pPager->jfd) ,24,24,48
m_count,24,24,48
 sqlite3_mutex_held(pCur->pBtree->db->mutex) ,24,24,48
 pOp->p3>0 && pOp->p3<=p->nMem ,24,24,48
 rc!=SQLITE_DONE ,23,23,46
 db->mallocFailed ,22,22,44
tvIsPlausible(tv),22,22,44
m_magic == kMagic,24,19,43
 p->nRef>0 ,21,21,42
 pWal->writeLock ,21,21,42
!arrayData()->hasMultipleRefs(),24,18,42
m_type == KindOfArray,21,21,42
 p->pSegments==0 ,21,21,42
index < size(),22,20,42
 pPage->isInit ,20,20,40
 pOp->p4type==P4_INT32 ,20,20,40
 pTab!=0 ,20,20,40
 p->pEList ,20,20,40
m_pos != ArrayData::invalid_index,20,20,40
name && *name,20,19,39
 iDb>=0 ,19,19,38
m_count > 0,19,17,36
_count > 0,18,18,36
ad,19,17,36
 pPager->errCode==SQLITE_OK ,18,18,36
!MemoryManager::sweeping(),20,16,36
 pPager->eState!=PAGER_ERROR ,18,18,36
!fail,18,18,36
code < kNumberOfFPRegisters,21,14,35
!rt.IsZero(),21,14,35
type() == GP,20,15,35
 pParse->nErr==0 ,17,17,34
 pH!=0 ,17,17,34
canMutateBuffer(),20,14,34
 rc==SQLITE_OK || ppStmt==0 || *ppStmt==0 ,16,16,32
 pList!=0 ,16,16,32
 p->inTrans==TRANS_WRITE ,16,16,32
 nColumn==1 ,16,16,32
m_data,17,15,32
 pTabList->nSrc==1 ,16,16,32
 pIn1->flags&MEM_Int ,16,16,32
 pBt->inTransaction==TRANS_WRITE ,16,16,32
 sqlite3BtreeHoldsAllMutexes(pParse->db) ,16,16,32
 IsVirtual(pTab) ,16,16,32
 pOp->p3>0 ,16,16,32
OpLowInvalid == 0,16,16,32
 sqlite3PagerIswriteable(pParent->pDbPage) ,16,16,32
 pOp->p2>0 ,16,16,32
!isPacked(),16,16,32
 pOp->p3<=p->nMem ,15,15,30
 (p->btreeMask & (((yDbMask)1)<<pOp->p1))!=0 ,15,15,30
lsb + width <= rn.size(),18,12,30
 iDb<db->nDb ,15,15,30
 iIndex>=0 && iIndex<p->nIndex ,15,15,30
 eFileLock<=SHARED_LOCK ,15,15,30
 unixMutexHeld() ,15,15,30
declared,15,15,30
