x_val,y_added,y_removed,y_combined
1,165,103,223
2,79,66,129
4,95,59,120
3,70,50,105
5,72,30,82
6,52,43,69
9,53,26,64
7,47,31,60
8,44,33,61
11,48,31,56
10,45,27,55
13,35,16,40
17,33,18,38
12,29,17,33
16,27,19,30
15,24,22,29
14,28,14,31
20,23,20,29
18,23,21,25
21,18,17,16
22,18,13,19
19,12,20,15
25,17,14,16
23,16,8,20
24,16,9,16
29,16,9,13
28,14,7,14
26,12,8,13
31,12,10,11
36,6,13,10
27,14,5,9
34,8,8,10
37,8,6,8
33,7,5,9
30,5,6,7
38,6,7,5
35,3,11,3
39,2,11,4
45,6,4,5
32,6,5,3
46,7,3,3
42,5,1,6
43,4,6,2
54,4,4,4
49,2,7,2
55,3,6,2
40,4,3,3
41,3,5,2
68,4,3,3
50,2,5,2
51,5,3,1
65,3,3,3
44,2,4,2
67,3,3,2
48,3,3,1
52,2,3,2
60,2,3,2
62,3,2,2
47,3,1,2
56,2,3,1
57,2,2,2
66,1,3,2
53,1,2,2
100,1,3,1
64,4,0,0
74,1,2,1
75,0,4,0
81,1,2,1
83,2,0,2
90,0,3,1
72,1,1,1
76,0,2,1
77,2,1,0
89,1,1,1
93,0,3,0
99,1,1,1
127,1,1,1
58,0,1,1
61,0,1,1
69,0,2,0
71,2,0,0
73,1,0,1
78,1,0,1
79,0,2,0
80,0,2,0
98,0,1,1
104,0,2,0
108,1,1,0
113,1,0,1
119,1,1,0
59,0,1,0
70,0,1,0
87,0,1,0
95,0,1,0
96,0,1,0
101,1,0,0
106,0,1,0
116,0,1,0
118,0,1,0
120,0,1,0
137,1,0,0
138,0,0,1
144,0,1,0
155,1,0,0
159,0,1,0
162,0,1,0
166,1,0,0
175,0,1,0
239,0,1,0
