x_val,y_added,y_removed,y_combined
assert,19950,18294,38244
ASSERT,1871,1868,3739
static_assert,778,553,1331
assertx,420,118,538
always_assert,137,85,222
BOOST_STATIC_ASSERT,76,76,152
assert_pager_state,64,64,128
ASSERTT_OP,28,28,56
const_assert,27,27,54
CT_ASSERT,27,27,54
assert_refcount_realistic,16,16,32
assertCellInfo,12,12,24
expensive_assert,12,12,24
assert_address_is_atomically_accessible,10,10,20
assertTruncateConstraint,8,8,16
assertOperandTypes,7,7,14
always_assert_flog,9,2,11
assertType,11,0,11
f_assert,5,5,10
f_assert_options,5,5,10
BLOCK_EMISSION_ASSERT,5,5,10
assert_refcount_realistic_nz,4,4,8
assert_not_implemented,4,4,8
ASSERTOBJ_OP,4,4,8
assertCanEmit,7,1,8
assertParentIndex,4,4,8
CT_ASSERT_DESCENDENT_OF_OBJECTDATA,3,3,6
ASSERT_NOT_IMPLEMENTED,3,3,6
assert_refcount_realistic_ns,3,3,6
assert_log_impl,3,3,6
assert_throw_fail_impl,3,3,6
assert_flog,5,0,5
assertValidHelper,2,2,4
always_assert_log,2,2,4
fh_assert_options,2,2,4
fh_assert,2,2,4
impl_assert_fail,2,2,4
FOLLY_ASSERT,2,2,4
__assert_fail,2,2,4
assert_refcount_realistic_ns_nz,2,2,4
CT_ASSERT_DESCENDENT_OF_RESOURCEDATA,2,2,4
assert_fail_impl,2,2,4
assert_impl,1,1,2
assert_log_detail,1,1,2
assertedType,1,1,2
assert_fail_log_detail,1,1,2
ZEND_ASSERT,1,0,1
assert_avail_exceeds_minimum,1,0,1
assert_fail_impl_no_log,1,0,1
