x_val,y_added,y_removed,y_combined
0,292,213,400
1,126,115,156
2,105,69,124
-1,72,62,92
3,72,52,82
4,58,39,58
5,49,45,56
-2,53,34,63
-3,36,22,43
6,29,28,36
7,32,26,33
8,25,18,22
-6,24,14,25
-4,19,15,26
-5,16,17,26
9,19,11,19
-7,13,9,20
-9,14,8,17
-8,11,8,16
11,10,10,11
10,11,9,9
13,9,11,9
-14,8,9,12
14,6,11,11
-12,13,2,12
12,10,5,11
-13,9,6,10
17,9,5,10
-11,10,5,8
18,7,3,7
25,6,3,7
19,6,3,5
-17,4,4,6
-15,5,4,5
16,5,3,4
26,4,3,5
27,5,3,4
15,4,3,4
-31,5,1,5
20,2,5,3
24,4,3,3
36,5,0,5
-19,3,2,5
-10,2,6,2
23,3,3,3
-28,4,2,3
-26,3,2,3
-23,3,1,4
-21,5,0,3
38,2,2,3
31,2,1,3
-30,3,1,2
-22,2,2,2
21,1,3,1
22,1,3,1
32,2,0,3
41,1,2,2
75,2,1,2
-25,1,1,3
-24,2,1,2
29,2,0,2
39,2,0,2
-38,2,0,2
-27,2,0,2
45,1,1,1
73,0,1,2
177,1,1,1
-91,1,1,1
-75,1,1,1
-33,0,2,1
-32,1,0,2
-29,2,0,1
-18,2,0,1
-16,0,2,1
28,0,2,0
30,1,0,1
33,1,1,0
42,1,0,1
43,1,0,1
46,0,1,1
63,1,0,1
67,1,0,1
68,1,0,1
92,1,0,1
96,0,1,1
138,1,0,1
-204,0,1,1
-133,1,0,1
-87,1,0,1
-85,1,0,1
-67,1,0,1
-59,1,0,1
-55,1,0,1
-48,0,1,1
-47,1,1,0
-44,1,0,1
-43,1,0,1
-42,1,0,1
-41,1,0,1
-39,1,0,1
-36,1,0,1
-34,1,0,1
35,1,0,0
37,0,1,0
47,1,0,0
58,1,0,0
59,0,0,1
87,1,0,0
98,0,1,0
99,1,0,0
181,0,0,1
207,0,1,0
-64,0,0,1
-60,0,1,0
-46,0,1,0
-45,0,0,1
-35,1,0,0
