x_val,y_added,y_removed,y_combined
jv_get_kind(a) == JV_KIND_ARRAY,23,14,37
jv_get_kind(object) == JV_KIND_OBJECT,22,14,36
jv_get_kind(j) == JV_KIND_STRING,19,11,30
"jv_number_value(jv_array_get(jv_copy(a), 0)) == 42",15,12,27
jv_array_length(jv_copy(subarray)) == 1,15,12,27
jv_get_kind(subarray) == JV_KIND_ARRAY,15,12,27
"jv_number_value(jv_array_get(jv_copy(subarray), 0)) == 42",15,12,27
jv_get_kind(key) == JV_KIND_STRING,13,8,21
jv_array_length(jv_copy(a)) == 0,10,8,18
"jv_number_value(jv_object_get(jv_copy(o1), jv_string(""bar""))) == 24",10,8,18
"jv_number_value(jv_object_get(jv_copy(o1), jv_string(""foo""))) == 42",10,8,18
jv_array_length(jv_copy(a)) == 2,10,8,18
jv_get_kind(j) == JV_KIND_ARRAY,11,7,18
a.val.complex.ptr->count == 1,8,8,16
jq,8,7,15
block_is_single(binder),8,6,14
jv_is_valid(val),9,5,14
curr->bound_by == curr,8,6,14
"block_has_only_binders(binder, bindflags)",8,5,13
0,7,6,13
line < l->nlines,7,6,13
p->curr_buf_pos == p->curr_buf_length,7,5,12
c != -1,7,5,12
jv_get_kind(o) == JV_KIND_OBJECT,8,4,12
jv_get_kind(keys) == JV_KIND_ARRAY,8,4,12
jv_get_kind(a) == JV_KIND_OBJECT,7,4,11
opcode_describe(op)->flags & OP_HAS_BRANCH,6,4,10
target.last,6,4,10
p->stackpos > 1 && jv_get_kind(p->stack[p->stackpos-2]) == JV_KIND_OBJECT,6,4,10
"!jv_equal(jv_copy(a2), jv_copy(a))",5,4,9
"jv_equal(jv_copy(a), jv_copy(a))",5,4,9
jv_array_length(jv_copy(objects)) == jv_array_length(jv_copy(keys)),6,3,9
"jv_equal(jv_copy(a2), jv_copy(a))",5,4,9
0 <= start && start <= end && end <= len,6,3,9
"jv_equal(jv_string(""foo""), jv_string_sized(""foo"", 3))",5,4,9
jv_array_length(jv_copy(sub2)) == 2,5,4,9
"jv_number_value(jv_array_get(jv_copy(a3), 2)) == 19",5,4,9
jv_get_kind(objects) == JV_KIND_ARRAY,6,3,9
before == after,5,4,9
opcode_describe(op)->flags & OP_HAS_VARIABLE,5,4,9
"jv_number_value(jv_array_get(jv_copy(sub2), 0)) == 42",5,4,9
jv_string_hash(jv_copy(a1)) == jv_string_hash(jv_copy(a2)),5,4,9
"jv_number_value(jv_object_get(jv_copy(o2), jv_string(""bar""))) == 240",5,4,9
"jv_equal(jv_copy(a1), jv_copy(a2))",5,4,9
"jv_number_value(jv_object_get(jv_copy(o2), jv_string(""foo""))) == 420",5,4,9
"jv_number_value(jv_array_get(jv_copy(sub2), 1)) == 19",5,4,9
"jv_equal(jv_copy(a), jv_copy(a2))",5,4,9
jv_array_length(jv_copy(a3)) == 3,5,4,9
jv_string_hash(jv_copy(a1)) == jv_string_hash(jv_copy(a1)),5,4,9
"jv_equal(jv_copy(a2), jv_copy(a2))",5,4,9
"jv_array_length(jv_array_get(jv_copy(a), 1)) == 1",5,4,9
"!jv_equal(jv_copy(a), jv_copy(a2))",5,4,9
"jv_equal(jv_copy(a2), jv_copy(a1))",5,4,9
jv_string_hash(jv_copy(b)) != jv_string_hash(jv_copy(a1)),5,4,9
jv_get_kind(sub2) == JV_KIND_ARRAY,5,4,9
"jv_array_length(jv_array_get(jv_copy(a3), 1)) == 1",5,4,9
jv_get_refcnt(a) == 1,6,3,9
"!jv_equal(jv_copy(a1), jv_copy(b))",5,4,9
"jv_number_value(jv_array_get(jv_copy(a3), 0)) == 42",5,4,9
jv_array_length(jv_copy(a)) == 1,5,4,9
!forkable_stack_empty(&frame_stk),4,4,8
opcode_describe(op)->flags & OP_IS_CALL_PSEUDO,4,4,8
jvp_refcnt_unshared(object),4,4,8
!jv_is_valid(p->next),5,3,8
*pc == 1,4,4,8
nargs > 0,4,4,8
"0 && ""Invalid value""",4,3,7
"0 && ""Unknown type of parameter""",4,3,7
i >= 0,4,3,7
pos < l->length,4,3,7
curr->op == CALL_JQ,4,3,7
jv_get_kind(k) == JV_KIND_STRING,4,3,7
!nerrors,4,3,7
"jv_equal(jv_copy(expected), jv_copy(reparsed))",4,3,7
"!strcmp(big, jv_string_value(str))",4,3,7
closure >= 0,4,3,7
"jv_equal(jv_string(""hello42!""), jv_string_fmt(""hello%d%s"", 42, ""!""))",4,3,7
var >= 0,4,3,7
codepoint >= 0 && codepoint <= 0x10FFFF,4,3,7
i + a->i[0] < array->length,3,3,6
curr && opcode_describe(curr->op)->flags & OP_IS_CALL_PSEUDO,3,3,6
match,3,3,6
curr->bound_by->op == CLOSURE_CREATE_C,4,2,6
funcname,3,3,6
block_is_const(b),4,2,6
jv_is_valid(expected),3,3,6
!curr->arglist.first,4,2,6
state,3,3,6
curr->op == CALL_1_1,3,3,6
jv_is_valid(t),4,2,6
"0 && ""Unknown function type""",4,2,6
bc,3,3,6
curr->op != CLOSURE_REF && curr->op != CLOSURE_PARAM,4,2,6
jv_string_length(jv_copy(str)) == sizeof(big) - 1,3,3,6
"0&&""bad lookup""",3,3,6
jv_string_length(longstr) == sizeof(nasty),3,3,6
jv_string_length(shortstr) == strlen(nasty),3,3,6
jv_get_kind(a) == JV_KIND_STRING,4,2,6
jv_is_valid(input),3,3,6
i->op == CLOSURE_PARAM,4,2,6
jv_get_kind(b) == JV_KIND_OBJECT,4,2,6
fp->retaddr >= bc->code && fp->retaddr < bc->code + bc->codelen,3,2,5
!a->next,3,2,5
p->tokenpos <= p->tokenlen,3,2,5
size > 0 && (size & (size - 1)) == 0,3,2,5
iter != ITER_FINISHED,3,2,5
jv_get_kind(b) == JV_KIND_ARRAY,3,2,5
jv_get_kind(s) == JV_KIND_STRING,3,2,5
jv_is_valid(v),3,2,5
!b->prev,3,2,5
var < fr->bc->nlocals,3,2,5
"(p->curr_buf == 0 || p->curr_buf_pos == p->curr_buf_length) && ""previous buffer not exhausted""",3,2,5
jv_get_kind(str) == JV_KIND_STRING,3,2,5
block_is_single(b),3,2,5
slot,3,2,5
p->stackpos < p->stacklen,3,2,5
bc && bc == target->compiled,3,2,5
closure < fr->bc->nclosures,3,2,5
curr == b.last,3,2,5
slot == -1 || (slot >= 0 && slot < jvp_object_size(object)),3,2,5
bc->globals->ncfunctions == ncfunc,3,2,5
s->alloc_length >= jvp_string_length(s),3,2,5
p->stackpos <= p->stacklen,3,2,5
jv_get_kind(j) == JV_KIND_NUMBER,3,2,5
p->tokenpos < p->tokenlen,3,2,5
subfn_idx < fr->bc->nsubfunctions,3,2,5
"0 && ""invalid kind""",3,2,5
out - start == jvp_utf8_encode_length(codepoint),3,2,5
new_slot,3,2,5
"0 && ""codegen not implemented for this operation""",3,2,5
binder.first->bound_by == 0 || binder.first->bound_by == binder.first,3,2,5
curr->imm.target->bytecode_pos != -1,3,2,5
opcode_describe(op)->length == 1,3,2,5
curr->imm.target->bytecode_pos > pos,3,2,5
opcode_describe(b.first->op)->flags & OP_HAS_BRANCH,3,2,5
a && b,3,2,5
"0 && ""invalid instruction""",3,2,5
binder.first->symbol,3,2,5
fp->retaddr == 0,3,2,5
"!jvp_object_find_slot(&new_object, slot->string, new_bucket)",2,2,4
