x_val,y_added,y_removed,y_combined
0,46,27,53
1,9,3,9
3,7,6,8
2,5,4,6
4,4,1,5
5,2,3,3
7,4,2,2
11,3,2,3
6,1,4,2
9,2,2,2
-2,2,2,2
13,3,0,2
29,2,1,2
15,1,1,2
18,2,0,2
-1,2,0,2
46,1,1,1
55,1,1,1
70,1,1,1
-3,1,1,1
10,1,0,1
21,0,1,1
32,1,0,1
35,1,0,1
36,1,0,1
37,1,0,1
164,0,1,1
166,0,1,1
45,0,1,1
-186,1,0,1
199,1,0,1
-44,1,0,1
91,1,0,1
-34,1,0,1
-33,1,0,1
95,1,0,1
-160,0,1,1
99,1,0,1
-18,1,0,1
115,1,0,1
-12,1,0,1
12,0,0,1
14,1,0,0
16,0,1,0
19,0,1,0
158,1,0,0
33,0,1,0
57,1,0,0
-68,0,1,0
68,0,1,0
-48,0,1,0
86,0,1,0
220,0,1,0
-25,0,0,1
106,0,1,0
121,0,1,0
-7,0,0,1
