x_val,y_added,y_removed,y_combined
0,56,44,100
jl_is_function(f),16,16,32
"!cmp_lt(&i64, T_INT64, &d, T_DOUBLE)",9,9,18
jl_is_gf(gf),9,9,18
jl_is_symbol(name),12,6,18
"cmp_lt(&d, T_DOUBLE, &i64, T_INT64)",9,9,18
nargs > 0,8,8,16
iscons(e),8,7,15
jl_is_some_tag_type(a),7,7,14
jl_is_tuple(env),7,7,14
session != NULL,7,7,14
tta->parameters->length == ttb->parameters->length,7,7,14
*ip < vector_size(v),6,6,12
jl_is_expr(l),6,6,12
jl_is_expr(le),6,6,12
jl_is_some_tag_type(b),6,6,12
"cmp_lt(&i64, T_INT64, &ui64, T_UINT64)",6,6,12
"!cmp_lt(&ui64, T_UINT64, &i64, T_INT64)",6,6,12
jl_is_lambda_info(li),7,5,12
mode != MODE_MODULE_POSTWORK,7,4,11
v != NULL,7,4,11
jl_bitstype_nbits(t)/8 == sizeof(x),5,5,10
jl_is_bits_type(t),5,5,10
jl_is_tuple_type(type),6,4,10
jl_is_datatype(ty),5,4,9
handle == NULL,4,5,9
jl_is_struct_type(t),4,4,8
i < vector_size(v),4,4,8
types->length != 1,4,4,8
jl_is_tuple(argtypes),4,4,8
isvector(v),4,4,8
len > 0,4,4,8
i < vector_size(e),4,4,8
jl_is_symbol(nm),4,4,8
jl_is_array(le),4,4,8
ctx != NULL,4,4,8
jl_is_type(args[1]),4,4,8
jl_is_symbol(sym),5,3,8
NWORDS(sizeof(jl_expr_t))==3,4,4,8
jl_is_tag_type(super),4,4,8
___PAIRP(e),4,4,8
isvector(e),4,4,8
(size_t) len < sizeof(buf),4,4,8
jl_is_array(ll),4,4,8
issymbol(v),4,4,8
waiting_for == 0,4,4,8
jl_is_array(vil),4,4,8
li,4,4,8
"jl_tupleref(type,i) != (jl_value_t*)jl_bottom_type",4,4,8
n > 0,5,2,7
jl_svec_len(meth->sparam_syms) == jl_svec_len(sparam_vals),4,3,7
tt->linfo == NULL,3,3,6
jl_bitstype_nbits(v->type)/8 == sizeof(c_type),3,3,6
*bp != (uptrint_t)HT_NOTFOUND,3,3,6
jl_is_symbol(var),3,3,6
jl_is_expr(ex),3,3,6
jl_is_svec(env),3,3,6
"cmp_eq(&d, T_DOUBLE, &i64, T_INT64, 0)",3,3,6
jl_is_function(t->ctor_factory),3,3,6
f->linfo != NULL,3,3,6
gc_bits(o) != GC_QUEUED,3,3,6
jl_is_method(m),4,2,6
i < jl_array_len(a),6,0,6
"!cmp_eq(&d, T_DOUBLE, &i64, T_INT64, 0)",3,3,6
jl_is_gf(f),3,3,6
!mfunc->linfo || !mfunc->linfo->inInference,3,3,6
t == jl_current_task,3,3,6
tt->env == NULL,3,3,6
jl_is_expr(thk->ast),3,3,6
"ptrhash_get(&backref_table, jl_cellref(jl_module_init_order, i)) != HT_NOTFOUND",3,3,6
jl_is_tuple(newsig),3,3,6
jl_is_typevar(tv),3,3,6
jl_is_func(f),3,3,6
jl_is_bits_type(v->type),3,3,6
ast != NULL,3,3,6
jl_is_datatype(gf),3,3,6
jl_is_function(args[0]),3,3,6
"cmp_lt(&ui64, T_UINT64, &i64, T_INT64)",3,3,6
dest != NULL,3,3,6
jl_is_function(gf),3,3,6
jl_is_tuple(type),3,3,6
"cmp_lt(&i64, T_INT64, &ui64b, T_UINT64)",3,3,6
f,3,3,6
"!cmp_lt(&i64, T_INT64, &ui64, T_UINT64)",3,3,6
"!cmp_lt(&i64b, T_INT64, &i64, T_INT64)",3,3,6
!t->done,3,3,6
iscvalue(v),4,2,6
jl_tuple_len(tta->parameters) == jl_tuple_len(ttb->parameters),3,3,6
uid > 0,3,3,6
jl_is_tuple(para),3,3,6
oldast->head == lambda_sym,3,3,6
jl_is_int32(dimarg),3,3,6
"cmp_lt(&i64, T_INT64, &i64b, T_INT64)",3,3,6
jl_is_lambda_info(linfo),4,2,6
"!cmp_lt(&ui64b, T_UINT64, &i64, T_INT64)",3,3,6
gc_bits(buf) != GC_QUEUED,3,3,6
jl_datatype_size(t) == sizeof(x),3,2,5
jl_is_svec(*penv),3,2,5
"offsetof(uv_stream_t,type) == offsetof(ios_t,bm) && sizeof(((uv_stream_t*)0)->type) == sizeof(((ios_t*)0)->bm), ""UV and ios layout mismatch""",3,2,5
*bp != HT_NOTFOUND,3,2,5
sz > 2,3,2,5
thread == mach_profiler_thread,3,2,5
jl_is_tuple_type(sig),3,2,5
issymbol(s),3,2,5
"jl_typeis(argarr, jl_array_any_type)",3,2,5
eof_error != NULL,3,2,5
jl_is_datatype(t),3,2,5
ssz > 0,3,2,5
sz > 11,3,2,5
j == n-ndel,3,2,5
isfunction(e),2,2,4
"""TODO""",2,2,4
b->constp,2,2,4
!ml->isstaged,2,2,4
jl_svec_len(generator->sparam_syms) == jl_svec_len(sparam_vals),2,2,4
jl_is_some_tag_type(parent),2,2,4
l->head == lambda_sym,2,2,4
