x_val,y_added,y_removed,y_combined
1,65,49,91
2,28,15,31
3,20,8,20
4,14,7,16
5,9,3,15
7,11,4,12
11,9,4,13
6,8,7,10
12,5,6,8
14,5,6,8
22,6,4,8
23,4,5,8
15,5,4,6
28,4,6,5
13,6,1,7
17,5,3,5
18,4,2,7
34,3,4,6
9,4,1,7
20,4,3,5
19,5,3,3
24,5,1,5
30,5,1,5
47,5,2,4
77,4,2,5
8,5,0,5
26,4,1,5
27,4,1,5
31,3,4,3
32,3,2,5
50,4,1,5
52,5,0,5
38,2,3,4
51,3,2,4
45,2,4,2
55,2,4,2
65,4,1,3
25,4,1,2
35,2,2,3
48,2,2,3
10,1,2,3
16,1,2,3
37,3,0,3
59,1,3,2
92,2,2,2
97,2,1,3
102,2,1,3
133,2,2,2
154,1,2,3
63,2,1,2
64,0,2,3
71,2,1,2
73,3,0,2
76,1,3,1
87,2,1,2
94,1,2,2
101,3,0,2
148,1,2,2
201,2,1,2
205,1,3,1
21,3,0,1
36,1,1,2
41,1,1,2
58,1,1,2
70,2,0,2
72,1,1,2
75,1,2,1
78,1,1,2
85,1,2,1
89,1,2,1
90,0,3,1
108,1,2,1
152,1,1,2
164,2,0,2
168,1,1,2
170,1,1,2
184,2,1,1
206,1,1,2
40,1,1,1
44,1,0,2
49,1,0,2
53,1,1,1
54,1,0,2
66,1,0,2
68,1,0,2
69,1,1,1
98,1,1,1
96,0,1,2
104,0,2,1
112,1,1,1
123,0,2,1
131,1,0,2
132,2,0,1
136,1,1,1
143,1,1,1
144,2,0,1
147,0,2,1
153,1,1,1
155,1,0,2
167,1,1,1
174,1,1,1
189,1,1,1
199,1,1,1
230,1,1,1
249,2,1,0
265,1,1,1
281,1,1,1
347,0,2,1
353,1,1,1
42,0,1,1
43,1,0,1
61,1,0,1
62,2,0,0
81,1,0,1
83,1,1,0
84,1,0,1
91,1,0,1
93,1,0,1
95,0,1,1
609,1,0,1
610,1,0,1
110,1,0,1
113,1,1,0
116,0,1,1
117,0,1,1
118,1,1,0
121,0,1,1
126,1,0,1
129,1,0,1
137,0,2,0
138,0,1,1
140,0,2,0
1171,1,0,1
150,1,0,1
151,1,0,1
149,0,2,0
158,1,0,1
159,1,0,1
165,1,0,1
169,0,1,1
171,1,0,1
172,0,1,1
175,1,0,1
192,1,0,1
195,0,1,1
197,1,0,1
200,1,0,1
212,1,0,1
226,1,0,1
238,1,0,1
240,0,1,1
241,1,0,1
243,1,1,0
263,1,0,1
307,0,1,1
311,1,0,1
338,1,1,0
369,1,1,0
401,1,0,1
402,1,0,1
403,1,1,0
413,0,1,1
942,1,0,1
441,1,0,1
515,0,1,0
39,0,1,0
46,0,1,0
56,1,0,0
520,0,1,0
60,1,0,0
573,0,1,0
67,0,1,0
74,0,1,0
79,0,0,1
82,0,1,0
86,1,0,0
1115,0,1,0
100,0,0,1
107,1,0,0
109,0,1,0
114,1,0,0
115,1,0,0
631,1,0,0
124,0,1,0
127,0,1,0
141,0,1,0
145,0,1,0
160,0,1,0
161,1,0,0
1186,0,1,0
173,1,0,0
176,1,0,0
177,0,1,0
178,1,0,0
183,1,0,0
188,0,0,1
191,1,0,0
194,0,1,0
203,0,1,0
220,0,1,0
229,0,1,0
231,1,0,0
743,0,1,0
235,1,0,0
244,0,0,1
253,1,0,0
562,0,1,0
268,0,1,0
271,0,1,0
285,0,0,1
286,0,1,0
289,1,0,0
306,1,0,0
310,0,1,0
314,1,0,0
318,1,0,0
319,0,0,1
33,0,0,1
847,0,1,0
343,0,0,1
345,0,1,0
857,0,0,1
862,0,1,0
350,0,1,0
354,0,1,0
392,0,0,1
905,0,1,0
398,0,0,1
408,1,0,0
415,1,0,0
421,1,0,0
954,1,0,0
452,0,1,0
1489,0,1,0
466,1,0,0
471,0,0,1
479,0,0,1
480,1,0,0
490,1,0,0
492,0,1,0
510,0,1,0
