x_val,y_added,y_removed,y_combined
0,104,62,137
1,45,27,62
2,34,25,42
3,23,7,27
4,19,14,24
5,21,9,23
6,12,12,18
12,13,10,17
7,11,14,13
9,14,4,15
11,10,11,10
8,10,7,10
10,9,5,8
-6,8,4,8
-1,6,5,7
-2,5,4,6
13,3,5,5
16,5,4,4
-5,5,3,5
14,4,4,4
19,1,6,5
26,5,1,4
-9,3,3,4
17,2,5,2
18,3,3,2
15,3,1,3
21,4,2,1
41,2,2,3
22,2,2,2
-8,3,1,2
20,2,2,1
27,1,3,1
31,1,2,2
43,1,2,2
23,1,2,1
30,1,3,0
36,1,2,1
63,1,1,2
-50,1,2,1
-12,1,1,2
-4,1,1,2
28,1,1,1
34,1,1,1
72,1,1,1
87,1,1,1
-366,1,1,1
-360,1,1,1
-282,1,1,1
305,1,1,1
-42,1,1,1
-31,1,1,1
24,2,0,0
25,0,1,1
33,1,0,1
44,1,0,1
54,1,0,1
57,0,1,1
76,1,0,1
85,1,0,1
105,0,1,1
144,1,0,1
155,1,0,1
158,1,0,1
-206,1,0,1
336,0,1,1
350,1,0,1
-139,1,0,1
-126,1,0,1
-111,1,0,1
-81,1,0,1
-55,1,0,1
-45,0,1,1
-33,1,0,1
-23,0,1,1
-17,1,0,1
-14,1,0,1
-7,1,0,1
29,0,1,0
38,0,1,0
39,0,1,0
40,1,0,0
45,0,1,0
46,1,0,0
50,0,1,0
56,0,0,1
62,0,1,0
68,1,0,0
86,0,1,0
89,0,0,1
91,0,1,0
94,0,1,0
107,1,0,0
110,1,0,0
117,0,0,1
134,1,0,0
183,0,1,0
200,0,0,1
233,0,1,0
-217,0,0,1
-216,0,1,0
-205,0,1,0
-189,0,0,1
-188,1,0,0
351,1,0,0
365,0,1,0
-124,0,1,0
-97,0,1,0
-87,0,0,1
-75,1,0,0
-73,1,0,0
-67,0,0,1
-66,0,1,0
-53,0,0,1
-37,0,0,1
-32,0,1,0
-24,0,1,0
-21,1,0,0
-19,0,1,0
-13,0,0,1
-11,1,0,0
-10,0,0,1
