x_val,y_added,y_removed,y_combined
1,2,0,3
4,0,3,2
2,1,0,3
3,1,1,2
228,1,2,1
23,1,1,1
183,1,1,1
1592,1,1,1
1537,1,0,1
129,0,1,1
6,1,0,1
1412,0,1,1
14,0,1,1
916,0,1,1
26,1,0,1
32,1,0,1
418,1,0,1
37,1,0,1
44,0,1,1
594,1,0,1
341,0,1,1
227,1,0,1
113,0,1,1
370,0,1,1
500,0,1,1
1919,0,1,1
7,1,0,0
5,0,0,1
18,0,0,1
21,1,0,0
2328,1,0,0
2461,1,0,0
157,0,0,1
30,0,0,1
34,0,0,1
36,1,0,0
38,0,1,0
425,0,1,0
43,0,0,1
48,1,0,0
187,1,0,0
2242,0,1,0
841,1,0,0
87,0,1,0
224,1,0,0
609,0,0,1
101,0,1,0
614,1,0,0
100,0,0,1
104,0,1,0
111,0,0,1
114,1,0,0
766,0,1,0
