x_val,y_added,y_removed,y_combined
1,585,171,658
2,346,113,372
3,227,93,244
4,151,59,153
5,106,50,109
6,89,41,94
7,71,34,72
8,61,28,64
9,49,22,46
10,44,28,40
11,30,23,32
13,27,29,26
12,19,20,23
14,24,13,22
19,19,9,20
17,13,14,13
15,13,10,10
16,7,13,9
23,8,13,7
20,8,10,8
18,8,9,5
22,2,12,3
21,4,9,3
29,4,5,4
31,4,5,2
25,1,8,0
27,3,3,3
26,1,6,1
30,2,3,3
43,1,6,1
34,2,4,1
38,1,5,1
24,2,2,2
32,1,4,1
37,1,4,1
35,2,1,2
61,1,2,1
50,0,3,0
52,0,3,0
78,1,1,1
36,0,2,0
42,0,1,1
44,0,2,0
48,0,1,1
51,0,1,1
55,1,1,0
60,1,0,1
63,1,0,1
72,0,2,0
28,0,1,0
33,0,1,0
39,0,1,0
40,0,1,0
41,0,1,0
45,0,1,0
46,0,1,0
47,0,1,0
49,0,1,0
129,0,1,0
53,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
62,0,1,0
64,0,1,0
70,0,1,0
71,1,0,0
74,0,1,0
75,0,1,0
76,1,0,0
86,0,1,0
89,0,1,0
91,0,1,0
