x_val,y_added,y_removed,y_combined
0,684,256,745
1,175,80,191
-1,98,29,103
2,84,53,88
3,89,42,90
4,55,40,59
6,52,32,50
5,44,20,46
7,35,27,38
-4,29,18,35
-2,29,15,34
-3,29,12,29
8,24,15,23
9,19,10,20
-6,20,9,20
-7,20,9,19
10,14,15,15
12,14,11,16
-8,18,4,19
-9,15,8,16
11,15,7,16
13,14,9,15
-5,16,4,14
14,12,7,12
-13,11,5,12
-10,8,7,10
16,8,9,7
-11,7,7,9
21,9,4,9
15,7,6,8
22,7,5,8
-14,8,1,8
27,6,4,6
19,6,4,5
33,6,2,7
-26,4,6,5
20,5,4,5
30,6,3,5
-22,6,2,6
-19,6,2,6
18,4,5,4
-12,6,2,5
17,4,3,5
-29,5,2,5
-21,5,2,5
25,3,5,3
-20,3,5,3
-16,5,2,4
28,4,3,3
-23,4,1,5
-18,3,3,4
-15,4,2,4
23,3,3,3
24,4,2,3
-34,4,1,4
29,3,2,3
31,3,2,3
32,4,0,4
35,4,1,3
41,4,0,4
43,2,3,2
-31,3,0,4
-28,3,1,3
26,3,1,2
44,3,0,3
-64,2,2,2
-36,3,0,3
-35,3,0,3
34,2,1,2
37,2,1,2
58,2,1,2
62,2,1,2
64,3,0,2
97,2,1,2
146,2,1,2
-53,2,1,2
-52,2,1,2
-48,1,2,2
-30,2,1,2
-25,2,1,2
-24,2,1,2
36,1,2,1
40,2,0,2
48,1,2,1
50,2,0,2
60,2,0,2
63,1,1,2
67,2,0,2
-98,2,0,2
-60,2,0,2
-44,2,0,2
-43,1,2,1
-38,1,2,1
-17,2,0,2
38,0,2,1
57,1,1,1
73,1,1,1
80,1,1,1
81,1,1,1
220,1,1,1
-216,1,1,1
-173,1,1,1
-104,1,1,1
-81,1,1,1
-62,1,0,2
-58,1,1,1
-57,1,2,0
-45,1,0,2
-40,1,1,1
-37,1,1,1
-33,1,1,1
-27,1,0,2
42,1,0,1
46,0,2,0
53,1,0,1
59,0,1,1
68,1,0,1
72,1,0,1
74,1,0,1
75,1,0,1
-435,1,0,1
78,1,0,1
85,1,0,1
98,1,0,1
99,1,0,1
100,0,1,1
102,1,0,1
107,1,0,1
110,1,0,1
120,1,0,1
-485,1,0,1
126,1,0,1
135,0,1,1
155,1,0,1
163,1,0,1
-348,1,0,1
165,1,0,1
168,1,0,1
170,1,0,1
685,1,0,1
183,1,0,1
184,1,0,1
221,1,0,1
-222,1,0,1
312,1,0,1
-696,1,0,1
-180,1,0,1
-172,1,0,1
353,1,0,1
-157,1,0,1
-155,1,0,1
-153,1,0,1
-147,1,0,1
-137,1,0,1
-133,0,1,1
-126,1,0,1
-123,1,0,1
-121,1,0,1
-120,1,0,1
-115,1,0,1
401,1,0,1
-106,1,0,1
-91,0,1,1
-87,1,0,1
-84,1,0,1
-82,1,0,1
-80,1,0,1
434,1,0,1
-74,1,0,1
-72,1,0,1
-70,1,0,1
-69,1,0,1
-66,1,0,1
-55,1,0,1
-46,1,0,1
-41,1,0,1
-32,1,0,1
39,0,1,0
47,0,1,0
61,0,1,0
66,0,1,0
70,0,1,0
138,1,0,0
169,0,1,0
185,0,1,0
-811,1,0,0
213,0,1,0
214,0,1,0
-237,0,1,0
-221,0,1,0
-679,0,0,1
-134,0,1,0
-102,1,0,0
-78,0,1,0
-77,0,1,0
-75,0,1,0
-73,0,1,0
-68,0,1,0
-65,0,0,1
-56,0,1,0
-47,1,0,0
-42,1,0,0
