x_val,y_added,y_removed,y_combined
r == 0,1180,269,1449
status == 0,173,78,251
"0 && ""implement me""",116,116,232
0,108,73,181
r != -1,87,77,164
r == -1,49,46,95
close_cb_called == 1,73,17,90
req != NULL,52,23,75
handle != NULL,57,18,75
r >= 0,66,4,70
"0 == uv_ip4_addr(""127.0.0.1"", TEST_PORT, &addr)",49,1,50
!r,33,15,48
handle->fd >= 0,23,23,46
stream->fd >= 0,23,23,46
0 == uv_run(loop),23,23,46
tcp->fd >= 0,21,21,42
close_cb_called == 2,35,5,40
status == -1,19,18,37
req,21,16,37
exit_cb_called == 1,33,3,36
r == UV_EINVAL,36,0,36
!(handle->flags & UV_HANDLE_CLOSED),24,12,36
"0 == uv_run(loop, UV_RUN_DEFAULT)",34,1,35
buf.len > 0,17,17,34
req.result != -1,17,17,34
handle->_.fd >= 0,16,16,32
!(req->flags & UV_REQ_PENDING),16,16,32
req->result == 0,28,2,30
req->result != -1,14,14,28
"0 == uv_run(uv_default_loop(), UV_RUN_DEFAULT)",28,0,28
close_cb_called == 0,24,3,27
!err,14,13,27
open_req1.result != -1,12,12,24
close_req.result != -1,11,11,22
uv_last_error(uv_default_loop()).code == UV_EINVAL,11,11,22
"0 == uv_ip4_addr(""0.0.0.0"", TEST_PORT, &addr)",19,3,22
req.result == 0,22,0,22
connect_cb_called == 1,21,1,22
err == 0,17,2,19
handle->type == UV_TCP,12,7,19
req.result >= 0,19,0,19
fd >= 0,12,7,19
uv_last_error().code == UV_EOF,9,9,18
tcp->write_queue_size == 0,9,8,17
dent.type == UV_DIRENT_FILE,9,8,17
stream->type == UV_TCP || stream->type == UV_NAMED_PIPE,9,8,17
open_req1.result >= 0,17,0,17
handle->type == UV_NAMED_PIPE,12,5,17
timer->type == UV_TIMER,8,8,16
close_req.result == 0,16,0,16
nread == 4,12,4,16
"0 && ""unreachable""",8,8,16
handle->write_queue_size == 0,8,8,16
loop->cf_loop != NULL,8,8,16
uv_last_error().code == UV_EINVAL,8,8,16
UV_OK == err.code,8,8,16
handle->type == UV_TIMER,9,6,15
0 == uv_thread_join(&thread),15,0,15
stream->write_queue_size == 0,8,7,15
req == &connect_req,13,2,15
loop != NULL,11,4,15
nread == UV_EOF,14,1,15
stream->io_watcher.fd >= 0,7,7,14
buf.base,7,7,14
!(req->flags & OIO_REQ_PENDING),7,7,14
uv_last_error().code == UV_EADDRNOTAVAIL,7,7,14
data != NULL,7,6,13
close_cb_called == 3,11,2,13
r == 1,9,4,13
!ev_is_active(&stream->read_watcher),6,6,12
!ev_is_active(&handle->read_watcher),6,6,12
term_signal == 0,8,4,12
suggested_size <= sizeof slab,6,6,12
sznum >= 0,6,6,12
addr != NULL,10,2,12
uv__stream_fd(stream) >= 0,9,3,12
tcp->write_watcher.data == tcp,6,6,12
ngx_queue_empty(&tcp->write_completed_queue),6,6,12
state != NULL,7,5,12
uv_last_error(uv_default_loop()).code == UV_EOF,6,6,12
req.result == -1,6,6,12
handle->write_watcher.data == handle,6,6,12
uv_last_error().code == UV_EADDRINUSE,6,6,12
h->connecting,6,6,12
err.code == UV_OK,6,6,12
stream->write_watcher.data == stream,6,6,12
watcher == &stream->read_watcher || watcher == &stream->write_watcher,6,6,12
req->result == -1,6,6,12
shutdown_cb_called == 1,12,0,12
r == UV_EBADF,12,0,12
revents == EV_READ,6,6,12
stream->write_watcher.cb == uv__stream_io,6,6,12
oio_last_error().code == OIO_EOF,6,6,12
stream->read_watcher.cb == uv__stream_io,6,6,12
handle->flags & UV_HANDLE_READING,8,3,11
"strcmp(buf, test_buf) == 0",11,0,11
"0 && ""unexpected error""",9,2,11
alloc_cb,6,5,11
handle->type == UV_UDP,7,4,11
result.code == UV_OK,5,5,10
!(stream->flags & UV_CLOSING),6,4,10
n == 0,6,4,10
!flags,5,5,10
write_cb_called == 1,8,2,10
*size > strlen(symlink),5,5,10
handle->flags & UV_CLOSING,6,4,10
pipe_fname != NULL,5,5,10
