x_val,y_added,y_removed,y_combined
0,296,158,352
1,75,47,94
-1,42,22,47
2,39,25,39
4,38,19,40
3,28,23,30
5,29,18,27
6,21,14,25
14,16,7,15
7,10,12,10
8,12,7,11
-2,13,4,12
11,8,7,9
-7,9,4,10
15,6,6,8
9,9,3,7
-4,8,3,8
-3,8,2,9
12,5,4,7
-9,6,3,7
10,3,5,6
20,4,5,5
-5,7,3,4
-6,5,3,5
-16,5,2,5
25,4,3,4
-10,5,0,6
13,4,2,4
-12,4,1,4
22,3,3,2
23,2,2,3
-38,3,1,3
-8,2,2,3
19,1,4,1
28,3,0,3
-61,2,2,2
16,1,2,2
24,1,3,1
48,2,1,2
-27,1,2,2
17,1,2,1
26,1,2,1
29,1,1,2
30,1,2,1
36,2,0,2
37,1,2,1
47,1,1,2
49,2,0,2
75,1,2,1
-85,0,2,2
-74,1,1,2
-64,2,0,2
-43,2,0,2
-28,1,1,2
-19,2,0,2
-18,1,1,2
-15,2,0,2
18,2,0,1
32,1,0,2
39,2,0,1
41,1,1,1
62,1,1,1
84,1,1,1
118,1,1,1
-284,1,1,1
306,1,1,1
-121,1,1,1
-110,1,1,1
-70,1,1,1
-48,1,1,1
-31,1,1,1
-20,1,1,1
-11,2,0,1
21,1,1,0
27,1,0,1
35,0,2,0
38,1,0,1
40,1,0,1
50,1,0,1
56,1,0,1
57,1,0,1
61,0,2,0
64,1,0,1
69,1,0,1
71,1,0,1
73,1,0,1
77,0,2,0
78,0,1,1
83,1,0,1
88,0,1,1
95,1,0,1
105,1,0,1
121,1,0,1
138,1,0,1
-373,1,0,1
215,1,0,1
217,1,0,1
-213,1,0,1
-192,1,0,1
383,1,0,1
-114,1,0,1
-102,1,0,1
-98,1,0,1
-86,1,0,1
-67,1,0,1
-56,1,0,1
-50,1,0,1
-49,1,0,1
-45,1,0,1
-40,1,0,1
-35,0,1,1
-34,0,1,1
-33,1,0,1
-30,1,0,1
-25,1,0,1
-22,1,0,1
-21,1,0,1
-14,0,1,1
-13,0,1,1
31,1,0,0
33,0,0,1
51,0,1,0
52,1,0,0
58,0,1,0
125,0,1,0
139,0,1,0
-109,0,1,0
-84,1,0,0
-66,0,1,0
-37,0,1,0
-26,0,1,0
-24,1,0,0
