x_val,y_added,y_removed,y_combined
ret,979,856,1835
0,910,782,1692
1,338,162,500
direction == DMA_NONE,172,137,309
&priv->mutex,147,116,263
false,100,157,257
skb,163,84,247
!clk,135,84,219
!PageLocked(page),131,73,204
"self != NULL, return;",187,12,199
err,130,65,195
!valid_dma_direction(direction),110,65,175
!irqs_disabled(),100,72,172
in_interrupt(),105,55,160
FALSE,78,76,154
crypto_tfm_alg_type(tfm) != CRYPTO_ALG_TYPE_CIPHER,77,76,153
&mvm->mutex,118,23,141
!path,68,67,135
!dev,91,38,129
"self != NULL, return -1;",110,19,129
!th->t_trans_id,85,43,128
ret < 0,75,50,125
IS_ERR(clk),67,56,123
i == 1,64,59,123
"0, ret",110,0,110
!in_interrupt(),71,38,109
dev->bus != &pci_bus_type,54,54,108
!mem,59,47,106
rc == 0,76,28,104
i,54,49,103
cc != NULL,51,51,102
"""wrong precise_ip"", !evsel->attr.precise_ip",70,30,100
ret == 0,59,38,97
!dma_ops,45,45,90
"""wrong exclude_hv"", evsel->attr.exclude_hv",60,29,89
preemptible(),50,37,87
&ar->conf_mutex,77,9,86
"""wrong exclude_user"", !evsel->attr.exclude_user",61,24,85
crypto_tfm_alg_type(tfm) != CRYPTO_ALG_TYPE_DIGEST,42,42,84
"xfs_isilocked(ip, XFS_ILOCK_EXCL)",54,29,83
"dev_priv, pipe",53,29,82
&priv->shrd->mutex,41,41,82
"""wrong exclude_kernel"", !evsel->attr.exclude_kernel",55,26,81
&il->mutex,52,27,79
!valid_dma_direction(dir),48,31,79
bp != NULL,40,35,75
dev_list != NULL,37,37,74
result,54,19,73
!card,51,20,71
dev != NULL,43,27,70
mpic == NULL,54,14,68
obj == NULL,34,34,68
dt,34,34,68
"""wrong number of entries"", 1 == evlist->nr_entries",42,26,68
len == 0,45,23,68
irqs_disabled(),39,29,68
"""wrong type"", PERF_TYPE_HARDWARE == evsel->attr.type",49,18,67
sizeof(*(ptr)) != 8,38,28,66
efx,39,26,65
"""wrong exclude_kernel"", evsel->attr.exclude_kernel",44,21,65
IS_ERR(trans),32,31,63
rc,44,19,63
ifp->if_flags & XFS_IFEXTIREC,37,25,62
err < 0,41,21,62
PageWriteback(page),42,19,61
"""wrong exclude_user"", evsel->attr.exclude_user",38,23,61
PageLRU(page),29,29,58
"""wrong exclude_hv"", !evsel->attr.exclude_hv",39,18,57
sih->cccaps & CC_CAP_PMU,28,28,56
cy_false,28,28,56
"""wrong exclude guest"", !evsel->attr.exclude_guest",37,18,55
status == 0,27,28,55
(offset & 1) == 0,27,27,54
bp,29,24,53
(risc->jmp - risc->cpu + 2) * sizeof(*risc->cpu) > risc->size,31,22,53
!page,43,10,53
card,26,26,52
obd != NULL,34,17,51
"substream != NULL, return -ENXIO",25,25,50
ret != 0,33,17,50
"false, ""ERR rxdesc :%d not process\n"", desc_name",33,17,50
!p,33,17,50
"""wrong exclude host"", !evsel->attr.exclude_host",36,13,49
"false, ""ERR txdesc :%d not process\n"", desc_name",32,17,49
dev->type != ARPHRD_IEEE802154,32,17,49
err == 0,25,24,49
!host,40,8,48
net != NULL,30,18,48
rq != NULL,24,24,48
(ret < 0) || (ret != nbytes),24,24,48
!trans,24,24,48
pool == NULL,24,24,48
blkg->q->queue_lock,25,22,47
ch,33,14,47
counter > NMI_MAX_COUNTER_BITS,24,23,47
!inode,29,18,47
dt->do_ops,23,23,46
!(dma_ch[channel].chan_status != DMA_CHANNEL_FREE && channel < MAX_BLACKFIN_DMA_CHANNEL),23,23,46
the_lnet.ln_init,33,13,46
dir == DMA_NONE,30,15,45
firmware_has_feature(FW_FEATURE_ISERIES),22,22,44
&local->chanctx_mtx,38,6,44
