x_val,y_added,y_removed,y_combined
BUG_ON,24945,15172,40117
ASSERT,10632,8520,19152
LASSERT,5271,2268,7539
BUILD_BUG_ON,2395,1001,3396
assert,1499,1033,2532
LASSERTF,2323,102,2425
snd_assert,927,929,1856
TEST_ASSERT_VAL,1270,516,1786
lockdep_assert_held,1226,522,1748
VM_BUG_ON,743,525,1268
IRDA_ASSERT,956,88,1044
snd_BUG_ON,736,101,837
bfa_assert,410,410,820
D_ASSERT,434,327,761
DBUG_ON,391,273,664
A_ASSERT,242,421,663
assert_spin_locked,455,193,648
ubifs_assert,531,95,626
RT_ASSERT,334,234,568
HCFASSERT,278,278,556
cy_as_hal_assert,270,270,540
CLASSERT,375,125,500
EFX_BUG_ON_PARANOID,217,166,383
gfs2_assert_warn,198,168,366
J_ASSERT,212,143,355
VM_BUG_ON_PAGE,255,66,321
DBC_ASSERT,156,156,312
rbd_assert,208,94,302
f2fs_bug_on,188,107,295
gfs2_assert_withdraw,154,124,278
ASSERTCMP,219,31,250
skb_checksum_none_assert,150,79,229
ubi_assert,166,60,226
db_assert,111,111,222
AR_DEBUG_ASSERT,83,137,220
mlog_bug_on_msg,135,77,212
ASC_ASSERT,95,95,190
ASSERT_SENTINEL,94,94,188
NF_CT_ASSERT,111,73,184
J_ASSERT_JH,108,71,179
ASSERT_EQ,168,0,168
rcu_lockdep_assert,85,74,159
caif_assert,111,47,158
Skein_assert,72,72,144
reset_control_assert,124,14,138
gfs2_assert,65,52,117
vxge_assert,70,41,111
ZD_ASSERT,78,29,107
reset_control_deassert,93,12,105
IP_NF_ASSERT,54,48,102
zm_assert,46,46,92
DLM_ASSERT,57,34,91
skein_assert_ret,59,31,90
MMDASSERT,43,43,86
BDX_ASSERT,55,30,85
ktap_assert,42,42,84
BUILD_BUG_ON_ZERO,51,30,81
AR5K_ASSERT_ENTRY,40,33,73
tegra_periph_reset_assert,35,35,70
skein_assert,42,23,65
SNIC_BUG_ON,53,0,53
VIRTUAL_BUG_ON,30,23,53
AHD_ASSERT_MODES,41,12,53
tegra_periph_reset_deassert,26,26,52
J_ASSERT_BH,33,19,52
compile_time_assert,26,19,45
ASSERT_SPINLOCK,22,22,44
nv_assert,22,22,44
sdata_assert_lock,38,5,43
ASSERT_WDEV_LOCK,37,5,42
