x_val,y_added,y_removed,y_combined
0,4712,3285,6457
1,465,331,634
-1,324,219,451
2,303,239,428
3,288,212,369
4,270,194,366
5,247,220,339
6,210,175,280
7,198,142,239
8,147,135,194
-2,156,105,203
13,134,100,159
12,124,109,156
9,116,112,157
11,126,98,152
10,124,93,158
14,118,85,138
-3,106,79,139
-4,110,71,138
-6,119,67,128
-5,99,75,131
-7,98,79,126
16,95,71,116
21,80,75,101
-8,81,59,111
15,86,66,98
19,79,51,96
-9,80,53,92
20,77,56,89
-10,71,50,94
17,65,54,81
18,69,44,78
22,73,52,66
-16,56,53,75
-13,53,42,83
-15,59,41,76
-12,63,43,70
28,54,42,71
-11,62,38,65
24,48,45,57
-21,48,42,60
26,56,29,62
27,50,36,59
-19,51,33,60
-14,45,38,59
23,51,34,54
35,40,36,52
34,42,29,53
25,42,28,52
-23,45,27,48
-22,42,29,47
32,41,32,43
29,41,26,44
-20,28,33,48
-18,38,29,41
-17,39,22,46
30,27,33,45
-32,32,30,43
-29,30,34,40
31,34,26,43
33,34,33,36
-42,32,29,41
-27,28,25,41
-36,32,24,37
-28,31,22,39
-25,32,22,38
-24,31,25,36
-44,28,23,40
-26,28,28,35
-34,29,25,32
-30,33,17,36
36,30,21,34
-31,29,19,37
39,30,20,34
-49,25,22,36
-35,30,21,32
-33,26,24,29
41,23,24,31
37,20,27,29
-41,20,28,28
-38,25,22,28
42,26,17,29
-50,24,16,29
-37,22,20,27
49,22,20,25
45,28,10,28
-56,21,20,24
-39,24,15,26
-47,25,15,24
-45,23,18,23
40,20,18,25
-48,20,16,26
-46,21,18,23
43,25,10,26
38,18,21,21
48,24,11,25
-52,21,13,24
-43,19,14,25
-59,21,12,23
-63,21,14,20
-40,21,10,23
-60,21,11,21
-51,18,13,21
-53,17,12,21
50,12,19,18
-58,19,8,22
-62,16,11,21
46,17,11,19
-66,16,12,19
-54,16,13,17
-72,13,17,15
-55,20,9,16
-64,16,8,20
-61,13,14,16
47,17,8,17
-57,18,7,17
61,13,11,17
-71,16,9,16
51,13,9,18
54,15,8,17
57,15,7,17
55,13,13,12
56,15,7,15
60,12,9,16
53,10,11,15
-78,12,10,14
-77,13,7,16
-70,11,8,16
44,9,10,13
-67,11,8,13
58,8,10,13
64,10,9,12
66,10,8,12
71,8,13,9
-79,11,7,11
-89,10,4,14
-65,5,14,9
59,10,9,8
70,10,5,12
83,8,7,12
68,6,8,11
76,9,7,9
52,8,5,11
-81,10,4,10
-80,10,3,11
63,5,10,8
67,10,7,6
-85,9,5,9
-84,9,4,10
-75,8,7,8
62,11,4,7
65,9,4,9
-83,5,8,9
-82,9,5,8
-69,8,5,9
69,8,4,9
-76,7,5,9
72,7,5,8
-74,6,7,7
75,7,4,8
77,6,5,7
97,7,3,8
-112,7,4,7
73,7,2,8
88,6,4,7
91,5,6,6
148,5,4,8
-91,6,3,8
-68,5,5,7
80,6,5,5
82,4,5,7
86,8,3,5
-88,4,5,7
-73,4,6,6
89,5,3,7
93,3,5,7
-99,4,4,7
162,6,3,5
78,3,4,6
98,4,4,5
108,4,4,5
-111,3,5,5
-109,6,1,6
-95,7,1,5
-90,5,4,4
-86,3,5,5
79,7,1,4
126,4,4,4
101,3,3,5
118,4,2,5
121,4,2,5
-122,5,1,5
74,3,2,5
81,4,2,4
92,5,1,4
96,5,2,3
104,3,2,5
-133,3,2,5
-114,5,1,4
-107,3,3,4
-101,3,2,5
100,2,3,4
111,3,2,4
181,3,2,4
-166,4,0,5
-142,3,2,4
-138,4,2,3
-135,3,1,5
-115,3,3,3
-103,3,2,4
-93,4,3,2
-92,3,3,3
90,2,3,3
105,3,2,3
-196,4,1,3
-184,4,1,3
-123,2,3,3
-110,1,5,2
-105,3,2,3
-98,1,4,3
-97,3,1,4
-87,4,0,4
87,1,4,2
94,2,1,4
132,0,5,2
140,3,1,3
161,2,3,2
163,3,2,2
-162,4,0,3
-143,4,0,3
-116,2,2,3
-100,3,3,1
-96,2,2,3
107,1,2,3
