x_val,y_added,y_removed,y_combined
lua_gettop(L) == before,104,104,208
0,42,42,84
lua_gettop(L) == before + 1,29,29,58
lua_gettop(L) == before - nargs,4,4,8
g->gc.state != GCSfinalize && g->gc.state != GCSpause,3,3,6
!irt_isnum(ir->t),3,3,6
tref_isnumber(tr),3,3,6
irt_isint(ir->t) || irt_isaddr(ir->t),3,3,6
(fins->op2 & IRCONV_TRUNC),3,3,6
map + nent == flinks,3,3,6
uvprev(uvnext(uv)) == uv && uvnext(uvprev(uv)) == uv,3,3,6
sz != CTSIZE_INVALID,3,3,6
!ra_used(ir),3,3,6
lua_pushthread(L) == 1,2,2,4
ir->o == IR_HIOP,2,2,4
delta == (int8_t)delta,2,2,4
bsz > 0 && bsz <= 8*ctype_bitcsz(info),2,2,4
rc == ARES_SUCCESS,2,2,4
old >= g->gc.total,2,2,4
!irt_ispri(ir->t),2,2,4
ofs % sizeof(Node) == 0,2,2,4
ir->o == IR_KINT || ir->o == IR_KGC || ir->o == IR_KPTR || ir->o == IR_KKPTR || ir->o == IR_KNULL,2,2,4
e->k == VNONRELOC,2,2,4
J->baseslot == 1,2,2,4
k,2,2,4
ctype_isbitfield(info),2,2,4
"0 && ""unexpected family type""",2,2,4
regsp_used(rs),2,2,4
!irt_isnil(irkey->t),2,2,4
irt_isint(ir->t) || irt_isu32(ir->t),2,2,4
sz == 4 || sz == 8,2,2,4
lhandle->refCount,2,2,4
ra_hasreg(r),2,2,4
"0 && ""Unhandled eio response""",2,2,4
ra_hasreg(r) && !ra_hasspill(ir->s),2,2,4
IR(ir->op1)->o == IR_UREFC,2,2,4
allow != RSET_EMPTY,2,2,4
k != 0,2,2,4
id == 0,2,2,4
r != d,2,2,4
s->size == CTSIZE_PTR,2,2,4
"traceref(J, bc_d(*pc)) == T",2,2,4
irt_isint(ir->t) || irt_isu32(ir->t) || irt_isaddr(ir->t),2,2,4
irref_isk(ref),2,2,4
ir->o == IR_STRREF,2,2,4
ctype_hassize(ct->info),2,2,4
sz == CTSIZE_PTR,2,2,4
!ctype_isenum(sinfo),2,2,4
lua_gettop(L) == before - nargs - 1,2,2,4
target - p >= -128,2,2,4
pc >= proto_bc(J->pt) && pc < proto_bc(J->pt) + J->pt->sizebc,2,2,4
r == ARES_SUCCESS,2,2,4
tref_isfunc(tr),2,2,4
!tvisint(key),2,2,4
J->baseslot > 1,2,2,4
uv_default_loop()->ev == loop,2,2,4
pos < 8*ctype_bitcsz(info),2,2,4
!(ir->op2 & IRSLOAD_PARENT),2,2,4
"0 && ""Unhandled c-ares error""",2,2,4
server_handle == &server,2,2,4
ctype_isinteger(ctt->info) && ctt->size <= 4,2,2,4
startpc >= proto_bc(pt) && startpc < proto_bc(pt) + pt->sizebc,2,2,4
len != 0,2,2,4
cts->L,2,2,4
e,1,1,2
nslots < LJ_MAX_JSLOTS,1,1,2
ref >= J->cur.nk && ref < J->cur.nins,1,1,2
J->slot[fins->op1] != 0,1,1,2
id == CTID_COMPLEX_DOUBLE,1,1,2
ir->o == IR_CARG,1,1,2
op == BC_ITERL,1,1,2
nk <= REF_BIAS && nins >= REF_BIAS && nins < 65536,1,1,2
freenode != &G(L)->nilnode,1,1,2
fs->bl == NULL,1,1,2
d->size == CTSIZE_PTR,1,1,2
(int)BC_MULVV-(int)BC_ADDVV == (int)OPR_MUL-(int)OPR_ADD,1,1,2
offset != 0,1,1,2
GG_NUM_ASMFF == FF_NUM_ASMFUNC,1,1,2
!(LJ_32 && irt_isint64(ir->t)),1,1,2
st == IRT_NUM || st == IRT_FLOAT,1,1,2
"(uintptr_t)name < VARNAME__MAX || lj_tab_getstr(fs->kt, name) != NULL",1,1,2
(ir->o == IR_SLOAD && (ir->op2 & IRSLOAD_PARENT)) || (LJ_SOFTFP && ir->o == IR_HIOP),1,1,2
ls->fs == NULL,1,1,2
