x_val,y_added,y_removed,y_combined
f,2,2,4
item != NULL,4,0,4
"mf_hash_find(&ht, key) == NULL",3,0,3
p != NULL,3,0,3
item->mhi_key == key,3,0,3
totmatches > 0,2,0,2
menu != NULL,1,1,2
"((p) != NULL) && IsValidAddress((p), sizeof(type), FALSE)",2,0,2
menu->parent != NULL,1,1,2
"mf_hash_find(&ht, key) == item",2,0,2
len <= sizeof(string),1,1,2
FALSE,2,0,2
nc <= 5,1,1,2
"((p) == NULL) || IsValidAddress((p), sizeof(type), FALSE)",2,0,2
ht.mht_buckets == ht.mht_small_buckets,1,0,1
ht.mht_mask + 1 == num_buckets * MHT_GROWTH_FACTOR,1,0,1
ht.mht_count == i,1,0,1
item == NULL,1,0,1
num_buckets > 0 && (num_buckets & (num_buckets - 1)) == 0,1,0,1
num_buckets == MHT_INIT_SIZE,1,0,1
ht.mht_count <= (num_buckets << MHT_LOG_LOAD_FACTOR),1,0,1
itemID - 1 >= 0 && itemID - 1 < tabLabelsSize,1,0,1
i + 1 == (num_buckets << MHT_LOG_LOAD_FACTOR),1,0,1
matches != NULL,1,0,1
num_buckets > MHT_INIT_SIZE,1,0,1
ht.mht_buckets != ht.mht_small_buckets,1,0,1
GetEventClass(event) == kEventClassControl && GetEventKind(event) == kEventControlSetFocusPart,1,0,1
num_matches > 0,1,0,1
