x_val,y_added,y_removed,y_combined
c != NULL,42,4,46
val == 123,20,10,30
(it->it_flags & ITEM_SLABBED) == 0,10,4,14
*buflen < allocated,6,6,12
false,8,2,10
it->slabs_clsid < LARGEST_ID,5,5,10
c->rbytes >= sizeof(*req),4,4,8
"kill(pid, 0) == 0",4,4,8
0,6,2,8
out != NULL,5,2,7
response->message.header.response.keylen == 0,6,0,6
val == -123,4,2,6
response->message.header.response.extlen == 0,6,0,6
add_stats,4,1,5
it->refcount > 0,3,2,5
"kill(pid, SIGTERM) == 0",3,2,5
((item *)ptr)->slabs_clsid == 0,2,2,4
it->it_flags & ITEM_DELETED,2,2,4
klen < sizeof(key),2,2,4
response->message.header.response.cas != 0,4,0,4
remove(pidfile) == 0,2,2,4
"fgets(buffer, sizeof(buffer), fp)",2,2,4
response->message.header.response.cas == 0,4,0,4
BIN_PKT_HDR_WORDS == 4,2,2,4
system(buffer) == 0,2,2,4
it->next != it,4,0,4
c->rcurr <= (c->rbuf + c->rsize),3,1,4
it->slabs_clsid <= LARGEST_ID,2,2,4
(void *) hdr == (void *)c->msglist[i].msg_iov[0].iov_base + UDP_HEADER_SIZE,2,2,4
c,4,0,4
it->it_flags == ITEM_CRAWLER,2,2,4
it->prev != it,4,0,4
fp,2,2,4
"kill(server_pid, SIGTERM) == 0",3,1,4
c->rcurr <= c->rbuf + c->rsize,2,2,4
cache != NULL,4,0,4
p->sl_curr == 0 || ((item *)p->slots[p->sl_curr - 1])->slabs_clsid == 0,2,2,4
"!safe_strtoul(""123BOGUS"", &val)",2,1,3
"!safe_strtol(""-2147483649"", &val)",2,1,3
"safe_strtoll("" 123 foo"", &val)",2,1,3
"safe_strtoll(""9223372036854775807"", &val)",2,1,3
"safe_strtol(""+123"", &val)",2,1,3
"!safe_strtoull(""-1"", &val)",2,1,3
"!safe_strtol(""92837498237498237498029383"", &val)",2,1,3
(it->it_flags & ITEM_LINKED) == 0,2,1,3
"!safe_strtoull("""", &val)",2,1,3
"safe_strtoll(""-123"", &val)",2,1,3
"!safe_strtoul(""-1"", &val)",2,1,3
bufsz > sizeof(*request) + keylen + dtalen,2,1,3
"safe_strtol("" 123 foo"", &val)",2,1,3
val == -9223372036854775808LL,2,1,3
val == 4294967295L,2,1,3
c->protocol == ascii_prot || c->protocol == binary_prot,2,1,3
val == 2147483647L,2,1,3
"!safe_strtoul(""4294967296"", &val)",2,1,3
it->slabs_clsid == 0,2,1,3
"!safe_strtoll(""92837498237498237498029383"", &val)",2,1,3
"!safe_strtoll(""18446744073709551615"", &val)",2,1,3
"safe_strtoul(""123"", &val)",2,1,3
"safe_strtol(""2147483647"", &val)",2,1,3
"safe_strtoll(""-9223372036854775808"", &val)",2,1,3
val == 18446744073709551615ULL,2,1,3
"!safe_strtol("""", &val)",2,1,3
"!safe_strtoull(""92837498237498237498029383"", &val)",2,1,3
"!safe_strtol(""123BOGUS"", &val)",2,1,3
"safe_strtoull(""123"", &val)",2,1,3
"safe_strtoull(""+123"", &val)",2,1,3
val == 9223372036854775807LL,2,1,3
c->wsize >= sizeof(*rsp),2,1,3
it->refcount == 0,2,1,3
"safe_strtoll(""+123"", &val)",2,1,3
"safe_strtoull(""18446744073709551615"", &val)",2,1,3
"!safe_strtoll("""", &val)",2,1,3
"safe_strtoul(""+123"", &val)",2,1,3
"!safe_strtol(""2147483648"", &val)",2,1,3
"read(sock, buffer, sizeof(buffer)) == 0",3,0,3
"!safe_strtoul(""92837498237498237498029383"", &val)",2,1,3
"kill(pid, SIGHUP) == 0",2,1,3
"!safe_strtoul("""", &val)",2,1,3
"!safe_strtoll(""-9223372036854775809"", &val)",2,1,3
"!safe_strtoll(""123BOGUS"", &val)",2,1,3
cont <= (c->rcurr + c->rbytes),2,1,3
"safe_strtoll(""123"", &val)",2,1,3
"!safe_strtoull(""18446744073709551616"", &val)",2,1,3
"!safe_strtoull(""123BOGUS"", &val)",2,1,3
"safe_strtoul(""4294967295"", &val)",2,1,3
it != heads[it->slabs_clsid],2,1,3
"safe_strtol(""-123"", &val)",2,1,3
p->end_page_ptr != NULL,2,1,3
command != NULL && tokens != NULL && max_tokens > 1,2,1,3
"safe_strtol(""123"", &val)",2,1,3
settings.sasl,3,0,3
pos,1,1,2
c->rsize >= c->rlbytes,1,1,2
res > 0,1,1,2
logger_thread_last_lc != lc,1,1,2
"write(sock, data, 2000) == 2000",1,1,2
it->it_flags == 1,2,0,2
it != heads[id],1,1,2
pos + flushed <= w->flushed,1,1,2
ntohll(receive.response.message.body.value) == ii,2,0,2
"memcmp(ptr, value, strlen(value)) == 0",2,0,2
it->prev == 0,2,0,2
ull == 123,1,1,2
buflen,1,1,2
rv == STDERR_FILENO,2,0,2
response.message.header.response.magic == PROTOCOL_BINARY_RES,1,1,2
sock != -1,1,1,2
c->protocol == ascii_udp_prot || c->protocol == ascii_prot || c->protocol == binary_prot,1,1,2
MIN_BIN_PKT_LENGTH % 8 == 0,1,1,2
nfd != 0,1,1,2
"read(sock, &response, sizeof(response)) == sizeof(response)",1,1,2
