x_val,y_added,y_removed,y_combined
1,19,4,24
3,14,6,14
2,10,4,12
7,5,4,7
8,5,3,7
4,5,1,5
5,2,3,3
6,3,2,3
9,1,2,4
18,4,0,3
14,2,1,3
10,1,1,3
11,1,3,1
16,2,2,1
12,2,0,2
30,1,0,3
32,1,2,1
19,1,1,1
21,0,1,2
26,1,1,1
29,2,0,1
60,2,0,1
15,1,0,1
22,0,1,1
24,1,0,1
25,1,0,1
28,1,1,0
33,0,2,0
35,0,1,1
40,1,0,1
53,1,0,1
65,1,0,1
93,1,0,1
17,0,1,0
20,0,0,1
31,0,1,0
34,0,1,0
39,1,0,0
44,1,0,0
48,0,1,0
50,1,0,0
56,0,1,0
57,0,1,0
62,0,1,0
63,0,1,0
79,0,1,0
84,0,1,0
94,0,1,0
