x_val,y_added,y_removed,y_combined
0,23,8,26
3,6,2,6
6,3,5,4
1,4,2,5
4,4,1,5
2,2,1,3
27,2,1,2
8,1,1,2
12,1,2,1
82,1,2,1
151,1,1,2
-1,2,0,2
-2,1,2,1
10,1,0,2
15,1,0,2
32,1,1,1
34,1,0,2
47,1,1,1
64,1,1,1
92,1,0,2
99,1,1,1
1163,1,1,1
17,1,0,1
19,0,1,1
24,1,0,1
29,1,0,1
35,1,0,1
37,1,0,1
42,1,0,1
43,1,0,1
54,1,0,1
59,1,0,1
61,1,0,1
63,0,1,1
70,0,1,1
71,0,1,1
72,1,0,1
81,1,0,1
90,1,0,1
108,0,1,1
156,1,0,1
171,1,0,1
178,1,0,1
188,1,0,1
197,0,1,1
206,1,0,1
-150,1,0,1
-134,1,0,1
-73,1,0,1
447,1,0,1
-32,1,0,1
-19,1,0,1
-15,1,0,1
-13,0,1,1
-5,1,0,1
5,0,0,1
9,0,0,1
16,1,0,0
23,0,1,0
25,1,0,0
41,0,1,0
49,0,1,0
56,0,0,1
69,0,1,0
73,0,1,0
74,1,0,0
76,1,0,0
86,0,1,0
94,0,1,0
113,0,1,0
126,0,1,0
177,0,1,0
215,0,1,0
218,0,1,0
221,0,0,1
227,1,0,0
239,0,0,1
248,0,1,0
275,1,0,0
296,1,0,0
-151,0,0,1
372,1,0,0
-136,1,0,0
-111,0,1,0
461,0,1,0
502,0,1,0
-6,0,1,0
