x_val,y_added,y_removed,y_combined
HasSSE2(),277,137,414
0,153,150,303
allow_macro_instructions_,140,140,280
!rd.IsZero(),141,76,217
false,110,102,212
!done(),127,66,193
cond == Equal || cond == NotEqual,134,59,193
!empty(),118,61,179
IsValid(),59,32,91
is_valid(),42,42,84
(index >= 0) && (index < this->length()),40,40,80
table,52,26,78
src2 == TMP_REG2,34,34,68
"FUNCTION, kind()",30,30,60
!mEntered,40,20,60
size == kInt32Size,29,29,58
mIsSome,36,18,54
temp == InvalidReg,36,18,54
!rn.IsZero(),52,1,53
isFinished(),34,19,53
atom,26,25,51
 (int)secs >= 0 ,25,25,50
!Done(),28,22,50
cc != NULL,28,21,49
index->type() == MIRType_Int32,32,16,48
isLive(),32,14,46
index >= 0 && index < this->length(),23,23,46
IsCodeTarget(rmode_) || rmode_ == EMBEDDED_OBJECT,23,23,46
index == 0,29,15,44
cx,26,17,43
type_ != kUninitialized,21,21,42
generation == table_->generation(),28,14,42
HasSSE41(),28,14,42
IsSimdType(type),27,13,40
(IsJSReturn(rmode()) && IsPatchedReturnSequence()) || (IsDebugBreakSlot(rmode()) && IsPatchedDebugBreakSlotSequence()),20,20,40
 s >= 0 ,21,19,40
isTotals,28,12,40
isLocked(),26,13,39
!isUndefined(),19,18,37
OBJ_IS_NATIVE(obj),18,18,36
empty(),19,17,36
aBegin <= aEnd,24,12,36
"!IsReference<D>::value, ""must provide a deleter instance""",24,12,36
"!IsPointer<D>::value, ""must provide a deleter instance""",24,12,36
!denseElementsAreCopyOnWrite(),23,12,35
src1 == TMP_REG1,17,17,34
"msgid, msg",18,16,34
i == 0,19,15,34
output == eax,20,14,34
!isInvalid(),27,7,34
(cond != al) && (cond != nv),20,13,33
initialized(),22,11,33
 fileNo != -1 ,16,16,32
isDynamicallyLinked(),21,11,32
mReserved <= mCapacity,20,10,30
 !isNull() ,15,15,30
data == 0,15,15,30
"sizeof(T) <= 4, ""not available for 8-byte values yet""",30,0,30
*this == *this,20,10,30
