x_val,y_added,y_removed,y_combined
1,98,56,132
2,54,32,80
3,38,23,53
5,32,16,51
6,26,18,41
8,29,18,32
4,24,14,38
11,28,14,27
7,24,12,31
10,17,18,29
13,15,18,26
17,19,14,26
9,22,11,25
16,17,15,26
12,17,11,28
25,14,17,23
15,15,14,22
19,15,12,21
20,12,11,21
14,17,7,19
24,12,12,17
22,11,12,17
21,12,8,17
26,13,9,14
18,10,8,15
23,9,11,13
28,13,4,16
27,11,9,11
29,10,8,12
38,9,9,10
30,9,7,11
39,10,5,12
31,7,7,9
33,7,7,8
35,8,6,8
53,7,6,8
57,8,4,9
46,8,6,6
40,8,4,7
41,8,4,7
49,8,2,8
55,5,6,7
34,5,5,7
36,9,2,6
37,6,4,7
78,5,6,6
32,4,6,6
44,3,8,5
48,8,3,5
58,4,7,5
75,7,3,5
76,5,4,6
43,5,3,5
45,5,3,5
47,5,3,5
51,5,2,6
65,6,3,4
79,6,3,4
63,4,3,5
42,4,3,4
50,2,5,4
59,4,4,3
66,4,4,3
74,2,4,5
104,3,6,2
52,2,2,6
54,3,3,4
61,4,3,3
69,4,3,3
111,4,2,4
56,3,3,3
68,6,1,2
77,2,3,4
67,2,2,4
80,4,1,3
81,3,2,3
82,3,1,4
144,2,3,3
64,2,2,3
72,3,1,3
84,2,2,3
85,1,3,3
60,2,2,2
70,3,1,2
71,0,4,2
90,2,2,2
92,2,2,2
99,4,1,1
101,3,1,2
133,2,3,1
138,1,3,2
140,3,2,1
73,2,1,2
87,0,3,2
93,2,1,2
102,2,2,1
105,1,3,1
109,1,2,2
116,2,0,3
121,1,2,2
129,3,0,2
160,2,2,1
275,2,1,2
86,2,1,1
88,1,1,2
95,1,2,1
98,0,3,1
113,1,2,1
127,0,4,0
147,1,2,1
153,2,0,2
166,2,2,0
62,2,0,1
83,2,0,1
89,1,1,1
96,0,2,1
103,0,3,0
106,1,2,0
108,2,0,1
112,1,1,1
117,1,0,2
118,1,2,0
141,1,1,1
146,1,1,1
167,1,1,1
175,1,2,0
246,1,1,1
91,0,2,0
94,0,1,1
114,1,0,1
120,1,0,1
122,0,1,1
123,2,0,0
128,1,1,0
135,0,1,1
137,1,0,1
150,0,1,1
151,0,2,0
152,1,1,0
156,1,0,1
172,1,0,1
177,1,0,1
180,1,0,1
188,0,1,1
702,0,1,1
213,1,0,1
252,1,1,0
287,1,0,1
325,1,0,1
107,0,1,0
115,0,1,0
126,1,0,0
130,0,0,1
131,0,1,0
134,1,0,0
149,0,1,0
154,0,1,0
162,1,0,0
164,0,1,0
171,1,0,0
173,0,1,0
178,0,1,0
181,0,1,0
189,1,0,0
191,1,0,0
192,0,1,0
193,0,1,0
196,0,0,1
710,1,0,0
199,1,0,0
198,0,1,0
207,0,1,0
209,0,0,1
217,1,0,0
219,0,1,0
230,0,1,0
241,1,0,0
247,0,1,0
249,1,0,0
251,1,0,0
256,0,1,0
264,0,1,0
266,0,1,0
267,0,1,0
270,1,0,0
271,0,1,0
281,0,1,0
286,0,1,0
289,1,0,0
296,0,1,0
311,0,1,0
313,0,1,0
339,0,1,0
343,0,1,0
353,0,1,0
378,0,1,0
451,0,1,0
