x_val,y_added,y_removed,y_combined
0,339,225,453
1,112,89,150
2,68,56,90
3,62,43,77
4,54,37,62
-1,42,28,60
5,40,22,34
6,33,27,33
7,21,20,24
8,18,14,23
10,9,21,16
9,12,14,15
11,9,16,12
-3,11,6,18
14,12,9,11
12,10,8,10
13,10,10,7
-2,9,4,11
-4,8,6,9
-7,6,6,9
-6,8,1,8
-5,4,4,7
15,5,4,5
27,4,4,5
17,5,4,3
-18,3,5,4
18,2,5,4
20,5,2,4
21,4,2,4
-8,3,1,6
19,3,5,1
-26,2,3,4
-20,3,2,4
16,1,5,2
25,3,2,2
-22,3,1,3
31,3,1,2
38,2,2,2
-12,3,0,3
-10,3,1,2
22,2,1,2
23,3,1,1
24,1,2,2
41,2,1,2
-16,2,2,1
26,1,1,2
39,1,1,2
42,0,2,2
-36,0,2,2
-35,1,2,1
-17,2,1,1
-15,2,1,1
44,1,1,1
69,1,1,1
-39,1,1,1
-24,2,0,1
-19,1,1,1
-13,1,1,1
-9,1,1,1
29,1,0,1
35,1,0,1
37,0,2,0
46,1,0,1
59,1,1,0
95,0,1,1
-71,1,0,1
-70,1,0,1
-66,1,0,1
-37,0,1,1
-14,0,1,1
28,0,1,0
30,0,1,0
32,1,0,0
34,0,1,0
36,0,1,0
40,0,1,0
48,0,0,1
49,0,0,1
50,0,1,0
53,0,1,0
54,1,0,0
58,1,0,0
60,1,0,0
63,0,0,1
64,0,1,0
66,1,0,0
81,0,0,1
83,1,0,0
-63,0,0,1
-30,0,0,1
-21,0,0,1
