x_val,y_added,y_removed,y_combined
 false ,7,5,12
 !shutdown_in_progress ,5,3,8
 !_moved ,2,2,4
 !cursors.empty() ,2,1,3
" FD_ISSET( fd, &all_fds ) ",2,1,3
pArray != (struct pollfd *) NULL,1,1,2
pSelTimeout != (struct timeval *) NULL,1,1,2
 signum >= 0 ,2,0,2
 signum <= MAX_SIGNAL_NUMBER ,2,0,2
 now >= next_ack_time ,1,0,1
 !socks.empty() ,1,0,1
" 0 == sigprocmask( SIG_BLOCK, &to_block, NULL ) ",1,0,1
" 0 == sigaddset( &to_block, signum ) ",1,0,1
 !sent_states.empty() ,1,0,1
" 0 == sigaction( signum, &sa, NULL ) ",1,0,1
 0 == sigemptyset( &empty_sigset ) ,1,0,1
 now >= i->timestamp ,1,0,1
 received_states.size() > 0 ,1,0,1
 0 == sigemptyset( &to_block ) ,1,0,1
 0 == sigfillset( &sa.sa_mask ) ,1,0,1
