x_val,y_added,y_removed,y_combined
1,6,6,9
3,5,4,6
2,2,1,4
4,3,2,2
15,2,1,2
22,1,2,2
65,2,1,2
7,2,0,2
38,1,1,2
72,2,0,2
23,2,0,1
29,1,1,1
416,1,1,1
52,1,0,2
441,0,2,1
205,1,1,1
210,1,1,1
93,1,1,1
497,1,1,1
126,1,1,1
5,1,0,1
143,1,0,1
16,1,0,1
275,1,0,1
147,1,0,1
25,0,1,1
155,1,0,1
286,1,0,1
163,0,1,1
54,0,1,1
61,1,0,1
62,1,0,1
192,1,0,1
193,1,0,1
78,1,0,1
208,1,0,1
84,1,0,1
99,1,0,1
229,1,0,1
131,0,1,0
11,0,0,1
14,0,1,0
142,0,0,1
921,1,0,0
27,1,0,0
285,0,1,0
289,0,0,1
291,0,1,0
39,0,1,0
169,0,1,0
174,1,0,0
178,0,0,1
179,0,1,0
180,1,0,0
442,1,0,0
59,0,0,1
701,0,0,1
199,0,1,0
201,1,0,0
976,0,1,0
739,1,0,0
101,0,1,0
106,1,0,0
632,0,0,1
250,0,1,0
634,0,1,0
510,0,1,0
