x_val,y_added,y_removed,y_combined
0,15,10,19
1,5,5,7
5,3,1,3
14,3,1,3
2,3,1,2
-1,2,2,2
3,2,1,2
6,2,0,2
11,2,0,2
12,0,1,3
43,1,1,2
63,2,1,1
10,1,1,1
149,1,1,1
37,1,1,1
47,1,1,1
57,1,1,1
77,1,0,2
86,1,0,2
4,1,0,1
7,1,0,1
9,1,0,1
13,1,0,1
15,1,0,1
18,1,0,1
16,0,1,1
20,0,1,1
38,1,0,1
67,0,1,1
69,1,0,1
108,0,1,1
130,1,0,0
129,0,1,0
8,0,1,0
19,0,1,0
21,0,0,1
25,0,1,0
26,0,1,0
28,1,0,0
33,0,1,0
164,0,1,0
39,0,1,0
42,0,1,0
79,1,0,0
87,1,0,0
90,1,0,0
101,0,1,0
