x_val,y_added,y_removed,y_combined
1,39,9,51
2,28,13,35
5,12,5,18
3,12,2,17
10,9,3,14
8,9,4,12
13,9,4,11
4,9,2,12
6,7,5,9
7,9,3,9
20,8,3,10
11,7,3,10
21,8,1,10
9,5,5,8
15,6,3,9
33,8,1,9
14,5,2,7
30,6,2,6
37,6,2,6
66,5,3,6
29,5,2,6
45,4,2,7
62,6,1,6
12,4,2,6
91,6,0,6
39,4,2,5
47,4,2,5
96,4,1,6
34,2,4,4
38,5,0,5
42,5,0,5
48,3,2,5
124,3,4,3
23,4,1,4
26,4,1,4
53,4,1,4
71,4,2,3
73,3,1,5
80,3,3,3
89,4,1,4
97,3,1,5
115,4,1,4
121,5,0,4
16,3,2,3
18,4,1,3
24,4,0,4
36,2,2,4
61,2,3,3
98,4,1,3
135,2,3,3
27,1,3,3
31,3,1,3
59,2,2,3
60,3,1,3
65,2,2,3
82,2,2,3
149,3,2,2
153,3,1,3
175,2,3,2
187,2,3,2
28,2,1,3
49,3,0,3
63,3,1,2
74,2,1,3
75,3,1,2
79,2,1,3
81,2,1,3
85,2,1,3
109,3,1,2
129,2,1,3
157,3,0,3
17,2,1,2
22,2,1,2
35,1,1,3
46,2,1,2
67,2,0,3
70,1,1,3
78,3,0,2
93,3,0,2
95,2,1,2
123,1,1,3
134,2,1,2
148,2,1,2
173,1,1,3
174,2,1,2
192,3,0,2
218,3,0,2
266,2,1,2
19,2,0,2
32,1,1,2
40,2,0,2
44,2,0,2
57,2,0,2
58,2,1,1
69,2,0,2
86,2,0,2
87,1,0,3
92,1,1,2
94,2,0,2
104,2,0,2
108,2,0,2
113,2,0,2
120,1,0,3
132,2,0,2
139,2,0,2
146,2,0,2
150,2,0,2
169,1,2,1
170,0,3,1
194,2,0,2
235,2,0,2
243,0,2,2
245,2,0,2
287,2,0,2
353,2,0,2
355,2,0,2
361,2,0,2
437,1,1,2
25,2,0,1
50,1,0,2
51,2,0,1
52,1,0,2
55,1,1,1
56,1,0,2
64,2,0,1
68,1,0,2
77,0,2,1
83,1,1,1
84,2,0,1
90,1,0,2
99,0,2,1
107,1,1,1
111,1,0,2
126,1,1,1
127,1,1,1
130,1,0,2
136,1,0,2
142,1,1,1
145,1,0,2
147,0,2,1
151,2,0,1
164,1,1,1
186,1,1,1
199,1,2,0
205,1,1,1
210,1,1,1
215,1,1,1
216,2,0,1
275,1,1,1
281,1,1,1
283,1,1,1
294,1,1,1
300,2,0,1
304,1,1,1
305,1,1,1
316,1,1,1
362,0,3,0
369,1,1,1
383,1,1,1
391,1,0,2
435,2,0,1
41,1,0,1
43,0,1,1
76,1,0,1
88,0,1,1
102,1,0,1
105,1,0,1
114,1,0,1
116,1,0,1
118,1,0,1
119,1,0,1
125,0,2,0
131,1,1,0
138,2,0,0
141,1,0,1
152,0,1,1
158,0,1,1
160,1,0,1
161,1,0,1
163,1,0,1
165,1,0,1
167,1,0,1
168,1,0,1
171,1,0,1
172,1,0,1
179,1,1,0
183,0,2,0
184,1,0,1
190,1,0,1
193,1,0,1
196,1,0,1
200,1,0,1
212,0,1,1
222,1,0,1
227,0,0,2
231,1,0,1
236,1,0,1
237,1,0,1
238,1,0,1
240,1,0,1
246,1,0,1
247,1,0,1
248,1,0,1
250,1,0,1
276,0,1,1
277,0,2,0
278,1,0,1
293,0,1,1
301,0,1,1
303,1,1,0
307,1,0,1
318,1,0,1
319,0,1,1
323,2,0,0
326,1,0,1
331,1,0,1
334,1,0,1
342,1,0,1
357,1,0,1
358,0,1,1
359,1,0,1
365,1,0,1
366,1,0,1
368,1,0,1
376,0,1,1
381,1,0,1
384,0,2,0
389,1,0,1
392,1,0,1
394,0,1,1
395,1,0,1
403,1,0,1
