x_val,y_added,y_removed,y_combined
assert,1451,1323,2774
DBUG_ASSERT,1381,468,1849
DB_ASSERT,686,686,1372
myassert,469,469,938
UNIV_MEM_ASSERT_RW,420,265,685
UNIV_MEM_ASSERT_W,91,55,146
KEYCACHE_DBUG_ASSERT,55,44,99
ASSERT_ZERO,54,36,90
_DIAGASSERT,42,45,87
UNIV_MEM_ASSERT_AND_FREE,41,29,70
ASSERT,30,40,70
HASH_ASSERT_OWNED,30,18,48
dtuple_check_typed_no_assert,30,18,48
HASH_ASSERT_VALID,25,16,41
ASSERT_HASH_MUTEX_OWN,24,15,39
mem_validate_no_assert,20,12,32
dbug_assert,12,15,27
dict_col_type_assert_equal,16,8,24
dfield_check_typed_no_assert,15,9,24
compile_time_assert,17,4,21
safe_mutex_assert_owner,9,6,15
ut_dbg_assertion_failed,9,5,14
disk_pos_assert,8,5,13
UNIV_MEM_ASSERT_AND_ALLOC,6,4,10
ASSERT_ZERO_BLOB,6,4,10
myassert_r,5,5,10
trx_assert_recovered,4,6,10
btr_assert_not_corrupted,6,0,6
ASSERT_OR_RETURN_ERROR,4,2,6
btr_blob_dbg_assert_empty,5,0,5
trx_assert_active,3,2,5
__db_assert,2,2,4
ELRE_ASSERT,3,1,4
_ASSERT,2,1,3
mysql_mutex_assert_owner,3,0,3
safe_mutex_assert_not_owner,1,0,1
rw_pr_lock_assert_not_write_owner,1,0,1
my_rw_lock_assert_not_owner,1,0,1
rw_pr_lock_assert_write_owner,1,0,1
my_rw_lock_assert_write_owner,1,0,1
mysql_mutex_assert_not_owner,1,0,1
