x_val,y_added,y_removed,y_combined
0,98,30,123
1,35,19,45
2,28,12,34
3,28,10,34
4,24,12,27
5,16,13,22
9,17,8,21
6,16,5,23
8,14,8,16
7,15,4,14
10,10,9,14
13,8,10,13
-1,11,7,13
12,8,4,11
15,11,1,10
11,9,3,8
19,9,2,8
20,7,3,9
28,7,4,8
-4,5,7,7
14,7,2,8
16,4,5,5
25,5,6,3
18,3,4,6
22,7,1,5
26,6,1,6
42,3,5,5
-15,5,1,7
-9,6,1,6
-3,7,0,6
21,5,3,4
-6,4,2,5
-5,3,2,6
34,3,3,4
17,5,1,3
27,4,1,4
35,4,1,4
-8,4,1,4
29,4,0,4
-14,3,1,4
-10,3,2,3
-7,2,3,3
36,3,2,2
64,2,1,4
-50,2,2,3
-11,3,1,3
24,2,1,3
50,2,2,2
51,1,3,2
68,3,0,3
-65,3,1,2
-17,3,0,3
-13,1,3,2
-2,2,2,2
23,3,1,1
30,1,3,1
38,1,2,2
69,2,1,2
83,2,1,2
-35,2,1,2
32,1,2,1
37,1,2,1
39,1,2,1
40,1,2,1
52,1,2,1
53,0,3,1
55,2,1,1
60,2,1,1
62,2,0,2
63,2,0,2
80,2,0,2
90,2,1,1
110,2,0,2
-75,1,1,2
-29,2,0,2
-27,2,0,2
-504,1,1,1
41,1,1,1
45,1,1,1
54,1,1,1
70,0,2,1
77,1,1,1
92,1,1,1
119,1,1,1
170,1,1,1
-123,1,1,1
-119,1,1,1
-83,1,1,1
-49,1,1,1
-36,1,1,1
-30,1,0,2
-25,1,0,2
-23,1,0,2
-20,1,1,1
-16,1,0,2
-12,1,0,2
33,2,0,0
43,1,0,1
44,1,0,1
46,1,0,1
47,0,1,1
48,0,2,0
56,1,0,1
59,1,0,1
67,1,0,1
581,1,0,1
71,1,0,1
74,1,0,1
81,1,0,1
95,1,0,1
97,1,0,1
105,0,1,1
135,1,0,1
142,1,0,1
31,0,2,0
169,1,0,1
175,1,0,1
189,0,1,1
221,1,0,1
223,1,0,1
259,1,0,1
267,1,0,1
-181,0,1,1
-153,1,0,1
-131,1,0,1
906,1,0,1
909,1,0,1
-1610,1,0,1
-62,1,0,1
-55,1,0,1
-54,1,0,1
-48,0,1,1
-47,2,0,0
-44,1,0,1
-38,1,0,1
-33,1,0,1
-28,1,0,1
-26,1,0,1
-24,0,1,1
-19,1,0,1
49,0,1,0
61,1,0,0
75,1,0,0
85,1,0,0
86,0,0,1
89,0,1,0
96,0,1,0
98,0,0,1
99,0,0,1
104,0,1,0
108,0,1,0
109,1,0,0
115,0,1,0
118,0,0,1
120,0,1,0
136,1,0,0
167,0,1,0
-856,0,0,1
-845,1,0,0
188,1,0,0
209,0,1,0
-1326,0,1,0
222,0,1,0
229,0,1,0
233,0,1,0
242,0,1,0
244,0,1,0
281,0,1,0
-171,1,0,0
355,0,0,1
356,0,1,0
-1681,0,0,1
-1679,1,0,0
376,0,1,0
385,0,1,0
-81,0,0,1
-77,0,0,1
-71,0,1,0
-59,1,0,0
454,1,0,0
-58,0,0,1
-56,1,0,0
-40,0,1,0
-39,0,0,1
-34,0,0,1
-22,0,1,0
