x_val,y_added,y_removed,y_combined
3,4,1,4
1,2,0,2
2,1,1,2
5,1,1,1
55,1,1,1
81,1,1,1
339,1,1,1
9,1,0,1
394,0,1,1
405,0,1,1
280,1,0,1
37,1,0,1
39,1,0,1
50,1,0,1
52,1,0,1
2357,1,0,1
187,0,1,1
323,1,0,1
451,1,0,1
326,0,1,1
200,1,0,1
332,0,1,1
225,1,0,1
1905,1,0,1
114,0,1,1
122,1,0,1
4,0,1,0
2948,0,1,0
129,0,0,1
264,0,1,0
10,0,1,0
523,1,0,0
2844,0,0,1
2846,0,1,0
1189,0,1,0
43,0,0,1
2480,0,1,0
575,0,0,1
64,0,0,1
705,1,0,0
591,0,0,1
82,0,1,0
731,1,0,0
228,0,1,0
3176,1,0,0
488,0,1,0
618,1,0,0
1012,1,0,0
886,0,1,0
761,0,0,1
764,0,0,1
766,1,0,0
