x_val,y_added,y_removed,y_combined
0,71,69,140
error == OMX_ErrorNone,48,48,96
pPrepare != 0,21,21,42
pExt != 0,21,21,42
pBinder != 0,21,21,42
!AtEnd(),18,18,36
vgGetError()==0,18,18,36
!pBinder.isNull(),29,0,29
!pPreparator.isNull(),27,0,27
!pExt.isNull(),27,0,27
egl_result,12,12,24
 type == CV_64FC1 ,12,10,22
 (reader).seq->elem_size == sizeof(elem),12,10,22
 (unsigned)row < (unsigned)mat->rows && (unsigned)col < (unsigned)mat->cols ,12,10,22
!getBinder().isNull(),21,0,21
 sz.width >= 8 ,10,10,20
 dist != CV_DIST_USER ,10,10,20
 e->Onext->Sym->Lnext == e ,6,12,18
 e->Sym->Sym == e ,6,12,18
 e->Lnext->Onext->Sym == e ,6,12,18
 e->Sym != e ,6,12,18
status == VCOS_SUCCESS,8,8,16
canBind(),16,0,16
 tab ,8,8,16
rc==0,8,8,16
std::numeric_limits<T>::is_specialized,10,5,15
std::numeric_limits<F>::is_specialized,10,5,15
result.full(),9,4,13
dirp != NULL,6,6,12
result,6,6,12
c==2,6,6,12
getBinder() != 0,6,6,12
 (writer).ptr <= (writer).block_max - sizeof(elem),6,5,11
 _elem->flags >= 0 ,6,5,11
 (unsigned)CV_MAT_DEPTH(type) <= CV_64F ,6,5,11
(edge)->vtx[0] == (vertex) || (edge)->vtx[1] == (vertex),6,5,11
 *length >= 0 && *length < 5 ,6,5,11
 ((reader).code & ~7) == 0 ,6,5,11
 p ,6,5,11
 (writer).seq->elem_size == sizeof(elem),6,5,11
 (unsigned)xIndx < 3 && (unsigned)yIndx < 3 ,5,5,10
" i < N && ""out of range"" ",6,4,10
 (align & (align-1)) == 0 ,5,5,10
 (align & (align-1)) == 0 && size < INT_MAX ,5,5,10
s && !mHeight,4,5,9
!std::numeric_limits<T>::is_signed,6,3,9
res->magic == RES_MAGIC,4,4,8
c==1,4,4,8
ret == 0,4,4,8
"statement, regex",4,4,8
c==3,4,4,8
 ((size_t)_icv_memcpy_src_&(sizeof(int)-1)) == 0 && \ ((size_t)_icv_memcpy_dst_&(sizeof(int)-1)) == 0 ,4,4,8
 ((size_t)_icv_memcpy_dst_&(sizeof(int)-1)) == 0 ,4,4,8
_type == JSON_T_NONE,8,0,8
 ((size_t)_icv_memcpy_src_&(sizeof(int)-1)) == 0 && ((size_t)_icv_memcpy_dst_&(sizeof(int)-1)) == 0 ,4,4,8
 divisor >= 1 ,4,4,8
sizeof((seq)->first[0]) == sizeof(CvSeqBlock) && (seq)->elem_size == sizeof(elem_type),4,3,7
 sizeof(pt1) == sizeof(CvPoint) && sizeof(pt2) == sizeof(CvPoint) && reader.seq->elem_size == sizeof(CvPoint),4,3,7
 (unsigned)(row) < (unsigned)(mat).rows && (unsigned)(col) < (unsigned)(mat).cols ,4,3,7
queries.cols == veclen(),6,0,6
shape->klass == &polyClass,3,3,6
indices.rows >= queries.rows,6,0,6
 e->Org == v ,2,4,6
 v->prev == vPrev && v->anEdge == NULL ,2,4,6
strlen (dirname) < MAX_PATH,3,3,6
!std::numeric_limits<F>::is_signed,4,2,6
 f->prev == fPrev && f->anEdge == NULL ,2,4,6
!image || image->depth == Depth(),3,3,6
int(dists.cols) >= knn,6,0,6
0 <= i && i < static_cast<int>(_attributes.size()),6,0,6
 e->Dst != NULL ,2,4,6
 e->Sym->next == ePrev->Sym && e->Sym == &mesh->eHeadSym && e->Sym->Sym == e && e->Org == NULL && e->Dst == NULL && e->Lface == NULL && e->Rface == NULL ,2,4,6
 v->prev == vPrev ,2,4,6
"COMPONENT_SIGNATURE, DEBUG_NO_OPTIONS, QuoteExceptionString(assertion), QuoteExceptionString(exception), nil, __FILE__, __LINE__, 0",4,2,6
!img || img->depth == Depth(),3,3,6
 f->prev == fPrev ,2,4,6
std::numeric_limits<F>::is_signed,4,2,6
 e->Lface == f ,2,4,6
